OI,Chng in OI,Volume,IV,LTP,Chng,Bid Qty,Bid,Ask,Ask Qty,Strike,Bid Qty,Bid,Ask,Ask Qty,Chng,LTP,IV,Volume,Chng in OI,OI
59,27,374,36.96,3,-2.1,125,2.8,3.3,125,4000,125,2.8,3.3,125,-2.1,3,36.96,374,27,59
112,51,1686,33.73,6,-1.55,125,5.4,6.15,250,4200,125,5.4,6.15,250,-1.55,6,33.73,1686,51,112
111,99,1549,29.94,11.1,-2.85,125,9.5,11.4,375,4400,125,9.5,11.4,375,-2.85,11.1,29.94,1549,99,111
182,32,307,28.39,16.05,-3.3,125,15.85,18.1,125,4500,125,15.85,18.1,125,-3.3,16.05,28.39,307,32,182
342,-27,389,27.46,25.05,-2.9,125,22.85,25.35,125,4600,125,22.85,25.35,125,-2.9,25.05,27.46,389,-27,342
158,-17,282,26.72,39,-2.85,125,37.65,42.5,625,4700,125,37.65,42.5,625,-2.85,39,26.72,282,-17,158
597,56,669,25.85,59,-3.75,125,57.75,59.35,125,4800,125,57.75,59.35,125,-3.75,59,25.85,669,56,597
259,84,626,25.65,87.4,-5.65,125,86.9,88.85,125,4900,125,86.9,88.85,125,-5.65,87.4,25.65,626,84,259
928,91,1343,25.63,129.1,-6.2,125,126.15,129.75,125,5000,125,126.15,129.75,125,-6.2,129.1,25.63,1343,91,928
445,2,391,26.2,185.4,-3.5,250,178.55,182.1,125,5100,250,178.55,182.1,125,-3.5,185.4,26.2,391,2,445
377,2,132,25.93,245.5,-7.1,125,242.95,246.2,125,5200,125,242.95,246.2,125,-7.1,245.5,25.93,132,2,377
133,-1,10,19.44,286.4,-38.4,250,306.6,341.9,250,5300,250,306.6,341.9,250,-38.4,286.4,19.44,10,-1,133
127,0,12,24.98,390.55,-18.5,125,394.2,404.75,125,5400,125,394.2,404.75,125,-18.5,390.55,24.98,12,0,127
234,0,0,0,0,0,250,478.7,507.65,125,5500,250,478.7,507.65,125,0,0,0,0,0,234
42,31,33,25.33,566.7,-26.55,125,575.95,584.45,125,5600,125,575.95,584.45,125,-26.55,566.7,25.33,33,31,42
33,0,0,0,0,0,125,642.65,706.15,125,5700,125,642.65,706.15,125,0,0,0,0,0,33
39,0,0,0,0,0,125,736.4,803.2,625,5800,125,736.4,803.2,625,0,0,0,0,0,39
29,0,0,0,0,0,250,832.75,902.9,250,5900,250,832.75,902.9,250,0,0,0,0,0,29
245,3,7,25.21,950,-20.15,125,954.8,976.05,125,6000,125,954.8,976.05,125,-20.15,950,25.21,7,3,245
52,0,0,0,0,0,250,1133.3,1194.7,625,6200,250,1133.3,1194.7,625,0,0,0,0,0,52
283,-6,7,0,1315,-16.35,625,1335.1,1371.85,125,6400,625,1335.1,1371.85,125,-16.35,1315,0,7,-6,283
