OI,Chng in OI,Volume,IV,LTP,Chng,Bid Qty,Bid,Ask,Ask Qty,Strike,Bid Qty,Bid,Ask,Ask Qty,Chng,LTP,IV,Volume,Chng in OI,OI
0,0,0,0,0,0,3500,0.3,2.95,14000,1280,3500,0.3,2.95,14000,0,0,0,0,0,0
0,0,0,0,0,0,14000,0.35,2.6,14000,1320,14000,0.35,2.6,14000,0,0,0,0,0,0
70,35,78,31.24,1.7,-1.3,1400,1.9,2.35,3500,1360,1400,1.9,2.35,3500,-1.3,1.7,31.24,78,35,70
0,0,0,0,0,0,350,1.15,5.85,350,1380,350,1.15,5.85,350,0,0,0,0,0,0
7,1,16,29.35,2.75,-1.05,350,2.3,3.4,3150,1400,350,2.3,3.4,3150,-1.05,2.75,29.35,16,1,7
3,0,9,25.65,2.15,-2.85,350,1.35,7.3,350,1420,350,1.35,7.3,350,-2.85,2.15,25.65,9,0,3
29,-14,148,27.13,4.25,-6.45,350,3.4,5.75,7350,1440,350,3.4,5.75,7350,-6.45,4.25,27.13,148,-14,29
198,49,471,26.65,5.8,-5.95,350,5.45,5.8,350,1460,350,5.45,5.8,350,-5.95,5.8,26.65,471,49,198
26,13,84,25.5,7.2,-6.2,350,7.15,9.4,7000,1480,350,7.15,9.4,7000,-6.2,7.2,25.5,84,13,26
61,57,164,24.83,9.5,-2.8,350,7.65,12.55,7000,1500,350,7.65,12.55,7000,-2.8,9.5,24.83,164,57,61
321,221,546,24.05,12.3,-8.25,350,12.2,16.25,7000,1520,350,12.2,16.25,7000,-8.25,12.3,24.05,546,221,321
15,10,31,23.98,16.9,-5.1,700,14.4,21.15,7000,1540,700,14.4,21.15,7000,-5.1,16.9,23.98,31,10,15
13,13,28,23.75,22.4,-14.2,2100,18.55,30.65,7000,1560,2100,18.55,30.65,7000,-14.2,22.4,23.75,28,13,13
26,25,45,23.48,29.05,-15.5,350,24.8,34.5,7000,1580,350,24.8,34.5,7000,-15.5,29.05,23.48,45,25,26
426,-1,604,23.32,37.15,-7.65,350,36,37.2,350,1600,350,36,37.2,350,-7.65,37.15,23.32,604,-1,426
44,23,120,22.06,44.75,-5.8,350,43.1,53.65,1050,1620,350,43.1,53.65,1050,-5.8,44.75,22.06,120,23,44
113,14,124,22,56,-4.3,350,51.95,65.1,1050,1640,350,51.95,65.1,1050,-4.3,56,22,124,14,113
7,3,7,17.44,61,11.1,700,63.7,77.75,2800,1660,700,63.7,77.75,2800,11.1,61,17.44,7,3,7
0,0,0,0,0,0,700,68.4,95.45,1050,1680,700,68.4,95.45,1050,0,0,0,0,0,0
21,1,11,11.87,86.95,-16.25,350,96.6,108,350,1700,350,96.6,108,350,-16.25,86.95,11.87,11,1,21
3,1,4,14.86,107.4,-39.6,700,108.85,129.7,1050,1720,700,108.85,129.7,1050,-39.6,107.4,14.86,4,1,3
3,2,4,18.01,128,31,1400,120.95,141.8,1750,1740,1400,120.95,141.8,1750,31,128,18.01,4,2,3
0,0,0,0,0,0,1400,145.65,159.8,1750,1760,1400,145.65,159.8,1750,0,0,0,0,0,0
0,0,2,0,157.05,-47,700,150.25,178.55,1750,1780,700,150.25,178.55,1750,-47,157.05,0,2,0,0
16,0,0,0,0,0,700,169,196.95,1750,1800,700,169,196.95,1750,0,0,0,0,0,16
0,0,0,0,0,0,1750,193.7,217.45,1750,1820,1750,193.7,217.45,1750,0,0,0,0,0,0
0,0,0,0,0,0,1750,212.25,235.7,1750,1840,1750,212.25,235.7,1750,0,0,0,0,0,0
2,0,0,0,0,0,700,253.5,273.25,1750,1880,700,253.5,273.25,1750,0,0,0,0,0,2
0,0,0,0,0,0,700,291.55,313.3,1750,1920,700,291.55,313.3,1750,0,0,0,0,0,0
