CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
1,-,-,-,-,-,250,997.4,1051.8,250,4000,125,2.8,3.3,125,-2.1,3,36.96,374,27,59
1,-,-,-,-,-,250,805.7,855.6,250,4200,125,5.4,6.15,250,-1.55,6,33.73,1686,51,112
6,-,-,-,-,-,250,615.1,664.95,250,4400,125,9.5,11.4,375,-2.85,11.1,29.94,1549,99,111
-,-,-,-,-,-,500,520.3,560.35,875,4500,125,15.85,18.1,125,-3.3,16.05,28.39,307,32,182
15,5,21,22.51,451.35,2.5,125,447.85,455.55,125,4600,125,22.85,25.35,125,-2.9,25.05,27.46,389,-27,342
-,-,-,-,-,-,250,348.45,378.45,375,4700,125,37.65,42.5,625,-2.85,39,26.72,282,-17,158
129,9,33,22.99,286.3,1.1,125,285.9,292,125,4800,125,57.75,59.35,125,-3.75,59,25.85,669,56,597
79,19,91,23.2,217.6,0.95,125,216.65,221.15,125,4900,125,86.9,88.85,125,-5.65,87.4,25.65,626,84,259
581,32,1415,22.91,156.4,-2.05,125,158.8,161.7,125,5000,125,126.15,129.75,125,-6.2,129.1,25.63,1343,91,928
863,93,2319,23.23,111.5,-1.05,125,112.25,114.85,125,5100,250,178.55,182.1,125,-3.5,185.4,26.2,391,2,445
878,118,1295,23.52,76.65,-0.05,125,77.05,79.2,125,5200,125,242.95,246.2,125,-7.1,245.5,25.93,132,2,377
462,153,1030,23.95,54,3.05,125,51.95,54.7,125,5300,250,306.6,341.9,250,-38.4,286.4,19.44,10,-1,133
298,101,437,24.42,34.5,0.3,125,34.9,35.4,125,5400,125,394.2,404.75,125,-18.5,390.55,24.98,12,-,127
1090,101,1359,25.33,24.1,0.4,125,24.1,24.8,500,5500,250,478.7,507.65,125,-,-,-,-,-,234
-,-,-,-,-,-,125,8.25,30.6,375,5600,125,575.95,584.45,125,-26.55,566.7,25.33,33,31,42
-,-,-,-,-,-,125,6.5,18.3,250,5700,125,642.65,706.15,125,-,-,-,-,-,33
-,-,-,-,-,-,125,7.1,13,125,5800,125,736.4,803.2,625,-,-,-,-,-,39
-,-,-,-,-,-,1000,3.1,10.05,125,5900,250,832.75,902.9,250,-,-,-,-,-,29
557,58,1178,30.29,4.9,-0.45,125,4.8,4.9,250,6000,125,954.8,976.05,125,-20.15,950,25.21,7,3,245
24,-1,7,31.72,2.55,-0.05,125,2.6,4,375,6200,250,1133.3,1194.7,625,-,-,-,-,-,52
96,1,17,32.28,1.1,-0.2,125,1.05,1.8,125,6400,625,1335.1,1371.85,125,-16.35,1315,-,7,-6,283
