CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,1400,326.05,342.8,1400,1280,3500,0.3,2.95,14000,-,-,-,-,-,-
-,-,-,-,-,-,1400,286.2,302.9,700,1320,14000,0.35,2.6,14000,-,-,-,-,-,-
-,-,-,-,-,-,1400,248.3,263.5,700,1360,1400,1.9,2.35,3500,-1.3,1.7,31.24,78,35,70
-,-,-,-,-,-,1750,229,246.15,700,1380,350,1.15,5.85,350,-,-,-,-,-,-
-,-,-,-,-,-,1400,208.95,224.25,1400,1400,350,2.3,3.4,3150,-1.05,2.75,29.35,16,1,7
-,-,-,-,-,-,1750,188.8,206.75,1400,1420,350,1.35,7.3,350,-2.85,2.15,25.65,9,-,3
-,-,-,-,-,-,1400,170.4,188.2,1400,1440,350,3.4,5.75,7350,-6.45,4.25,27.13,148,-14,29
-,-,-,-,-,-,1050,152.1,169.3,700,1460,350,5.45,5.8,350,-5.95,5.8,26.65,471,49,198
1,1,2,23.07,138,-222.9,700,134.6,149.35,350,1480,350,7.15,9.4,7000,-6.2,7.2,25.5,84,13,26
-,-,1,34.09,134.35,-30.8,1400,116.45,130.6,350,1500,350,7.65,12.55,7000,-2.8,9.5,24.83,164,57,61
1,1,5,33.01,118.25,-210.2,700,99.6,113.8,1050,1520,350,12.2,16.25,7000,-8.25,12.3,24.05,546,221,321
-,-,4,36.68,110.65,-29.75,700,84.15,94.05,350,1540,700,14.4,21.15,7000,-5.1,16.9,23.98,31,10,15
-,-,-,-,-,-,2450,69.05,91.05,700,1560,2100,18.55,30.65,7000,-14.2,22.4,23.75,28,13,13
39,39,163,23.57,63,-55.15,350,56.25,64,350,1580,350,24.8,34.5,7000,-15.5,29.05,23.48,45,25,26
417,124,797,23.31,50.05,-1.25,700,50,53.4,350,1600,350,36,37.2,350,-7.65,37.15,23.32,604,-1,426
36,30,236,22.14,40.9,-0.8,700,34.15,45,700,1620,350,43.1,53.65,1050,-5.8,44.75,22.06,120,23,44
126,21,516,23.83,33.7,-1.85,350,31.55,35.85,700,1640,350,51.95,65.1,1050,-4.3,56,22,124,14,113
46,17,142,23.28,25.5,-2.55,350,20.6,26.5,350,1660,700,63.7,77.75,2800,11.1,61,17.44,7,3,7
-,-,-,-,-,-,1050,9.3,26,350,1680,700,68.4,95.45,1050,-,-,-,-,-,-
332,116,597,23.63,15.3,-3.15,700,12.9,15.9,350,1700,350,96.6,108,350,-16.25,86.95,11.87,11,1,21
-,-,-,-,-,-,350,9.1,19.2,3500,1720,700,108.85,129.7,1050,-39.6,107.4,14.86,4,1,3
4,4,10,24.21,9.05,-44.8,350,4.75,13,2800,1740,1400,120.95,141.8,1750,31,128,18.01,4,2,3
5,5,14,24.76,7.15,-161.45,350,7.1,9.4,7000,1760,1400,145.65,159.8,1750,-,-,-,-,-,-
9,9,31,25.24,5.6,-37.7,10500,4.1,7.45,7000,1780,700,150.25,178.55,1750,-47,157.05,-,2,-,-
5,5,22,26.73,5.15,-143.2,350,2.85,5.65,7000,1800,700,169,196.95,1750,-,-,-,-,-,16
-,-,12,26.75,3.8,-30.65,2800,0.75,6.8,350,1820,1750,193.7,217.45,1750,-,-,-,-,-,-
-,-,7,27.38,3.1,-126.85,350,1.4,5,1050,1840,1750,212.25,235.7,1750,-,-,-,-,-,-
8,1,4,30.54,2.95,1.45,350,1.8,2.7,1050,1880,700,253.5,273.25,1750,-,-,-,-,-,2
8,1,2,30.97,1.8,-,2800,0.35,2.95,350,1920,700,291.55,313.3,1750,-,-,-,-,-,-
