CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,2000,175.95,188.75,1000,840,500,0.6,3.45,500,-,1.6,-,-,-,4
-,-,-,-,-,-,2000,136.15,151.2,2000,880,6000,0.6,5.05,5000,-,-,-,-,-,-
-,-,-,-,-,-,1500,120.15,130.05,1500,900,500,5.55,5.95,500,1.65,5.9,37.21,70,21,38
-,-,-,-,-,-,3500,102.7,113.15,1500,920,500,7.4,8.95,1000,1.3,6.6,33.78,49,-1,29
-,-,-,-,-,-,3500,85.6,95,1500,940,500,10.05,10.75,500,-23.8,9.6,33.21,25,13,13
-,-,-,-,-,-,3500,69.3,78.95,1500,960,500,13.5,14.5,500,1,13,31.96,58,36,38
-,-,-,-,-,-,3500,53.85,64.05,1500,980,500,18,20,500,3.7,17.7,30.96,44,23,24
21,16,32,26.72,46.9,-17.8,500,44.8,46.55,500,1000,500,24.6,25.65,500,6.8,25.05,31.13,312,11,328
19,19,29,24.76,33.3,-73.3,500,33.25,34.4,500,1020,500,31.85,36.3,1000,-32.2,31.35,29,5,2,2
34,34,65,25.11,24.4,-173.35,500,22.95,24.45,500,1040,500,42.05,43.75,500,11.05,42,29.11,175,54,118
380,45,273,24.05,15.9,-11.25,1000,15.5,16.7,500,1060,500,53.65,55.5,500,14.75,55.2,29.95,194,3,231
50,7,56,24.6,11.05,-7.35,500,10.15,10.95,500,1080,500,67.8,73.25,500,11.45,63.7,24.79,12,2,20
456,105,584,24.75,7.25,-5.35,2500,7,7.35,500,1100,500,83.35,86.85,500,14.6,80.8,26.27,120,-25,368
170,74,200,25.48,5,-3.8,500,4.55,5,1000,1120,1500,98.45,108.45,2000,-,52.9,-,-,-,10
30,30,40,26.22,3.45,-51.9,500,3.1,3.7,500,1140,2000,114.35,126.85,2000,-,64.75,-,-,-,11
1,1,4,27.83,2.75,-128.8,-,-,4.75,500,1160,2000,131.55,148.45,2000,-,-,-,-,-,-
5,5,5,32.05,3.3,-40.25,5000,1.15,2.75,2500,1180,1000,152.3,166.1,1000,-10.85,148.05,-,1,1,1
283,45,132,29.36,1.4,-1.4,500,1.35,1.45,1000,1200,1000,172.15,184.65,1000,-,153,-,-,-,45
8,-,1,30.31,1.05,-0.9,2500,1,1.1,500,1220,1000,191.7,204.2,2000,-,-,-,-,-,-
14,-,-,-,1.25,-,2000,0.6,1.95,500,1240,1000,211.15,225.4,2000,-,180,-,-,-,1
7,-,-,-,0.8,-,500,0.3,2.95,500,1280,1000,251.95,266.05,5000,-,221,-,-,-,4
