CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
5,-,-,-,67.3,-,6200,68.7,72.15,3100,210,-,-,0.85,3100,-,-,-,-,-,-
16,-,-,-,62.75,-,12400,58.65,61.5,12400,220,155000,0.05,0.35,3100,-,-,-,-,-,-
6,-,-,-,58,-,6200,53.7,57.15,12400,225,-,-,0.7,3100,-,-,-,-,-,-
9,-,-,-,49.65,-,6200,48.75,51.35,12400,230,93000,0.1,0.4,9300,-,0.35,-,-,-,2
-,-,-,-,-,-,6200,44.2,46.7,12400,235,27900,0.15,0.6,6200,-,0.65,-,-,-,1
10,-,-,-,43.8,-,3100,39.45,42.2,6200,240,6200,0.45,0.6,6200,-0.05,0.6,33.15,53,36,59
-,-,-,-,-,-,12400,34.15,38.2,3100,245,93000,0.3,1.55,31000,-,-,-,-,-,-
75,1,1,31.8,31.6,1.6,6200,30.95,31.35,3100,250,3100,1,1.1,9300,-0.15,1.1,30.25,65,10,106
6,1,1,37.49,28.5,-1.15,3100,26.5,26.85,3100,255,6200,1.45,1.55,9300,-0.3,1.55,29.15,43,22,52
34,3,10,25.35,22,0.85,3100,22.2,22.55,3100,260,6200,2.15,2.25,15500,-0.45,2.2,28.2,170,58,249
18,1,8,26.06,18.2,0.35,3100,18.25,18.55,3100,265,9300,3.15,3.25,9300,-0.6,3.2,27.73,138,18,199
284,-2,54,26.79,14.85,0.75,3100,14.7,14.95,3100,270,3100,4.55,4.65,9300,-0.75,4.65,27.69,364,78,439
72,14,70,25.88,11.45,0.2,3100,11.6,11.8,3100,275,3100,6.3,6.45,6200,-1,6.35,27.15,254,31,182
266,41,566,26.59,9,0.35,9300,8.9,9.05,3100,280,3100,8.55,8.75,3100,-1.15,8.8,27.64,342,63,278
170,20,241,26.68,6.8,0.1,3100,6.8,6.9,3100,285,6200,11.35,11.55,3100,-1.3,11.6,27.87,71,-7,91
726,92,785,27.18,5.15,0.1,12400,5.05,5.15,3100,290,3100,14.6,14.8,3100,-1.35,14.9,28.42,49,1,82
158,44,236,27.11,3.7,-0.1,6200,3.75,3.85,6200,295,6200,17.45,19.45,9300,0.05,19.55,-,-,-,24
897,55,617,27.71,2.75,-0.2,9300,2.75,2.85,34100,300,3100,22.15,22.45,3100,-1.6,22.55,29.79,33,-,230
158,12,113,28.14,2,-0.25,3100,2,2.1,12400,305,3100,26.4,26.7,3100,-2.1,25.45,23.99,5,-1,11
854,22,273,28.89,1.5,-0.2,15500,1.45,1.55,12400,310,3100,30.7,31.15,3100,-1.3,31.15,31.36,5,-,22
61,13,37,29.09,1.05,-0.15,9300,1.05,1.15,6200,315,15500,33.7,36.85,6200,-,36.5,-,-,-,12
320,59,328,29.95,0.8,-0.2,9300,0.75,0.85,9300,320,12400,38.7,41.5,6200,-,42,-,-,-,17
118,24,56,30.64,0.6,-0.1,12400,0.5,0.65,3100,325,12400,43.55,46.35,15500,-,42.1,-,-,-,27
115,18,42,33.1,0.6,-,15500,0.45,0.5,3100,330,3100,48.2,51.2,15500,-,47,-,-,-,1
