CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
5,5,9,-,127.1,-128.95,675,127.25,129.2,675,640,675,2.55,2.7,675,-0.1,2.6,42.13,203,129,131
2,2,2,-,89.7,-136.35,1350,88,94.85,1350,680,675,5.05,5.15,675,0.5,5.25,37.68,254,172,186
9,7,11,24.56,72.4,-30.6,675,72.9,74.1,675,700,675,7.2,7.6,675,0.35,7.55,35.66,242,90,149
-,-,-,-,-,-,1350,54.55,60.85,2700,720,675,10.95,11.3,675,0.8,11.05,34,85,-7,80
16,13,27,27.54,42.55,-5.75,675,42.9,43.95,675,740,675,16.6,17.3,2025,1.7,16.8,33.45,119,19,89
124,65,180,29.35,31.95,-3.6,675,31.3,34.6,1350,760,675,24.65,25.35,675,2,25,33.51,321,78,163
202,72,421,29.91,22.8,-3.45,675,22.2,22.75,675,780,675,35.25,35.95,675,3.35,35.7,34.04,166,-18,93
489,227,679,30.46,15.85,-3.05,675,15.15,15.9,675,800,675,48.15,49.25,675,3.6,48.6,34.84,62,4,258
333,1,208,30.9,10.7,-2.9,675,10.5,10.85,1350,820,675,62.95,64.15,675,4.55,63.9,36.59,19,8,59
15,15,26,31.4,7.1,-122.65,675,7,7.3,675,840,675,79.2,81.5,1350,4.7,81.35,39.72,10,-5,93
65,65,93,32.24,4.8,-56.95,675,4.8,4.95,675,860,675,96.7,100.45,675,7.25,98.9,41.98,6,5,31
-,-,-,-,-,-,675,2.35,6.25,675,880,675,112.1,122.55,2025,-,111.6,-,-,-,10
354,199,402,34.43,2.35,-1.05,1350,2.35,2.45,675,900,3375,128.15,138.65,1350,0.75,129.9,-,-,-,27
108,29,73,34.56,1.45,-0.95,675,1.45,2.35,6750,920,1350,147.3,157.65,1350,-,116.65,-,-,-,37
27,-,-,-,1.2,-,675,0.6,1.2,8100,960,1350,186.1,196.75,3375,-,160,-,-,-,3
63,1,2,47.59,0.75,-0.2,675,0.3,1.65,675,1040,-,-,-,-,-,-,-,-,-,-
