CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,600,381.6,493.2,600,1800,300,3.1,3.4,300,-1.1,3.2,42.31,126,42,177
-,-,-,-,-,-,600,325.45,396.25,600,1900,300,5.2,5.9,300,-1.6,5.7,37.95,198,54,163
-,-,-,-,-,-,9000,275.1,348.85,9000,1950,300,7.25,8.9,300,-1.7,7.8,35.94,35,6,39
102,18,53,28.84,271,-27.05,300,270.25,273.5,300,2000,300,10.2,10.9,300,-1.7,10.4,33.65,887,150,777
-,-,-,-,-,-,600,175.8,268.05,9000,2050,3000,11,24.9,600,-,-,-,-,-,-
136,9,68,27.01,181.75,-28,300,180.45,184.15,300,2100,300,21.05,21.5,300,0.05,21.45,30.5,920,177,702
-,-,-,-,-,-,300,138,191.8,600,2150,2400,20.2,45.3,600,-,-,-,-,-,-
285,64,554,26.11,107,-23.25,300,105.95,107.55,300,2200,600,44,44.8,300,4.05,44.05,27.82,1582,245,935
545,271,1305,25.31,76.05,-19.2,300,75.8,76.9,300,2250,300,63.05,63.9,300,8.1,63.95,27.37,1538,212,507
3043,661,3797,24.98,52,-14.5,300,52.25,52.45,300,2300,300,88,89.75,300,11.8,88.1,26.53,1970,319,2311
1507,196,1951,25.06,34.6,-10.15,300,34.3,35.15,300,2350,600,114.3,122.15,300,17.4,121,27.04,371,21,1077
2633,343,2446,25.5,22.85,-5.6,300,22.45,22.95,300,2400,300,156.85,162.6,300,21.95,159.05,27.89,180,-7,1331
-,-,-,-,-,-,3900,12.8,40.4,600,2450,300,198.7,201.05,300,30.05,197.2,26.96,45,36,48
2044,184,2121,26.18,9.1,-2.45,300,9.05,9.2,300,2500,300,243.1,246.35,300,27.15,245,30.19,98,33,1336
215,15,485,26.57,5.6,-1.8,900,5.5,5.95,300,2550,3000,274.35,329.5,3000,-3.45,260.35,-,-,-,95
2378,-12,1499,26.88,3.35,-1.15,300,3.25,3.35,600,2600,300,334.65,339,300,28.4,339,33.89,111,9,3077
-,-,-,-,-,-,1200,1.2,9.3,300,2650,600,360.25,433.3,600,-,-,-,-,-,-
520,66,333,28.01,1.3,-0.75,2100,1.3,1.4,1800,2700,3000,431.7,437.2,300,32.8,437.15,39.57,31,-5,1805
947,-10,80,31.25,0.9,-0.1,1500,0.85,0.9,1200,2800,600,513.55,539.6,300,15.2,521.2,-,4,-2,748
