CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,2400,155.95,165.3,1200,760,600,0.85,2.15,600,-28.8,1.85,39.25,14,11,11
-,-,-,-,-,-,3000,135.65,147.25,2400,780,600,0.65,5.1,600,-16.5,2.8,38.17,2,2,2
-,-,-,-,-,-,4200,118.65,125.4,1800,800,600,3.85,3.95,600,-0.05,3.9,36.47,677,92,229
-,-,-,-,-,-,1200,100.9,107.7,1800,820,600,5.8,7.05,6000,-22,6.4,36.59,91,59,59
-,-,-,-,-,-,1200,83.7,90.75,1800,840,600,8.8,9,600,1.05,9.15,35.54,419,83,337
-,-,-,-,-,-,1800,63.6,79.2,600,860,-,-,16.65,600,-,-,-,-,-,-
55,55,66,29.95,58,-136.75,600,57.9,59.8,600,880,600,17.95,23.75,3000,-,-,-,-,-,-
227,81,370,30.07,45.3,-5,600,45.05,47.65,600,900,10800,26,26.35,1200,0.8,25.2,33.53,606,40,562
212,123,815,30.63,35,-4.15,600,34.55,35.15,1200,920,600,33.85,35.6,600,2.3,35.25,34.41,593,85,245
487,165,821,30.94,26.35,-3.2,600,26,26.35,600,940,600,44.6,47.05,600,3.1,46.7,35,278,38,462
419,153,917,31.39,19.6,-2.9,600,19.3,19.8,600,960,1200,58.75,60.15,600,3.8,59.95,35.82,107,4,158
375,25,318,31.81,14.35,-2.7,600,14.05,14.6,1200,980,600,71.75,74.85,600,6.2,75.5,37.65,72,-7,142
1252,156,1030,31.78,10,-2.55,600,10.1,10.6,600,1000,2400,86.5,90.85,600,4.6,90.45,37.74,58,5,723
-,-,-,-,-,-,600,4,10.1,600,1020,1800,101.45,113.85,1800,-,90,-,-,-,4
-,-,-,-,-,-,-,-,7.25,600,1040,1800,108.8,133.3,600,-,110,-,-,-,7
78,28,103,34.21,4,-0.8,1200,3.9,4.1,1200,1060,2400,140.5,144.4,600,7.9,143.7,42.76,28,7,14
173,-9,123,34.98,2.95,-0.6,600,2.9,3,600,1080,1200,161.4,163.3,600,7.15,162.25,44.4,20,-,20
30,-,2,41.04,2.95,1.2,1200,1.45,2.2,600,1120,1200,188.75,205.45,3000,-,196,-,-,-,44
23,4,4,39.08,1.1,-0.15,1200,1,1.1,1800,1160,1200,227.75,244.45,3000,-,230,-,-,-,237
