CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,950,189.9,230.7,950,1120,4750,1.3,1.5,950,-0.7,1.3,30.33,97,71,130
-,-,-,-,-,-,950,151.25,183.8,950,1160,475,2.2,2.4,475,-1.15,2.35,27.96,197,92,210
-,-,-,-,-,-,1900,135.7,161.2,950,1180,475,3.1,3.3,475,-1.2,3.3,27.04,71,37,50
42,-,-,-,129.85,-0.8,950,121.35,138.15,10925,1200,475,4.35,4.4,475,-1.55,4.4,25.78,293,45,406
-,-,-,-,-,-,1425,95.65,126,19000,1220,475,5.05,6.2,475,-1.65,6.25,24.99,143,22,116
-,-,-,-,-,-,1425,78.45,106.45,950,1240,475,8.45,8.75,475,-1.9,8.6,24,297,19,259
40,19,74,20.16,72.6,-5.95,475,71.7,72.95,475,1260,950,9.65,18.85,4750,-,-,-,-,-,-
100,28,111,19.23,56.55,-6.7,475,56.55,58.05,475,1280,475,16.55,17,475,-1.7,17.1,22.84,509,113,260
658,161,1445,19.2,43.25,-6.25,475,43.35,44.35,475,1300,475,23.05,23.65,475,-1.45,23.45,22.3,1973,426,1304
843,281,1995,19.82,33,-4.85,475,32.35,33.15,475,1320,475,31.9,32.45,475,-0.85,32.3,22.3,1173,252,689
1270,202,1827,19.58,23.5,-4.3,475,23.5,23.75,475,1340,475,42.4,43.2,475,0.4,43.1,22.39,477,-2,904
1148,126,966,19.69,16.5,-3.25,475,16.15,16.6,475,1360,475,54.55,55.9,475,1.6,55.95,22.7,121,-5,669
650,130,728,19.85,11.3,-2.35,950,11,11.3,475,1380,1900,64.95,70.75,475,2.35,71.5,23.91,68,1,299
2237,14,1484,20.08,7.6,-1.7,1425,7.35,7.65,950,1400,950,78.9,87.4,475,4.5,87.3,24.48,142,-21,2463
-,-,-,-,-,-,-,-,9.4,475,1420,475,84.55,116.4,950,-,97.5,-,-,-,15
607,-20,431,20.96,3.5,-1.05,475,3.5,3.6,475,1440,475,121.2,122.6,475,3.4,122.65,26.85,16,6,38
289,94,404,21.78,2.55,-0.8,16150,2.5,2.6,2375,1460,950,139.5,141.65,475,2.45,141.95,29.12,40,19,60
40,10,26,22.53,1.85,-0.65,475,1.75,1.9,475,1480,1900,142.15,168.85,950,-,154.5,-,-,-,15
345,101,246,23.41,1.4,-0.65,475,1.3,1.4,1900,1500,950,178.2,181.35,475,1.75,176.75,26.93,10,3,264
102,8,43,24.18,1.05,-0.75,1425,1,1.15,475,1520,950,178.45,207.85,950,-,188.35,-,-,-,36
63,3,4,27.45,0.95,-0.4,475,0.6,0.9,475,1560,950,211.15,247.3,950,-,-,-,-,-,-
72,20,43,27.87,0.45,-0.6,950,0.45,0.55,950,1600,5225,274.85,285.1,5225,-,270,-,-,-,28
