CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,250,1212.7,1278.35,500,4100,125,0.25,20,125,-,-,-,-,-,-
-,-,-,-,-,-,250,1116.35,1175.2,250,4200,3750,1.1,3,125,-2.4,1.5,34.71,1,-1,4
-,-,-,-,-,-,500,1067.55,1120.35,500,4250,125,0.25,-,-,-,-,-,-,-,-
-,-,-,-,-,-,500,1017.45,1076.45,125,4300,125,0.25,5.8,250,-,-,-,-,-,-
-,-,-,-,-,-,500,969.9,1032.95,500,4350,125,0.25,15.05,5000,-,-,-,-,-,-
-,-,-,-,-,-,500,919.55,983,500,4400,125,0.25,15.75,125,-,-,-,-,-,-
-,-,-,-,-,-,500,870.2,933.95,500,4450,2500,0.3,22.2,125,-,-,-,-,-,-
-,-,-,-,-,-,250,821.1,884.65,125,4500,375,2,12.7,250,-,40,-,-,-,1
-,-,-,-,-,-,500,772.1,838.7,500,4550,125,1.15,24.4,125,-,-,-,-,-,-
-,-,-,-,-,-,500,723.2,782.65,125,4600,3000,1.25,10,125,-,-,-,-,-,-
-,-,-,-,-,-,500,677.15,746.5,125,4650,2500,1.2,28.25,125,-,-,-,-,-,-
-,-,-,-,-,-,250,625.15,684.3,125,4700,125,6.15,10.15,125,-182.9,7.9,26.42,3,-,-
-,-,-,-,-,-,500,576.5,639.65,250,4750,250,7.1,15.25,125,-,-,-,-,-,-
-,-,-,-,-,-,500,530.85,584.15,250,4800,125,7.6,13.85,125,-5.95,12.05,25.14,16,12,14
-,-,-,-,-,-,500,483.9,569.6,500,4850,250,7.25,40.35,125,-,-,-,-,-,-
-,-,-,-,-,-,500,434.25,517.7,500,4900,250,10.1,37.8,125,-,22.8,-,-,-,6
-,-,-,-,-,-,500,385,452.05,250,4950,125,13.1,30.35,125,-,-,-,-,-,-
5,-,-,-,419,-,250,347.9,394.9,250,5000,125,23.75,26.45,125,-1.7,26,22.06,96,19,64
-,-,-,-,-,-,500,297.8,378.5,375,5050,125,18.55,69.85,375,-,-,-,-,-,-
3,-,-,-,432,-,500,250.9,325,250,5100,125,34.6,59.1,125,-,41.7,-,-,-,13
-,-,-,-,-,-,375,215.2,281.85,375,5150,125,47.15,85.95,375,-,-,-,-,-,-
24,4,18,17.98,201,-60.35,125,199.65,221.4,125,5200,125,55.75,69.9,125,0.85,62.65,19.92,153,48,130
-,-,-,-,-,-,500,156,201.05,375,5250,125,73.25,96.1,125,7.5,85.5,20.81,34,13,15
35,-7,68,19,145,-49.4,125,126.45,151.85,250,5300,250,99.35,102.95,125,10.8,103,20.26,404,50,81
-,-,-,-,-,-,500,95.05,136.95,375,5350,250,121.8,127,125,14.9,125,19.97,79,14,27
150,31,344,18.68,94.5,-39.85,125,92.15,100.4,250,5400,125,148.6,151.5,125,12.45,151.5,19.91,217,1,114
35,9,32,18.18,72.2,-36.65,125,73.7,80,125,5450,375,160.9,205.15,250,-,-,-,-,-,-
290,122,346,18.9,60.1,-28.35,125,57.45,61,125,5500,250,193.35,220.85,125,18.75,208.55,18.89,20,1,133
47,19,38,18.5,44.5,-28.15,250,43.6,49.4,125,5550,375,231.2,272.75,125,-,222,-,-,-,23
46,10,129,19.01,36,-23.15,250,30.9,38.95,125,5600,375,267.9,311.35,375,-,-,-,-,-,-
-,-,-,-,-,-,-,-,46.1,125,5650,125,247.05,377.05,250,-,-,-,-,-,-
49,11,80,19.78,22.8,-12.1,250,18.95,24.1,125,5700,250,341.3,397.85,625,-,-,-,-,-,-
2,-,-,-,73.7,-,-,-,33.3,250,5750,250,362.4,459.75,625,-,-,-,-,-,-
161,101,269,20.38,14,-8.4,125,14.1,16.65,125,5800,1250,413.75,493.4,250,-,-,-,-,-,-
-,-,-,-,-,-,500,2.1,19.25,125,5850,5000,422.25,543.9,250,-,-,-,-,-,-
-,-,-,-,-,-,125,5,14.95,125,5900,5000,464.2,600.5,250,-,-,-,-,-,-
-,-,-,-,-,-,1250,2.1,11.5,125,5950,250,511.3,642.4,250,-,-,-,-,-,-
79,-17,527,22.33,6.25,-3.75,125,5.8,6.3,125,6000,250,603.7,682.85,250,-,-,-,-,-,-
20,-10,14,22.36,3.35,-4.1,125,2.3,6.25,125,6100,250,701.15,785,250,-,-,-,-,-,-
