CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,500,1480.5,1566.6,400,5800,100,1.05,27.5,200,-,-,-,-,-,-
-,-,-,-,-,-,200,1380.05,1475.8,400,5900,1000,1.25,35.5,200,-,-,-,-,-,-
-,-,-,-,-,-,200,1287.5,1362.55,200,6000,100,10.65,12.5,100,-1.1,12.05,38.73,43,-6,30
-,-,-,-,-,-,400,1197.25,1289.45,400,6100,100,5.5,46.75,200,-,-,-,-,-,-
-,-,-,-,-,-,400,1097.95,1202.9,100,6200,100,11,56.65,200,-,-,-,-,-,-
-,-,-,-,-,-,400,995.4,1112.45,200,6300,-,-,67.95,200,-,-,-,-,-,-
3,-,-,-,1060,-,400,895.35,1021.05,100,6400,-,-,80.85,200,-,-,-,-,-,-
-,-,-,-,-,-,400,796.05,953.9,100,6500,-,-,95.4,200,-,-,-,-,-,-
1,-,-,-,766,-,400,697.5,870.95,100,6600,-,-,111.6,200,-,-,-,-,-,-
-,-,-,-,-,-,400,599.8,784.3,100,6700,100,56,129.4,200,-,-,-,-,-,-
-,-,-,-,-,-,1000,498.7,691.55,100,6800,-,-,149.25,200,-,-,-,-,-,-
-,-,-,-,-,-,400,425.1,612.95,300,6900,-,-,171,200,-,-,-,-,-,-
25,-3,11,34.95,490,50.6,100,435.55,463.75,100,7000,100,137.05,144.7,100,-3.5,147,33.77,332,168,447
7,-7,17,30.5,392,25.2,300,366.75,404.05,200,7100,100,170.1,199.3,200,-10.75,170.8,32.23,44,12,73
6,1,4,29.64,325.9,15.1,100,300.6,332.6,100,7200,100,194.3,260.05,1000,-,-,-,-,-,-
116,22,317,29.32,270,20.45,100,246.95,276.2,100,7300,100,249,256.15,100,-19.7,248.65,31.12,133,18,60
195,51,310,29.1,221,18.25,100,218.25,226.85,100,7400,100,297.45,324.3,400,-8,313.4,32.59,44,3,37
728,27,221,28.3,173.4,11.65,100,171,181.95,100,7500,100,349.4,388.1,200,0.35,380,33.65,18,1,568
66,14,73,28.4,139.4,9.55,100,137.55,144.7,100,7600,100,400.45,444.55,100,-,448.2,-,-,-,20
73,13,102,28.92,114,9.45,100,101,114.05,100,7700,100,464.2,518.1,100,-0.9,517.6,-,-,-,5
-,-,-,-,-,-,200,74.8,177.7,100,7800,300,514.6,680.7,100,-,-,-,-,-,-
-,-,-,-,-,-,100,41.55,160.35,500,7900,300,593.3,767.35,100,-,-,-,-,-,-
241,65,260,29.06,53.85,3.75,900,53,54,200,8000,200,660.4,763.3,400,-,768,-,-,-,2
-,-,-,-,-,-,-,-,130.9,1000,8100,100,617.6,870,100,-,-,-,-,-,-
132,36,134,29.33,31.65,1.05,100,31.7,33.45,100,8200,200,837.85,941.65,200,-,-,-,-,-,-
-,-,-,-,-,-,200,10,104.75,200,8300,100,919.85,1105.35,500,-,-,-,-,-,-
-,-,-,-,-,-,100,6.05,93.3,100,8400,100,1013,1193.4,500,-,-,-,-,-,-
-,-,-,-,-,-,100,3.15,84.9,100,8500,100,1108.6,1288.95,200,-,1028.95,-,-,-,1
-,-,-,-,-,-,200,1.55,73.6,900,8600,100,1226.4,1370.65,500,-,-,-,-,-,-
-,-,-,-,-,-,600,0.25,65.2,200,8700,200,1325.05,1462.8,500,-,-,-,-,-,-
-,-,-,-,-,-,200,1.55,57.65,300,8800,200,1424.35,1564.8,200,-,-,-,-,-,-
-,-,-,-,-,-,300,1.2,44.85,300,9000,200,1622.95,1738.45,500,-,-,-,-,-,-
