CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,2100,80.1,94.6,2100,480,1050,0.1,0.95,1050,-,-,-,-,-,-
-,-,-,-,-,-,2100,70.55,84.55,2100,490,1050,0.15,0.75,1050,-,-,-,-,-,-
17,-,-,-,67.35,-,10500,63.7,69.35,11550,500,5250,0.65,0.85,1050,-0.4,0.9,26.5,19,16,28
-,-,-,-,-,-,2100,56.15,69.25,1050,505,-,-,1.75,10500,-,-,-,-,-,-
-,-,-,-,-,-,2100,51.45,66.85,42000,510,2100,0.95,1.3,2100,-0.55,1.2,24.67,24,24,25
-,-,-,-,-,-,1050,46.8,58.7,1050,515,1050,0.2,1.85,10500,-,-,-,-,-,-
1,-,-,-,60,-,2100,40.6,53.2,42000,520,1050,1.7,1.75,1050,-0.65,1.7,23.12,156,87,111
-,-,-,-,-,-,1050,36.7,49.75,1050,525,1050,2.15,2.25,1050,-1.3,1.65,21.07,9,4,13
5,5,15,-,37.75,-30.8,1050,37.45,37.85,1050,530,1050,2.8,2.85,3150,-0.9,2.8,22.56,48,3,125
4,4,7,13.72,33.55,-40.55,1050,33.3,33.8,1050,535,1050,3.55,3.65,1050,-0.85,3.5,22.18,29,19,44
19,8,16,18.06,30.6,1.75,1050,29.3,29.8,1050,540,1050,4.5,4.6,2100,-1.05,4.55,22.21,123,22,119
-,-,-,-,-,-,2100,20.7,33.85,4200,545,1050,5.65,5.8,2100,-1.1,5.8,22.22,29,9,29
65,21,101,16.49,22.1,-0.45,2100,22,22.5,1050,550,1050,7.1,7.25,1050,-1.15,7.25,22.17,212,60,236
-,-,-,-,-,-,2100,16.15,20.9,4200,555,1050,8.7,9.05,1050,-1.35,9,22.22,59,8,69
158,32,287,17.5,16.05,-0.7,1050,16,16.3,1050,560,1050,10.85,11.1,1050,-1.45,11.05,22.32,399,9,419
52,42,166,17.74,13.4,-0.65,1050,13.25,13.65,1050,565,1050,13.2,13.4,1050,-1.6,13.3,22.33,172,37,82
504,136,905,17.85,11,-0.65,10500,11,11.15,1050,570,1050,15.65,16.05,2100,-1.55,16,22.62,219,52,339
112,32,145,18.07,9,-0.8,1050,8.9,9.15,1050,575,1050,18.6,19,1050,-2,18.35,21.99,56,8,54
396,74,457,18.28,7.3,-0.65,1050,7.15,7.3,2100,580,2100,21.8,22.2,1050,-1.65,21.8,22.64,70,8,490
114,10,83,18.46,5.85,-0.5,1050,5.7,5.85,1050,585,1050,25.2,25.75,1050,-1.1,26,24.17,22,2,40
333,39,360,18.54,4.6,-0.5,2100,4.55,4.65,2100,590,1050,28.95,29.5,1050,-1.35,29.35,24.03,129,-48,173
37,4,40,19.39,3.95,-0.3,1050,3.5,3.7,2100,595,2100,29.45,35.4,2100,0.7,34.1,26.01,1,1,1
803,155,655,19.06,2.9,-0.45,3150,2.85,2.9,2100,600,1050,37.05,37.7,1050,-2,36.75,23.91,33,3,276
20,12,23,19.22,2.25,-0.5,2100,2.15,2.25,3150,605,1050,41.45,42.05,1050,2.95,41.65,25.81,8,5,5
117,46,109,19.43,1.75,-0.4,3150,1.65,1.75,2100,610,1050,45.85,46.5,1050,-1,46.4,27.31,15,1,17
7,7,7,18.66,1.1,-27.25,1050,1.35,1.5,1050,615,1050,43.9,56.7,1050,-,-,-,-,-,-
391,87,314,19.86,1.05,-0.3,5250,0.95,1.15,4200,620,1050,55.05,55.75,1050,-2.45,54.8,27.35,14,4,279
39,16,40,20.29,0.85,-,1050,0.75,0.9,1050,625,1050,51.15,64.65,2100,-,48,-,-,-,3
161,4,42,20.77,0.7,-0.15,6300,0.6,0.75,3150,630,10500,64.05,68.05,1050,-,65.85,-,-,-,182
8,-,-,-,1.85,-,4200,0.3,0.85,1050,635,2100,62.3,74.3,2100,-,-,-,-,-,-
88,11,34,21.47,0.45,-0.05,5250,0.4,0.45,1050,640,2100,68.45,79.15,2100,-,75,-,-,-,28
-,-,-,-,-,-,2100,0.1,1.5,1050,645,2100,71.35,84.05,2100,-,-,-,-,-,-
874,78,143,21.65,0.25,-,78750,0.25,0.3,61950,650,10500,83.65,87.55,2100,1.1,86.55,-,-,-,1016
8,-,-,-,0.6,-,1050,0.1,1.7,1050,655,2100,82.25,93.95,1050,-,-,-,-,-,-
-,-,-,-,-,-,22050,0.1,0.45,3150,660,2100,86.9,98.8,2100,-,-,-,-,-,-
-,-,-,-,-,-,-,-,1.85,1050,665,2100,90.7,103.8,1050,-,-,-,-,-,-
-,-,-,-,-,-,1050,0.05,0.5,3150,670,2100,96.75,108.7,2100,-,-,-,-,-,-
-,-,-,-,-,-,-,-,0.45,2100,680,2100,106.4,118.6,2100,-,-,-,-,-,-
1,-,-,-,0.05,-,-,-,0.25,1050,690,2100,117.15,128.35,2100,-,122,-,-,-,6
