CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,500,316.7,340.6,500,1900,250,13.55,13.9,250,2.7,13.85,43.72,1152,195,284
-,-,-,-,-,-,500,273.05,290.65,500,1950,250,16.05,19.95,250,-8.4,19.15,42.43,101,50,50
16,13,25,33.53,241,-68.15,250,235.9,240.1,250,2000,250,27.15,28.75,250,5.5,27.25,41.8,1769,191,666
-,-,-,-,-,-,500,194.95,209.5,500,2050,250,32.4,39.95,250,-3.25,39.6,42.06,146,47,47
6,6,10,34.22,164.8,-724.45,250,164.8,166.65,250,2100,250,53.3,54.85,250,12.1,53.6,41.57,2024,131,757
-,-,-,-,-,-,250,131,142.5,500,2150,250,71.6,73.45,250,9.45,72.9,41.9,308,67,67
366,275,1492,34.94,105.35,-43.85,250,105.55,107.6,250,2200,250,93.95,95.6,250,22,95.5,42.08,5625,175,1173
302,255,1726,36.02,84.1,-36.5,250,82,84.5,250,2250,250,120.55,123.6,250,25.4,120.8,41.9,1498,209,412
1113,477,4966,35.98,64.05,-33.45,250,64.05,65,750,2300,250,152.05,156.6,250,32.2,153.1,43.09,1329,53,1001
492,139,1704,36.98,50.25,-26.25,500,49,49.95,250,2350,500,169.85,191.4,250,33.1,184.1,42.51,113,-55,173
1164,226,3891,37.34,38,-20,500,37,37.9,250,2400,250,222.45,226.35,250,43.35,224.8,44.81,188,15,630
524,53,1220,36.37,25.95,-17.6,250,25.95,28.5,500,2450,250,262.65,269.8,250,48.25,265.85,46.42,22,-8,118
1720,274,3109,37.93,20.9,-12.1,250,21,21.6,250,2500,250,305.05,314.25,250,47.35,303.8,45.62,38,-9,618
386,72,449,38.75,16,-8.85,250,15.25,16.2,250,2550,250,348.6,357.95,250,50.15,352.8,49.81,19,1,68
1837,288,1601,39.29,11.95,-7,250,11.75,12.4,250,2600,250,395.35,405.2,250,50.75,398.75,51.99,96,-3,435
240,83,249,40.67,9.75,-5.6,250,9.05,11.75,250,2650,250,439,450.1,250,113.35,432.9,45.37,26,12,23
838,128,748,40.98,7.15,-4.4,500,6.9,7.1,250,2700,250,488,496,250,54.2,492.2,56.11,40,-4,75
-,-,-,-,-,-,250,2.05,7.55,250,2750,500,519.4,553,1250,-,-,-,-,-,-
927,102,828,42.88,4.5,-2.45,1000,4.2,4.55,250,2800,250,581.7,592.9,250,-8.7,526,-,14,3,76
-,-,-,-,-,-,2500,1.25,6.2,250,2850,500,610.55,650.95,2500,-,-,-,-,-,-
174,-27,130,45.52,3.25,-1.15,250,2.7,3.85,250,2900,500,665.5,694.8,1250,-,605,-,-,-,27
1,-,-,-,71.9,-,1500,1.25,10.9,7500,2950,2500,709,750.5,1250,-,-,-,-,-,-
252,-43,158,47.99,2.4,-0.55,250,2.35,2.6,500,3000,250,779.1,787.6,250,41,748,-,36,-,52
4,1,2,49.89,1.7,-0.1,250,1.65,3.3,250,3100,250,866.25,888.85,250,43.3,851.3,-,22,10,14
