CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,250,1464.95,1873.95,125,6100,2500,0.35,6.9,750,-,-,-,-,-,-
-,-,-,-,-,-,250,1365.4,1568.85,125,6200,125,2,3.95,250,-,3.95,-,-,-,1
-,-,-,-,-,-,250,1318.25,1393.1,125,6300,500,2,4.9,750,-,-,-,-,-,-
-,-,-,-,-,-,250,1223.4,1303.45,125,6400,500,2.1,5.3,125,-89.45,4.5,29.92,2,-,-
-,-,-,-,-,-,250,1126.85,1194.1,250,6500,250,3.5,3.75,250,-112.25,3.75,26.96,22,22,22
-,-,-,-,-,-,250,1079.35,1155.1,125,6550,125,3,6.3,125,-,-,-,-,-,-
-,-,-,-,-,-,250,1028.75,1095.6,125,6600,125,4,4.95,2500,-135.7,6,26.74,2,-,-
-,-,-,-,-,-,250,973.15,1047.95,250,6650,125,4,7.95,125,-,79.95,-,-,-,2
2,-,-,-,1140,-,250,929.95,997.25,250,6700,1000,5.2,5.3,125,-1.65,5.25,23.94,1346,73,210
-,-,-,-,-,-,250,880.95,960.5,125,6750,250,5,9.1,125,6.5,9.55,25.42,2,-,1
-,-,-,-,-,-,250,828.15,899.75,125,6800,125,6.3,7.9,125,-84.6,7.2,22.97,33,10,12
-,-,-,-,-,-,625,782.7,866.1,250,6850,3500,1.85,14.2,125,-,-,-,-,-,-
-,-,-,-,-,-,250,735.3,801.2,500,6900,1000,8.25,9.5,500,-4.7,9.3,21.71,328,185,200
-,-,-,-,-,-,500,680.8,754.6,250,6950,500,5.25,17.8,125,-,20.55,-,-,-,1
9,-,-,-,869,-,250,644.55,688,1000,7000,125,12.75,13.5,125,0.15,13.2,20.84,461,78,226
-,-,-,-,-,-,625,589.85,676.25,250,7050,250,10.1,34.5,500,-,-,-,-,-,-
1,-,-,-,800,-,500,545.55,612.1,500,7100,3750,14.8,19.15,500,1.15,17.05,19.49,69,9,36
-,-,-,-,-,-,500,497.8,585.55,500,7150,500,10.1,43.15,125,-,-,-,-,-,-
