CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,20000,31.75,32.95,20000,95,-,-,0.1,10000,-,-,-,-,-,-
4,-,-,-,32.4,-,20000,26.9,28.05,20000,100,200000,0.05,0.15,165000,-0.05,0.1,40.74,5,4,23
-,-,-,-,-,-,20000,24.4,25.9,20000,102.5,115000,0.05,0.4,10000,-,-,-,-,-,-
6,4,4,-,22,-4.7,5000,22.3,22.65,15000,105,65000,0.15,0.2,80000,-3.45,0.2,37.96,26,23,23
1,-,-,-,23.5,-,10000,19.45,21.05,20000,107.5,40000,0.1,0.6,5000,-,-,-,-,-,-
46,-5,17,-,17.6,-3.5,5000,17.55,17.85,5000,110,5000,0.3,0.35,145000,-,0.35,34.26,120,32,141
8,-,4,29.55,15.75,-3.4,5000,15.15,15.4,5000,112.5,10000,0.35,0.45,5000,0.05,0.4,31.2,9,2,13
17,-2,11,-,12.9,-5.35,5000,12.9,13.1,5000,115,25000,0.6,0.65,270000,0.05,0.65,30.93,506,-73,370
13,7,11,27.34,11.2,-3.85,5000,10.7,10.9,10000,117.5,30000,0.85,0.9,40000,0.15,0.9,29.41,68,40,63
105,-11,77,22.94,8.75,-2.55,5000,8.7,8.85,5000,120,90000,1.25,1.3,30000,0.25,1.3,28.4,505,-7,532
30,4,27,27.67,7.4,-1.85,5000,6.8,7,5000,122.5,30000,1.85,1.9,20000,0.45,1.9,27.82,121,46,145
131,7,136,23.42,5.2,-2.25,5000,5.2,5.25,5000,125,15000,2.7,2.75,15000,0.65,2.75,27.63,838,114,573
95,38,144,24.14,3.9,-1.85,10000,3.85,3.9,15000,127.5,20000,3.8,3.9,15000,1,3.9,27.91,446,70,196
939,279,1323,24.35,2.8,-1.55,35000,2.75,2.85,65000,130,20000,5.2,5.3,20000,1.3,5.3,28.3,719,30,555
337,71,523,24.91,2,-1.25,10000,1.95,2,15000,132.5,5000,6.8,7,5000,1.7,7.1,29.98,55,-4,121
1050,219,1585,25,1.35,-1.05,115000,1.35,1.4,65000,135,5000,8.7,8.95,5000,1.45,8.45,26.88,57,18,182
417,185,402,26.25,1,-0.75,45000,0.95,1,60000,137.5,5000,10.75,10.95,5000,2.15,11.05,32.56,31,-1,110
780,141,1258,26.91,0.7,-0.55,650000,0.65,0.7,150000,140,5000,12.95,13.1,5000,2.3,13.25,34.41,114,90,165
178,-5,101,27.73,0.5,-0.4,185000,0.45,0.5,20000,142.5,5000,15.2,15.45,5000,2.4,15.5,36.1,12,4,15
571,164,729,28.39,0.35,-0.35,5000,0.35,0.4,220000,145,5000,17.55,17.85,5000,2.9,17.85,38.36,16,-,23
512,131,646,30.49,0.2,-0.2,120000,0.2,0.25,940000,150,5000,22.3,22.55,5000,3.1,22.65,43.13,9,6,21
181,4,167,31.62,0.1,-0.15,1410000,0.1,0.15,625000,155,10000,26.7,28.15,10000,-,-,-,-,-,-
