CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
1,-,-,-,400,-,500,402.15,429.8,500,2120,1000,0.75,1.45,250,-0.6,1.9,31.01,4,4,8
-,-,-,-,-,-,500,361.3,389.8,500,2160,250,0.75,2.1,500,-45.7,1.6,27.5,1,1,1
-,-,-,-,-,-,2750,326.9,346.6,2750,2200,250,1.25,1.8,250,-1.45,1.4,24.31,364,159,223
3,-,-,-,308.5,-,500,304.55,330.45,500,2220,2500,1.2,3.8,500,-,-,-,-,-,-
4,1,1,-,285.5,11.5,250,290,310.75,250,2240,500,2,3.85,250,-,-,-,-,-,-
-,-,-,-,-,-,500,265.75,291.35,500,2260,250,2.75,3.3,250,-2.35,2.8,23.06,182,108,237
-,-,-,-,-,-,500,247.35,272.2,500,2280,2500,2.8,5.75,250,-,-,-,-,-,-
66,-1,1,-,240,24.9,250,233.6,246.6,250,2300,250,4.3,4.75,250,-3.2,4.35,22.17,650,16,579
2,-,-,-,200,-,500,208.4,232.85,500,2320,250,5.05,6.15,250,-3.1,6.15,22.42,143,42,220
1,-,-,-,186.55,-,500,191.65,221.75,500,2340,250,6.8,7.8,250,-4.05,7.75,22.12,241,18,285
-,-,-,-,-,-,500,173.45,198.75,500,2360,250,9.1,11.4,250,-5.2,9.1,21.4,345,44,265
-,-,-,-,-,-,500,155.15,179.95,1000,2380,250,11.25,11.85,250,-6.8,11.25,21,151,-3,122
161,-10,100,17.84,150,22.45,250,145.15,151.5,250,2400,250,14.2,14.8,250,-8.3,14,20.69,1593,-8,690
37,4,23,17.05,131.95,16.1,250,126.8,136.3,250,2420,250,16.95,18.95,250,-10.05,17.5,20.46,496,-3,184
101,2,36,17.97,117.9,19.3,250,112.35,120.55,250,2440,250,21.85,25.3,250,-11.45,21.8,20.29,1138,152,371
141,42,367,19.72,107.4,20.65,250,96.4,104.75,500,2460,250,27.25,28.35,250,-13.95,26.9,20.11,1422,64,342
188,15,998,19.2,92.55,18.2,250,85.3,91.5,250,2480,250,33.2,35.85,250,-16.25,32.85,19.93,1714,114,353
1298,-357,6539,18.63,78.4,14.75,250,77.05,78.35,250,2500,250,40.6,42.05,500,-17.85,41.05,20.21,4519,329,1361
754,45,5533,18.07,65.25,11.05,750,65.55,67.5,250,2520,250,48.7,51.2,250,-18.6,49.4,20.17,2639,212,527
784,283,5751,19.11,57.95,11.75,1250,55.5,57.25,250,2540,250,58.15,61.2,250,-21.6,57.7,19.76,1603,-47,238
496,57,3105,19.13,48.75,9.65,250,46.85,48.25,250,2560,250,68.6,74.45,250,-22.3,68.95,19.99,540,25,147
413,93,2143,18.75,39.45,6.5,250,38.95,39.65,250,2580,250,80.4,87.55,250,-24.85,81.9,20.46,229,9,86
2855,202,7512,18.78,32.45,5.25,250,32.4,33.4,250,2600,250,93.45,99.7,250,-25.7,94.4,20.45,176,9,618
358,47,1230,19.34,27.8,5.1,250,26.65,27.4,250,2620,250,107.3,115.1,250,-23.85,112.15,22.04,17,6,65
318,20,875,19.36,22.55,3.65,250,22,22.4,250,2640,500,113.7,132.8,250,-,145.35,-,-,-,49
312,120,691,19.4,18.15,2.3,250,18.05,18.65,250,2660,250,136.05,148.65,500,-120.75,139,21.18,24,18,18
249,54,269,19.96,15.55,2.3,250,14.75,15.25,250,2680,500,136.6,168.95,1000,-,178.5,-,-,-,3
1401,89,1858,20.11,12.6,1.25,250,12.15,12.7,250,2700,250,166.6,179.05,250,-,198,-,-,-,77
158,7,138,20.16,10,0.25,250,10.1,10.45,250,2720,500,170.55,206.35,500,-,-,-,-,-,-
87,15,83,20.47,8.25,0.05,250,8.15,8.95,250,2740,500,188.3,222.6,500,-,234.5,-,-,-,1
174,2,317,21.01,7.1,0.05,250,6.2,7.4,500,2760,500,191.55,241.1,500,-,183.3,-,-,-,3
79,51,122,21.3,5.85,-0.45,250,5.6,6.5,250,2780,500,230.25,261.2,500,-,272.2,-,-,-,1
891,204,994,21.76,5,-0.35,250,4.95,5.25,750,2800,500,255,276.4,2750,-,277.3,-,-,-,28
236,95,501,22.37,3.45,-0.6,250,3.45,3.65,250,2840,500,287,317.35,500,-,-,-,-,-,-
186,135,231,23.16,2.5,-0.5,250,2.35,2.5,31500,2880,500,326.2,351,250,5,350,34.79,1,1,2
154,51,91,23.98,1.85,-0.25,500,1.7,1.85,250,2920,500,364.6,397.8,500,-,-,-,-,-,-
