CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,1700,319.75,334.05,1700,1040,6800,0.05,2.5,425,-,-,-,-,-,-
-,-,-,-,-,-,850,278.9,292.7,1700,1080,425,0.05,1,4250,-,-,-,-,-,-
-,-,-,-,-,-,1700,260.1,273.8,1700,1100,11475,0.15,1.75,425,-,-,-,-,-,-
-,-,-,-,-,-,1700,240.4,259.4,850,1120,4250,0.3,2.45,4250,-,1.7,-,-,-,10
-,-,-,-,-,-,1700,220.7,235.1,850,1140,4250,0.5,2.6,425,-,1.4,-,-,-,1
2,-,-,-,129.35,-,850,200.8,215.95,850,1160,4250,0.5,2.95,425,-,3.85,-,-,-,2
-,-,-,-,-,-,850,180.85,195.15,850,1180,425,1.4,2.55,425,-0.7,1.9,29.76,6,-1,31
14,-,-,-,169.15,-,1275,161.8,174.8,850,1200,850,2.4,2.5,425,-0.9,2.45,28.46,99,22,111
-,-,-,-,-,-,850,142.45,156.45,850,1220,425,2.4,3.7,425,-0.75,3.55,27.87,11,-,20
-,-,-,-,-,-,1700,124.25,138.25,1700,1240,850,4.3,4.6,425,-1.2,4.55,26.51,38,12,52
-,-,-,-,-,-,1275,106.7,118.1,850,1260,425,6.15,6.45,425,-1.2,6.45,25.87,127,42,117
37,6,15,16.63,95.35,1.3,850,93.1,96.2,425,1280,425,8.8,9.25,425,-1.65,9.1,25.32,65,1,118
78,2,30,18.53,79.3,-1.3,850,78.5,80.1,425,1300,425,12.55,13.05,425,-2.05,12.75,24.87,1114,69,360
17,1,33,19.47,64.6,-2.05,425,63.65,65.3,425,1320,425,17.8,18.35,425,-2.45,18,24.78,122,20,97
22,5,61,18.7,49.55,-4.55,425,51.25,52.2,425,1340,425,24.35,25.35,425,-2.2,24.95,24.89,368,17,182
125,46,296,20.56,40.3,-2.05,425,39.7,40.5,850,1360,425,32.85,33.85,425,-2.5,33.2,24.84,378,38,262
173,58,261,21.06,31.05,-1.75,425,30.55,31.5,425,1380,425,43.55,44.3,425,-0.15,45.9,26.59,117,15,128
476,42,668,21.55,23.6,-1.45,425,22.6,23.45,425,1400,425,55.25,56.4,425,-3.25,54.55,24.86,60,7,258
311,27,123,21.56,17.05,-1.75,425,16.65,17.35,425,1420,425,68.45,70.25,425,0.95,72.55,28.26,30,12,124
269,48,249,22.05,12.6,-1.35,425,12.15,12.7,425,1440,425,84.1,85.65,425,1.4,88.2,29.54,23,2,65
430,84,232,21.24,7.85,-2.55,425,8.9,9.3,425,1460,425,100.45,102.15,425,2.1,105,31.08,16,2,90
181,48,122,22.87,6.6,-1,425,6.55,6.9,425,1480,1275,114.6,124.7,425,-,123.4,-,-,-,75
535,51,430,23.71,5.05,-0.75,425,4.95,5.1,425,1500,425,135.65,137.8,425,3.25,141.05,34.86,22,3,132
91,11,67,23.74,3.4,-0.9,425,3.15,3.8,425,1520,850,137.55,162.65,850,-,155.8,-,-,-,19
103,3,45,24.61,2.65,-0.65,425,2.25,2.95,425,1540,1700,151.95,181.7,850,-,175.05,-,-,-,35
90,3,15,24.22,1.6,-1.2,425,1.65,2.25,425,1560,425,176.05,200.7,2125,-,-,-,-,-,-
58,-,1,28.13,2.35,-0.05,1700,1.15,1.95,425,1580,850,194.95,218.8,2125,-,-,-,-,-,-
92,-17,67,25.93,1,-0.9,425,1.1,1.2,425,1600,425,230.55,234.35,425,-,232,39.75,1,-1,45
5,-,-,-,3.2,-,425,0.5,1.45,2125,1640,850,254.85,277.75,2125,-,-,-,-,-,-
-,-,-,-,-,-,8500,0.2,5.65,17000,1680,850,289.85,321.55,2125,-,281,-,-,-,10
