CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
1,-,-,-,149.3,-,2000,118.5,126.5,4000,600,4000,0.2,1.55,4000,-,-,-,-,-,-
-,-,-,-,-,-,2000,99.15,106.85,4000,620,1000,0.55,1.5,1000,-3.35,1,30.36,1,1,1
-,-,-,-,-,-,2000,80,87.5,2000,640,1000,1.25,2.05,2000,-,-,-,-,-,-
13,13,27,-,73.4,-35.55,1000,73.95,75.6,1000,650,2000,2.25,2.45,2000,-8.5,2.35,27.54,82,45,45
7,7,12,16.36,64.45,-114.6,1000,65.25,68.4,1000,660,1000,3.25,3.35,1000,0.85,3.3,27.07,159,13,89
1,1,1,24.58,57.8,-36,2000,53.25,58.8,3000,670,1000,4.35,4.6,1000,1.45,4.8,27.07,111,23,40
2,2,7,20.93,47.7,-114.85,1000,48.4,49.05,1000,680,1000,6.05,6.35,1000,1.75,6.2,26.1,422,63,158
6,6,17,21.46,40,-39.8,1000,40.75,41.7,1000,690,1000,8.2,8.55,1000,2.5,8.5,25.9,125,42,68
48,31,110,21.78,32.95,-7.45,1000,33.65,34.15,1000,700,1000,11.05,11.4,1000,3.15,11.35,25.66,1040,233,579
18,18,56,22.5,27.05,-40.15,1000,27.25,28.1,1000,710,1000,14.4,14.9,1000,3.95,14.95,25.54,430,13,55
107,70,684,22.88,21.75,-6.8,1000,21.6,21.95,1000,720,1000,17.9,19.2,1000,4.45,19,25.11,1892,140,235
171,100,771,22.93,17,-5.7,1000,16.8,17.15,1000,730,1000,22.75,24.2,1000,5.65,24.4,25.44,584,20,192
235,88,713,22.7,12.8,-4.9,1000,12.75,13.3,1000,740,1000,29.05,30.25,1000,6.65,30.25,25.45,297,-2,95
538,119,897,22.97,9.75,-3.85,2000,9.55,9.95,1000,750,1000,36.25,36.95,1000,7.35,36.8,25.5,284,1,252
237,45,502,23.04,7.2,-3.5,1000,6.95,7.4,1000,760,1000,42.55,44.6,1000,8.15,44.45,26.23,52,-1,68
248,169,803,23.17,5.25,-2.6,1000,5.2,5.35,1000,770,1000,50.25,54.8,1000,-,43.9,-,-,-,164
272,116,552,23.56,3.9,-1.9,1000,3.8,3.95,5000,780,1000,59.3,60.95,1000,8.9,60.4,26.64,24,13,88
70,11,94,23.52,2.7,-1.75,1000,2.85,2.95,1000,790,2000,64.05,73.7,5000,-6.15,64.5,-,1,1,1
596,31,543,24.43,2.15,-1.25,4000,2.1,2.2,5000,800,1000,76.8,79.05,1000,10.9,80.35,32.4,51,20,189
30,17,46,24.71,1.55,-0.95,1000,1.5,1.65,1000,810,2000,82.5,92.25,2000,2.95,87.25,28.15,1,1,1
51,14,34,25.38,1.2,-0.7,1000,0.95,1.3,1000,820,2000,92.35,102.3,2000,-,56.5,-,-,-,2
24,-5,15,26.62,1.05,-0.7,1000,0.9,1.35,1000,830,2000,101.8,112.5,2000,-,-,-,-,-,-
7,1,1,30.11,1.4,-,1000,0.45,0.95,1000,840,2000,111.1,121.25,2000,-,-,-,-,-,-
6,1,4,28.21,0.7,-0.8,12000,0.5,0.85,1000,850,2000,120.6,131.2,2000,-,113,-,-,-,5
-,-,-,-,-,-,1000,0.2,2.95,1000,860,2000,130.6,143.7,2000,-,-,-,-,-,-
-,-,-,-,-,-,1000,0.2,1,1000,870,2000,141.15,151.2,2000,-,-,-,-,-,-
1,-,-,-,2.8,-,1000,0.15,0.85,1000,880,2000,150.45,160.85,2000,-,-,-,-,-,-
-,-,-,-,-,-,40000,0.1,1,1000,890,2000,161.1,171,5000,-,-,-,-,-,-
18,12,17,31.42,0.25,-0.15,40000,0.1,0.25,5000,900,2000,170.5,180.55,2000,-,-,-,-,-,-
-,-,-,-,-,-,15000,0.05,0.25,8000,910,2000,180.3,190.9,2000,-,-,-,-,-,-
