CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,1100,151.3,160.1,1100,880,1100,1.4,1.7,550,-1.2,1.4,31.39,315,111,146
-,-,-,-,-,-,2200,131.5,142.45,1100,900,550,2.45,2.75,550,0.2,2.7,31.88,101,44,44
1,-,-,-,140.75,-,1100,113.15,120.6,1650,920,550,3.95,4.05,2200,-1.45,4.05,30.92,335,28,304
-,-,-,-,-,-,1100,95.3,103.75,1650,940,550,5.8,6.15,550,-1.9,6.1,30.13,179,28,159
3,3,6,27.12,82.65,-113.35,1100,81.5,86.05,1100,960,550,8.15,9.95,6600,-1.6,9.2,29.61,228,20,362
7,7,11,27.28,67.3,-30.2,1100,65.5,68.8,550,980,550,12.85,13.85,550,-2.55,13.05,28.66,193,36,208
38,11,48,26.4,52.5,-2.6,1100,52.3,55,550,1000,550,18.7,19.55,550,-2.95,19.25,28.69,735,241,755
159,36,364,26.65,40.65,-3.35,550,40.5,43.15,550,1020,1100,23.55,27.1,550,-3.35,26.5,28.14,424,76,304
587,139,849,26.44,30.2,-3.15,550,29.7,31,550,1040,1100,34.05,37.15,1100,-2.5,36.45,28.35,452,77,515
509,6,488,26.96,22.55,-2.75,550,22.3,22.6,550,1060,1100,45.45,48.85,550,-2.85,47.75,28.19,87,25,322
290,27,331,26.7,15.75,-3.25,550,15.8,16.55,550,1080,1100,59.55,62.6,550,-5,59.5,26.87,12,2,71
1553,172,1282,27.1,11.2,-3.1,1100,11.2,11.65,1100,1100,1100,73.3,78.2,550,-8.7,72,24.26,35,13,344
175,2,202,27.5,7.85,-2.5,550,7.95,9.75,11000,1120,1100,89,96.95,1650,-,96,-,-,-,4
318,84,294,28.07,5.55,-2.25,1100,5.55,5.8,550,1140,1100,107,112.95,550,-11.9,102.45,-,3,-2,31
121,29,158,28.81,4,-1.85,550,4,4.15,550,1160,2200,121.55,132.55,2750,-,129,-,-,-,13
83,15,83,29.68,2.95,-1.5,550,2.95,3.05,1100,1180,1100,143.4,152.8,1100,-,135,-,-,-,7
636,104,424,30.71,2.25,-1.35,550,2.2,2.25,550,1200,1100,164.35,168.25,550,-2.15,165.5,32.61,25,-,127
49,-2,3,33.38,2.25,-0.45,550,1.35,2.25,3300,1220,1100,176.35,190.3,2750,-,185,-,-,-,14
58,-2,12,32.06,1.2,-0.65,5500,0.8,3.25,550,1240,1100,197.2,209.8,2750,-,206.7,-,-,-,28
111,-,12,35.75,0.2,-0.15,11000,0.2,0.3,7150,1360,2750,315.2,327.65,2750,-,324,-,-,-,122
