CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,1250,169.2,179.1,2500,880,3750,0.45,0.55,3125,-0.25,0.45,28.86,10,10,22
-,-,-,-,-,-,1250,149.9,159.3,2500,900,625,0.7,0.75,625,-0.5,0.7,27.56,315,200,330
-,-,-,-,-,-,1250,130.25,141.15,1250,920,625,0.8,1.05,625,-0.9,0.9,25.4,20,-4,19
-,-,-,-,-,-,1250,120.4,130.65,2500,930,625,0.55,1.75,625,-,-,-,-,-,-
-,-,-,-,-,-,1250,109.75,120.15,2500,940,625,1.1,1.3,625,-0.85,1.15,23.11,539,377,407
-,-,-,-,-,-,1250,99.85,111.15,1250,950,625,1.4,1.55,1250,-0.6,1.45,22.42,215,70,114
-,-,-,-,-,-,1250,90.9,102.15,1250,960,1250,1.75,1.9,1250,-0.75,1.8,21.65,369,10,496
2,-,-,-,99,-,1250,80.85,92.2,1250,970,625,2.2,2.4,625,-1.15,2.25,20.9,68,19,22
20,20,28,12.39,77.7,-4.85,625,77.2,80.25,625,980,1250,2.8,3,625,-0.6,2.85,20.2,112,9,81
10,10,17,14.42,68.65,-35.3,2500,64.7,72.3,625,990,1250,3.7,3.9,1250,-0.5,3.75,19.71,104,1,63
212,58,94,15.07,59.85,-4.45,1875,59.65,61.8,625,1000,1875,4.8,5,625,-0.35,4.85,19.15,843,2,969
14,14,20,14.75,51,-38.55,625,50.9,53.45,625,1010,625,6.25,6.5,625,-,6.65,19.06,472,31,200
55,2,19,15.12,43.15,-5.65,625,43.25,45.25,625,1020,625,8.2,8.55,625,-0.1,8.5,18.53,623,101,472
47,12,96,14.45,35,-5.15,1875,33.7,37.65,625,1030,1250,10.6,11.15,2500,0.25,11.05,18.22,896,42,252
230,49,451,15.75,29.65,-3.25,625,28.95,29.85,1250,1040,625,13.65,14.4,1250,0.3,14,17.77,728,91,536
1134,167,2141,15.93,23.95,-2.85,1250,23.1,23.9,625,1050,1250,17.6,18.45,1250,0.25,17.75,17.46,2133,50,1450
1361,218,3134,15.65,18.5,-2.7,1250,18,18.5,6250,1060,625,22.3,23.3,1250,1.05,23.1,17.87,1415,258,1681
1184,175,1597,15.71,14.25,-2.45,1250,13.85,14.4,1875,1070,625,26.45,29.1,625,0.9,28.55,17.8,598,151,949
1691,377,2090,15.8,10.8,-2.05,1875,10.45,10.9,1250,1080,1250,33.4,35.6,625,-0.45,33.1,16.35,213,36,993
430,41,886,15.81,7.95,-1.8,1250,7.75,8.15,625,1090,625,39.9,42.8,625,2.65,42.4,18.51,107,-35,336
3339,162,3357,16.07,5.95,-1.5,1250,5.9,6.1,1250,1100,625,48.9,50.8,625,2.95,50.55,19.31,184,7,1494
315,56,523,16.31,4.4,-1.25,625,4.3,4.5,3750,1110,625,56.4,59.1,625,1.45,58.45,19.45,24,18,63
709,48,722,16.59,3.25,-1,1250,3.15,3.3,3125,1120,625,65.3,68,625,1.6,67.1,20.04,40,16,150
244,43,416,16.99,2.45,-0.85,625,2.35,2.55,2500,1130,1250,72.6,77.05,625,3.95,76.95,21.91,30,18,68
481,6,256,17.5,1.9,-0.7,1250,1.8,1.9,1875,1140,1250,81.45,90.85,1250,2.3,86.3,23.01,95,68,167
871,67,610,18.05,1.5,-0.5,1250,1.35,1.5,1250,1150,1250,92.55,96.55,625,3.05,95.15,23.16,97,53,266
368,233,401,18.47,1.15,-0.45,625,1,1.2,625,1160,1250,96.1,105.85,625,2.15,104.65,24.13,13,8,113
175,162,242,18.94,0.9,-0.05,1875,0.8,0.95,625,1170,625,103.65,121.5,1250,-,115,-,-,-,10
159,123,158,19.81,0.8,-0.15,1875,0.6,0.85,625,1180,1250,120.25,126.2,625,-8.5,115.7,-,3,-3,21
11,2,6,21.06,0.8,-0.2,1875,0.5,0.7,625,1190,1250,121.75,140.7,1250,-,133,-,-,-,2
1006,160,928,20.98,0.55,-0.3,31250,0.55,0.6,5000,1200,1250,142.4,145.35,625,3.9,147.45,35.81,13,-,555
21,-,2,22.21,0.4,-0.25,2500,0.35,0.55,1250,1220,1250,150,170.4,1250,-,160,-,-,-,13
38,2,13,25.13,0.5,0.1,2500,0.35,0.45,1250,1240,1250,169.15,190.65,1250,-,178.3,-,-,-,85
4,-,-,-,0.35,-,5000,0.25,0.6,10000,1260,1250,185.3,210.15,1250,-,197.45,-,-,-,30
259,-1,26,30.42,0.4,-,18125,0.3,0.4,5000,1300,-,-,-,-,-,-,-,-,-,-
3,-,-,-,0.75,-,625,0.15,0.55,5000,1400,-,-,-,-,-,-,-,-,-,-
