CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,150,1835.05,1925.75,150,6800,3000,1.05,4.9,900,-,3,-,-,-,23
-,-,-,-,-,-,375,1648.05,1729.45,75,7000,900,1.35,7.6,150,-,-,-,-,-,-
-,-,-,-,-,-,150,1541.25,1632.9,300,7100,900,1.25,-,-,-,-,-,-,-,-
-,-,-,-,-,-,375,1448.6,1533.2,300,7200,225,1.6,-,-,-,-,-,-,-,-
1,-,-,-,1320,-,375,1351.1,1435.2,300,7300,225,2.4,-,-,-,-,-,-,-,-
-,-,-,-,-,-,375,1253.8,1344.45,300,7400,450,5.1,-,-,-,-,-,-,-,-
-,-,-,-,-,-,150,1150.55,1244.1,150,7500,150,7.1,8.05,4425,-2.45,7.15,26.67,305,62,186
-,-,-,-,-,-,300,1049.8,1145.45,300,7600,3000,1.7,47.6,75,-,-,-,-,-,-
2,-,-,-,1055,-,150,955.15,1047,150,7700,75,8.5,11.65,525,-5,10,24.11,60,2,15
-,-,-,-,-,-,300,858.25,984.35,150,7800,1500,8.5,59.15,375,-,-,-,-,-,-
-,-,-,-,-,-,300,755.5,883.75,300,7900,75,7.8,66.5,300,-,-,-,-,-,-
15,11,28,17.61,711.25,-48.75,75,694.45,725.3,75,8000,75,27.25,29,225,-3.5,28.85,23.02,982,117,574
-,-,-,-,-,-,825,593.4,656.75,825,8100,75,37.2,46.75,75,-6.3,37.55,22.22,554,133,153
33,-10,25,20.05,544,-36,75,521.15,548.15,75,8200,75,50.7,52.9,75,-5.6,52.55,22,1185,-23,702
76,8,38,18.92,455.75,-29.6,75,451,460.35,75,8300,75,69.75,73.75,75,-5.9,70.95,21.64,826,22,468
51,23,52,19.36,383.55,-31.15,75,374.15,386,75,8400,75,96.3,100.45,75,-6.6,96.3,21.51,888,94,253
211,22,417,18.91,311.05,-36.1,75,312.15,322.95,75,8500,150,128.15,132.25,75,-6.9,128.05,21.41,2076,46,602
263,92,1526,19.3,253.75,-33,75,251.4,261.35,75,8600,75,166.25,171.95,75,-3.45,172.4,21.9,2836,66,405
904,250,2901,20.17,209.5,-27.45,75,205.75,210.45,75,8700,75,216.8,221.4,75,-5.75,218,21.78,1865,213,694
1403,162,2792,20.24,165,-27.5,75,161.5,166.6,75,8800,75,273.25,280.2,75,-3.4,274.7,22.07,1324,105,598
649,180,1586,20.37,128.35,-25.45,75,125.4,129.05,75,8900,75,335.3,343.25,75,-0.25,339.9,22.55,102,16,300
1706,-252,4072,20.72,100.35,-23.15,75,97.9,100.25,75,9000,75,402.45,415.1,75,1.15,409.95,22.94,42,-3,166
298,104,641,20.88,76.3,-20.1,75,75,77.55,75,9100,225,459.05,522.7,150,-0.55,481.75,-,-,-,21
628,10,1654,21.15,58.1,-17.35,75,55.45,58.65,75,9200,75,556.2,573.6,75,13.05,572.05,24.64,27,-6,81
-,-,-,-,-,-,300,14.2,68.55,75,9300,75,645.5,665.35,75,-35.75,622.45,20.03,3,-,23
583,-45,789,21.73,33.15,-13.25,75,32.85,34,75,9400,225,684.4,777.9,75,-1.1,727.85,-,-,-,68
455,92,1096,22.25,25.85,-10,75,24.6,26.3,75,9500,75,815.9,842.25,75,107.35,834.95,26.89,27,13,14
224,24,275,22.51,19.25,-9.45,75,18.05,20.1,75,9600,75,867.5,965.65,300,-,907.6,-,-,-,37
375,90,759,22.8,14.35,-7.95,75,12.55,15.5,75,9700,150,962.2,1055.65,300,-,989,-,-,-,53
-,-,-,-,-,-,300,5.1,20.55,75,9800,150,1056.5,1158.1,375,-,-,-,-,-,-
604,210,877,24.34,7,-5.4,225,7,7.25,7425,10000,150,1261.75,1351.05,300,-,1250,-,-,-,33
