CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,1000,315.35,333.3,1000,1600,500,1.05,1.2,500,-1,1.15,30.97,315,272,286
-,-,-,-,-,-,1000,276.8,297,1000,1640,1000,1.1,2.65,2000,-,-,-,-,-,-
21,-,-,-,264,-,1000,237.3,254.3,1000,1680,500,1.1,2.7,500,-,-,-,-,-,-
36,-,-,-,224,-0.5,1000,218.8,234.65,500,1700,500,2.2,2.35,1500,-0.7,2.3,25.14,323,183,237
29,-2,4,-,210,3.5,500,203.7,207.2,500,1720,500,2.4,3.45,500,-1.05,2.5,23.63,58,23,63
-,-,-,-,-,-,1000,178.25,197.45,1000,1740,10000,1.1,5.95,500,-,-,-,-,-,-
1,-,-,-,180,-,1000,159.45,177.35,1000,1760,500,4.55,4.7,1000,-1.95,4.7,22.86,326,152,195
3,1,1,26.54,162.5,-6.5,500,147.3,152.45,1000,1780,500,5.75,6.2,500,-1.4,6.15,22.28,85,9,45
41,-,-,-,140,-,7500,124,135.9,2500,1800,500,8.1,8.3,500,-1.6,8.4,22.02,230,10,350
3,-,-,-,139.95,-,2500,110.05,120.3,2500,1820,500,11,11.4,500,-1.95,11.3,21.76,188,64,132
30,6,15,16.27,99.25,-21.75,500,97.35,99.35,500,1840,500,14.85,15.5,500,-2,15.25,21.66,219,41,208
179,8,33,16.6,83.7,-2.75,500,82.45,84.65,500,1860,500,19.8,20.25,500,-2.3,20,21.47,331,39,243
54,32,86,16.99,69.75,-5.9,500,69.8,72.6,500,1880,500,25.95,26.6,500,-2.1,26.3,21.52,352,-6,427
202,82,401,17.81,58.35,-3.85,500,57.6,58.6,500,1900,500,33.45,34.2,500,-2.7,33.55,21.44,830,83,624
290,124,716,18.09,47.5,-4.4,500,46.8,48.5,500,1920,2000,42.45,43.35,500,-3.4,42.7,21.64,506,56,321
624,53,687,18.14,37.7,-4.85,500,37.55,38.1,500,1940,500,52.85,53.85,500,-2.95,53.2,21.87,383,65,515
530,34,623,18.26,29.55,-4.65,500,29.55,30.2,500,1960,500,63.9,65.55,500,-2.55,65.5,22.35,214,42,347
473,67,436,18.48,23,-4.1,500,22.6,23.35,500,1980,500,77.45,79.05,500,5.55,78.85,22.79,18,5,159
1075,214,1358,18.59,17.5,-4.1,500,17.3,18.15,500,2000,500,91.2,94.2,500,-1.7,91.15,22.22,24,6,358
187,109,303,18.69,13.1,-3.8,500,13.1,15.95,10000,2020,500,107.25,109.45,500,38.9,109.1,24.02,24,21,22
289,103,256,19.02,10,-2.9,500,9.7,10.05,500,2040,1500,119.45,131.7,1000,-,122.1,-,-,-,9
216,58,254,19.31,7.55,-2.2,1000,7.35,7.55,500,2060,500,139.6,142.85,500,34.5,141.5,24.81,20,18,21
103,27,185,19.59,5.65,-1.9,500,5.6,5.8,1000,2080,1000,150.25,167.7,2000,-,-,-,-,-,-
551,62,725,20.02,4.35,-1.5,1500,4.25,4.35,500,2100,500,177.65,180.3,500,4.45,178,26.97,32,28,286
57,19,59,20.24,3.2,-1,500,3.15,3.55,500,2120,1000,186.85,205.1,2000,-,135.95,-,-,-,1
123,28,157,21.05,2.7,-1.55,500,2.4,2.8,500,2140,1000,207.15,224.15,2000,-,174,-,-,-,1
21,4,19,21.29,2,-1.8,500,1.9,2.4,3000,2160,1000,226.75,244.2,2000,-,-,-,-,-,-
-,-,-,-,-,-,500,1.25,2.9,500,2180,1000,246.2,264.95,5000,-,-,-,-,-,-
366,171,333,22.52,1.35,-0.7,1000,1.3,1.4,1500,2200,500,272.6,277.1,500,-1.5,262,-,13,2,155
71,1,36,24.12,1.05,-0.45,1500,0.9,1,5500,2240,1000,304.9,324.05,1000,-,241,-,-,-,1
17,10,15,26.15,0.95,0.1,500,0.5,0.9,500,2280,1000,344.5,362.1,2000,-,-,-,-,-,-
-,-,-,-,-,-,1500,0.25,1.5,1000,2320,1000,383.05,401.75,2500,-,376,-,-,-,18
