CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
24,-,-,-,782.2,-,-,-,-,-,100,750,0.1,0.9,1500,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,200,750,0.1,0.4,7500,-,0.5,202.12,1,1,4
-,-,-,-,-,-,-,-,-,-,300,15000,0.1,0.45,7500,-,0.35,142.85,1,-,21
-,-,-,-,-,-,15000,458.15,-,-,400,45000,0.05,0.6,3750,-,0.8,-,-,-,20
-,-,-,-,-,-,15000,344.4,-,-,500,90000,0.05,0.6,3000,-,-,-,-,-,-
-,-,-,-,-,-,3000,276.8,286.6,7500,600,90000,0.1,0.4,3000,-0.05,0.45,-,-,-,175
1,-,-,-,184.7,-,1500,179,188.35,1500,700,1500,0.3,0.6,2250,-0.05,0.7,39.24,4,4,95
-,-,-,-,-,-,1500,158.85,166.5,3000,720,15000,0.05,1.3,750,-,-,-,-,-,-
-,-,-,-,-,-,1500,138.9,148.8,1500,740,5250,0.5,0.55,30750,-0.55,0.45,29.12,7,3,15
-,-,-,-,-,-,1500,118.6,129.05,1500,760,1500,0.65,0.7,26250,-0.5,0.7,27.22,118,74,107
-,-,-,-,-,-,1500,109.5,119.05,1500,770,750,0.85,1.05,750,-0.65,0.95,26.66,39,16,45
-,-,-,-,-,-,1500,99.9,109.8,10500,780,3000,1.05,1.2,750,-0.7,1.2,25.75,61,32,188
-,-,-,-,-,-,1500,90.3,97.7,3000,790,3000,1.4,1.55,750,-0.85,1.5,24.77,128,15,100
324,3,27,-,83.4,-0.2,750,84.9,86.15,750,800,750,2,2.15,2250,-1,2.05,24.28,393,24,688
17,9,35,12.62,76.15,1.1,750,75.75,77.4,750,810,750,2.75,2.85,2250,-1.2,2.85,23.95,202,72,163
21,-,-,-,69.5,-,1500,65.75,68.95,750,820,750,3.65,3.8,1500,-1.4,3.75,23.32,939,600,808
17,4,27,18.15,58.65,-4.85,750,58.3,59.1,750,830,750,5.1,5.25,750,-1.5,5.25,23.25,541,56,228
59,17,161,18.87,50.55,0.75,1500,50.45,51.05,750,840,750,6.95,7.15,750,-1.8,7.05,22.98,619,48,725
257,10,168,19.4,43.05,0.65,750,43,43.25,750,850,750,9.35,9.5,750,-2,9.45,22.89,814,77,734
209,75,955,19.69,36.1,0.55,1500,35.85,36.5,750,860,750,12.3,12.5,750,-2.05,12.55,22.95,810,95,632
180,-7,903,19.93,29.85,0.25,750,29.7,30.1,750,870,750,15.95,16.15,750,-2.3,16.25,22.98,1118,89,479
801,177,2978,20.1,24.3,0.05,750,24.2,24.3,750,880,1500,20.35,20.6,750,-2.45,20.55,22.96,1979,367,1482
737,215,2030,19.98,19.2,-0.4,750,19.35,19.5,750,890,750,25.45,25.8,750,-2.85,25.5,22.93,904,97,657
3444,125,3969,20.39,15.4,-0.3,1500,15.3,15.5,2250,900,750,30.9,31.65,750,-2.6,31.7,23.49,653,45,1974
794,68,1656,20.38,11.85,-0.4,750,11.85,12.05,750,910,750,37.55,38.15,750,-2.85,38.15,23.72,67,14,345
1100,201,1501,20.48,9.05,-0.45,750,9.05,9.25,750,920,750,44.7,45.2,750,-2.95,45,23.79,73,-2,670
646,158,819,20.57,6.8,-0.55,750,6.7,7,1500,930,750,52.5,53.1,750,-2.4,53.05,24.66,29,-3,163
640,157,491,20.98,5.25,-0.4,1500,5.1,5.35,1500,940,2250,59.2,61.25,750,-0.2,63.75,28.36,38,10,485
972,131,762,21.23,3.95,-0.45,2250,3.95,4.05,1500,950,1500,68,72.15,750,-0.3,72.5,-,-,-,152
417,32,323,21.67,3.05,-0.45,1500,3,3.1,750,960,750,78.2,79.05,750,-1.05,78.95,27.24,47,25,96
173,22,123,22.11,2.35,-0.3,3750,2.2,2.4,750,970,1500,82.4,92.4,1500,-,86.45,-,-,-,20
361,94,296,22.22,1.7,-0.35,750,1.75,1.85,750,980,750,96.75,97.9,750,-2,98.6,31.36,19,18,34
138,44,71,22.97,1.4,-0.25,750,1.15,1.45,750,990,1500,103.5,111.45,1500,-,109.85,-,-,-,5
1457,116,695,23.86,1.2,-0.2,2250,1.1,1.2,4500,1000,750,115.15,116.9,750,0.2,118.9,36.29,21,4,846
128,91,138,23.86,0.85,-0.2,12750,0.8,0.95,1500,1010,1500,122.95,130,750,-,129.35,-,-,-,175
109,58,85,24.51,0.7,-0.15,2250,0.6,0.7,26250,1020,1500,130.75,139.95,1500,-,123.75,-,-,-,65
-,-,-,-,-,-,1500,0.3,5.65,15000,1030,3000,142.65,154.15,3000,-,131.2,-,-,-,1
187,17,46,26.63,0.6,-,2250,0.5,0.6,30000,1040,1500,150.35,159.7,3000,0.35,138.15,-,-,-,7
26,5,21,31.2,0.3,-0.3,1500,0.3,0.5,1500,1100,3000,211.85,219.8,3750,-,218,-,-,-,82
249,19,107,40.91,0.25,-0.15,54000,0.2,0.3,8250,1200,15000,282.7,352.15,15000,-,305,-,-,-,28
-,-,-,-,-,-,1500,0.15,0.8,2250,1300,15000,385.6,-,-,-,410,-,-,-,1
-,-,-,-,-,-,1500,0.1,0.65,2250,1400,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,1500,0.15,0.9,750,1500,-,-,-,-,4.5,613.5,101.75,2,-,2
-,-,-,-,-,-,1500,0.15,0.9,750,1600,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,1500,0.15,0.6,2250,1700,-,-,-,-,-,-,-,-,-,-
19,-4,4,85.76,0.25,-0.25,750,0.2,0.4,1500,1800,-,-,-,-,-,-,-,-,-,-
89,-8,8,96.76,0.25,-0.05,5250,0.2,0.3,750,2000,-,-,-,-,-,-,-,-,-,-
6,-,-,-,0.5,-,5250,0.1,0.4,9000,2200,-,-,-,-,-,-,-,-,-,-
