CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,32400,21.8,23.45,14400,140,14400,0.35,0.4,72000,-0.1,0.4,33.68,85,49,55
9,7,11,-,17.7,-10.4,3600,18.05,18.3,3600,145,14400,0.65,0.75,25200,-,0.75,32.23,140,36,98
-,-,-,-,-,-,14400,15.25,16.45,10800,147.5,3600,0.95,1.05,3600,-2.5,1.05,31.88,4,4,4
34,13,39,24.09,13.75,-1.4,3600,13.75,14.05,3600,150,25200,1.35,1.4,3600,0.05,1.4,31.2,230,58,275
10,10,12,34.17,13,-9.05,3600,11.75,12.05,3600,152.5,3600,1.8,1.95,3600,-3,1.9,30.91,11,8,8
20,6,34,26.19,10,-1,3600,10,10.2,3600,155,3600,2.5,2.55,3600,0.2,2.55,30.76,94,26,187
14,14,26,26.39,8.3,-10.45,3600,8.3,8.5,3600,157.5,7200,3.25,3.35,7200,0.2,3.35,30.62,51,21,34
186,30,250,27.19,6.9,-0.85,3600,6.8,6.95,3600,160,10800,4.25,4.35,7200,0.4,4.4,30.98,378,100,495
43,38,90,26.92,5.5,-0.85,3600,5.5,5.65,3600,162.5,3600,5.4,5.5,7200,0.6,5.65,31.49,111,27,61
403,165,1001,27.24,4.4,-0.7,14400,4.4,4.45,7200,165,3600,6.7,6.85,3600,0.6,6.9,31.13,453,53,394
155,62,239,27.66,3.5,-0.55,3600,3.45,3.55,10800,167.5,3600,8.25,8.45,3600,0.65,8.45,31.51,66,16,96
686,244,1175,28.02,2.75,-0.45,7200,2.7,2.8,14400,170,3600,9.95,10.15,3600,0.85,10.2,32.2,146,19,434
138,15,62,28.11,2.1,-0.4,3600,2.1,2.15,3600,172.5,3600,11.85,12.05,3600,1.15,12.05,32.76,26,7,56
572,81,391,28.33,1.6,-0.25,57600,1.6,1.7,21600,175,3600,13.8,14.05,3600,0.95,14,33.27,59,12,211
47,16,45,28.91,1.25,-0.3,3600,1.25,1.3,7200,177.5,3600,15.9,16.2,3600,1.8,16.5,36.93,18,11,14
577,135,458,29.7,1,-0.2,61200,0.95,1,54000,180,3600,18.1,18.4,3600,1.4,18.7,38.31,44,12,310
52,13,24,29.92,0.75,-0.2,3600,0.75,0.8,14400,182.5,3600,20.3,20.7,3600,1.25,21.1,40.87,17,14,14
172,28,141,30.67,0.6,-0.15,39600,0.55,0.6,3600,185,3600,22.7,22.95,3600,2.3,23.3,41.64,20,16,79
-,-,-,-,-,-,3600,0.25,1.65,158400,187.5,7200,24.2,26.95,14400,-,-,-,-,-,-
334,22,164,31.44,0.35,-0.15,10800,0.35,0.4,32400,190,14400,26.95,28.45,3600,-,26.4,-,-,-,90
-,-,-,-,-,-,3600,0.2,0.4,3600,192.5,14400,29.35,30.95,14400,-0.6,26.55,-,4,1,1
32,2,5,33.39,0.25,-0.05,39600,0.2,0.25,10800,195,7200,31.4,33.3,14400,-,30.5,-,-,-,2
131,5,15,34.16,0.15,-0.05,662400,0.1,0.15,46800,200,14400,36.65,38.15,18000,-,35.9,-,-,-,180
