CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
4,-,-,-,34.5,-,2925,33.45,34.95,5850,200,20475,0.2,0.3,11700,-0.05,0.25,29.68,69,37,86
-,-,-,-,-,-,5850,27.6,30.45,11700,205,2925,0.15,0.95,2925,-,-,-,-,-,-
-,-,-,-,-,-,5850,25.2,28.25,5850,207.5,-,-,1.1,29250,-,-,-,-,-,-
36,-,6,-,24.6,-0.1,2925,23.9,24.3,2925,210,5850,0.5,0.55,14625,-0.05,0.55,26,234,70,164
-,-,-,-,-,-,5850,20.8,23.1,11700,212.5,2925,0.55,0.7,5850,-3.65,0.6,24.35,11,6,6
19,-,2,-,19.2,-1.1,2925,19.35,19.65,2925,215,2925,0.75,0.85,2925,-0.05,0.85,24.33,153,19,173
3,3,8,22.52,18.15,-9.95,2925,17.15,17.45,2925,217.5,11700,1.05,1.1,2925,-,1.1,23.78,57,33,36
883,-39,406,14.87,15.05,-0.8,2925,15,15.25,2925,220,14625,1.35,1.45,35100,-0.05,1.4,23.14,309,13,706
17,9,17,16.71,13.05,-0.8,2925,12.95,13.15,2925,222.5,11700,1.8,1.9,17550,0.05,1.9,23.15,220,92,164
58,14,29,16.75,11,-0.9,2925,11,11.25,2925,225,17550,2.35,2.45,5850,0.05,2.45,22.83,453,100,509
47,17,60,17.65,9.3,-0.75,2925,9.25,9.45,2925,227.5,11700,3.05,3.15,2925,0.15,3.2,22.84,129,34,122
500,11,617,18.03,7.7,-0.75,2925,7.65,7.85,2925,230,5850,3.95,4,14625,0.1,4,22.48,754,25,794
169,46,411,17.84,6.15,-0.9,5850,6.25,6.35,5850,232.5,5850,5,5.1,5850,0.2,5.15,22.88,408,33,257
670,207,1514,18.03,4.9,-0.85,5850,5,5.1,8775,235,2925,6.25,6.35,5850,0.25,6.35,22.87,1017,102,851
398,77,517,18.23,3.85,-0.8,5850,3.95,4.05,5850,237.5,5850,7.6,7.75,5850,0.35,7.8,23.21,325,5,248
1519,175,1748,18.31,2.95,-0.7,2925,3.05,3.1,29250,240,2925,9.1,9.35,2925,0.35,9.3,23.19,317,-36,1363
279,17,318,18.94,2.35,-0.55,8775,2.3,2.4,14625,242.5,2925,10.85,11.15,5850,0.35,11.1,23.81,26,-6,203
908,59,983,18.98,1.75,-0.45,2925,1.75,1.8,20475,245,2925,12.75,13.05,2925,0.6,13.15,25.01,59,12,407
148,-9,140,19.13,1.3,-0.45,20475,1.3,1.35,5850,247.5,2925,14.8,15.1,2925,0.45,15.15,25.65,17,-8,57
1846,134,1035,19.57,1,-0.3,5850,1,1.05,40950,250,2925,17.05,17.25,2925,0.75,17.25,26.39,244,-104,1504
111,-24,89,20.24,0.8,-0.25,32175,0.75,0.8,8775,252.5,2925,19.1,19.5,2925,0.4,19.25,26.27,13,-3,38
322,-22,383,20.53,0.6,-0.2,55575,0.55,0.65,46800,255,2925,21.45,21.85,2925,0.3,21.35,26.25,20,6,94
68,1,11,21.35,0.5,-0.15,2925,0.45,0.5,5850,257.5,2925,23.85,24.2,2925,0.3,23.75,27.78,9,4,13
602,-71,608,21.3,0.35,-0.2,11700,0.35,0.4,35100,260,5850,25.95,26.55,2925,0.55,26.45,31.18,15,3,784
27,-,2,22.17,0.3,-0.1,20475,0.25,0.4,5850,262.5,5850,27.5,29.9,14625,-,-,-,-,-,-
205,15,69,23.66,0.3,-0.1,93600,0.25,0.3,11700,265,5850,29.95,32.25,11700,-,30,-,-,-,1
4,-,-,-,0.4,-,64350,0.15,0.7,2925,267.5,5850,32.4,35.05,11700,-,-,-,-,-,-
560,10,68,23.59,0.15,-0.15,590850,0.15,0.2,29250,270,5850,35,37.1,11700,-,34.5,-,-,-,384
-,-,-,-,-,-,-,-,1.7,2925,272.5,5850,37.35,41.4,43875,-,-,-,-,-,-
94,-2,69,26.15,0.15,-0.05,231075,0.1,0.2,23400,275,5850,39.75,42.15,14625,-,38.15,-,-,-,51
154,4,9,28.63,0.15,-0.05,269100,0.1,0.15,155025,280,5850,44.65,47,11700,-,44.5,-,-,-,61
