CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,10400,20.45,21.6,20800,90,15600,0.1,0.15,10400,-1.05,0.15,39.6,24,22,22
2,2,3,-,16.4,-0.1,5200,16.15,16.4,5200,95,31200,0.2,0.3,15600,-0.1,0.25,34.44,48,4,62
-,-,-,-,-,-,26000,13.15,14.35,15600,97.5,93600,0.15,0.85,15600,-,-,-,-,-,-
13,6,20,-,11.15,-0.95,5200,11.45,11.65,5200,100,36400,0.45,0.55,20800,-0.2,0.55,31.24,131,18,232
1,1,1,29.58,9.9,-3.4,10400,8.75,9.45,15600,102.5,10400,0.7,0.75,10400,-0.2,0.75,28.86,21,11,43
23,15,29,19.92,7.1,-0.1,5200,7.1,7.3,5200,105,10400,1.1,1.15,20800,-0.25,1.15,27.69,121,4,189
15,13,27,21.43,5.3,-1.15,5200,5.3,5.4,5200,107.5,15600,1.7,1.8,10400,-0.25,1.75,26.73,66,28,75
360,118,303,21.51,3.7,-0.2,15600,3.75,3.85,10400,110,15600,2.65,2.75,10400,-0.35,2.7,26.72,355,115,297
249,142,455,22.8,2.6,-0.1,5200,2.6,2.65,72800,112.5,5200,3.95,4.05,10400,-0.25,4.1,28.02,71,17,87
448,50,338,23.14,1.7,-0.1,15600,1.7,1.75,5200,115,5200,5.55,5.65,5200,-0.2,5.65,28.46,38,-,191
106,39,72,24.26,1.15,-0.1,20800,1.1,1.2,10400,117.5,5200,7.35,7.55,5200,0.35,7.55,29.98,3,-,9
375,10,165,24.44,0.7,-0.1,20800,0.7,0.75,10400,120,5200,9.45,9.65,5200,-,9.5,30.44,54,-29,178
9,3,9,25.25,0.45,-0.05,10400,0.45,0.5,5200,122.5,10400,11.75,11.95,5200,-2.85,11,22.09,3,2,2
79,-4,37,27.28,0.35,-0.05,26000,0.3,0.4,20800,125,5200,14.1,14.2,5200,0.3,14.35,38.57,3,-,31
2,2,2,28.54,0.25,-2.55,114400,0.1,1.15,20800,127.5,20800,15.95,17.5,10400,-,-,-,-,-,-
17,1,6,30.33,0.2,-,10400,0.15,0.2,5200,130,20800,18.4,19.65,72800,-,18,-,-,-,1
11,5,8,34.36,0.15,-0.05,10400,0.1,0.15,52000,135,10400,23.3,24.55,20800,-,22.5,-,-,-,1
41,-,-,-,0.15,-,218400,0.05,0.15,31200,140,-,-,-,-,-,-,-,-,-,-
