CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,595,12806.75,13743.7,175,40500,140,5,5.6,595,-140.9,4.8,36.01,725,148,148
-,-,-,-,-,-,175,11515,12263.6,595,42000,140,6,6.75,140,-0.85,6.65,32.98,1391,88,230
-,-,-,-,-,-,595,10129.65,10743.5,175,43500,350,6,7.9,350,-4.2,6,28.52,2059,315,615
-,-,-,-,-,-,70,8436.55,9324.95,70,45000,315,10,10.1,105,0.45,10.1,26.03,5483,1016,1808
70,1,1,29.57,7670,-0.5,140,7480.05,7647.5,140,46500,70,12.7,13.5,70,-1.7,12.7,22.55,2458,347,1114
86,47,61,-,7050,-133.25,175,6859.8,7213.25,140,47000,35,13.7,14.35,140,-2.6,13.7,21.37,2895,392,822
1,-,-,-,7950,-,70,6306.05,6696.15,140,47500,35,15.35,15.7,35,-3.55,14.5,20.13,2118,-8,438
2594,4.285714285714286,51,-,6062.1,-152.25,70,6050.35,6088.95,35,48000,315,17.4,18.35,175,-3.35,17.5,19.23,10060,994,5186
21,-,-,-,6012.05,-,70,5433.45,5734.1,70,48500,105,19.05,19.95,175,-4.45,20,18.16,5231,569,1189
-,-,-,-,-,-,70,4435.55,5464.85,70,48800,35,21.3,22.9,140,-51.95,22.15,17.56,315,52,52
-,-,-,-,-,-,70,4348.8,5344.85,595,48900,35,21.75,24.05,140,-55.05,23.1,17.38,101,49,49
605,18,75,-,5072.25,-187.65,35,5062.25,5103.6,35,49000,105,23.25,24.6,140,-5.25,23.5,17.14,11093,999,3768
-,-,-,-,-,-,70,3939.45,5142.1,595,49100,140,23.9,25.85,35,-61.95,24.95,17,240,39,39
-,-,-,-,-,-,70,4167.9,5069.95,70,49200,490,19.7,34.9,35,-,-,-,-,-,-
-,-,-,-,-,-,595,4003.8,4936.6,595,49300,140,24.7,28.45,140,-69.5,27,16.62,276,112,112
-,-,-,-,-,-,70,3881.3,4859.4,70,49400,70,22.2,37.3,70,-,-,-,-,-,-
34,-1,1,-,4565,-200,35,4412.9,4755,35,49500,105,28.1,30.5,280,-5.8,29.55,16.27,8547,517.1428571428571,2634.285714285714
-,-,-,-,-,-,70,4182.05,4653.85,70,49600,140,30.1,32.7,105,-5,32.75,16.25,327,-25,51
-,-,-,-,-,-,70,4096.3,4533.55,595,49700,105,31.5,35.1,175,-4.1,35.15,16.15,507,165,203
-,-,-,-,-,-,70,4073.4,4609.7,70,49800,140,32.7,36.05,140,-8.05,36,15.9,727,115,216
-,-,-,-,-,-,70,4008.5,4355.75,70,49900,140,35.1,38.3,140,-2.6,38.2,15.76,981,51,318
3775,20,578,-,4096,-164.45,140,4092.9,4129.25,35,50000,140,38.1,40.4,525,-7.9,38.75,15.49,24831,2089,13302
-,-,-,-,-,-,70,3753.05,4159.7,70,50100,70,39.4,42.65,140,-8.45,39.45,15.22,680,-16,206
1,-,-,-,4302.45,-,35,3856.85,3998.85,35,50200,140,41.3,45.05,140,-9.7,41.55,15.05,1103,-24,148
-,-,-,-,-,-,70,3556.75,3965.1,70,50300,175,44.5,48.5,350,-8.7,45,14.97,1402,258,393
-,-,-,-,-,-,595,3498.15,3880.6,595,50400,350,44.05,49.65,140,-8.35,49.6,14.93,1343,167,269
136,-36,90,-,3565.4,-223.6,140,3573.95,3704.7,70,50500,35,49.05,51.55,210,-8.7,51,14.69,18824,3280,6891
-,-,-,-,-,-,70,3275.1,3699.65,70,50600,525,45.3,55.4,140,-8,55.65,14.62,959,8,201
-,-,-,-,-,-,70,3212.25,3581.65,70,50700,420,51.45,60.85,280,-133.55,57.05,14.36,1376,389,389
-,-,-,-,-,-,70,3089.6,3483.7,70,50800,595,52.45,64.5,140,-134.65,64.8,14.42,174,61,61
-,-,-,-,-,-,70,2985.4,3385.95,70,50900,140,63.3,67.95,280,-146.85,61.8,13.93,298,113,113
1006.5714285714286,13,191,7.47,3138.8,-161.2,35,3135.5,3167.25,35,51000,1015,67.15,70,35,-11,68.45,13.91,28529,2132,13087.42857142857
2,-4,5,20.42,3320,-280,70,2930.6,3194.65,70,51100,35,71.7,77.45,280,-7.55,76.65,13.93,1870,269,317
7,-,-,-,3480,-,70,2826.1,3014.85,70,51200,35,60,118.75,315,-,-,-,-,-,-
-,-,-,-,-,-,350,2711.6,3005.85,70,51300,140,84,87.7,140,-5.2,88.4,13.69,1794,370,435
-,-,-,-,-,-,140,2602.7,2921.25,140,51400,140,90.2,94.15,140,-5,92.65,13.49,2490,184,615
57,-14,35,-,2625.5,-225.1,140,2671.55,2716,140,51500,35,98.05,99.05,140,-4.6,99.25,13.36,22380,3181,7214
4,-,-,-,4719.7,-,140,2537.85,2652.8,70,51600,35,102.65,107.7,140,-174.75,108.1,13.29,903,203,203
-,-,-,-,-,-,140,2329.1,2639.45,140,51700,70,113,113.9,35,-1.55,115.45,13.15,4872,613,952
24,18,23,12.42,2450,-750,140,2384.25,2431.6,140,51800,140,120.9,123.2,385,-184.8,122.7,12.99,960,350,350
