CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,650,337.55,360.15,1300,1100,3900,0.45,3.5,13000,-,-,-,-,-,-
1,1,1,-,231.2,-428.55,650,241.55,258.9,975,1200,325,3.55,3.75,325,-2.7,3.9,40.96,192,25,101
-,-,-,-,-,-,650,193.6,209.65,975,1250,325,4.65,5.9,325,-13.1,5.65,36.91,59,29,29
10,10,14,30.91,158.15,-414.65,325,156.1,162.2,650,1300,325,9.3,10.65,650,-4.95,10.3,35.07,783,189,585
6,6,22,28.74,114.5,-205.35,325,114.6,121.4,650,1350,325,17.05,19.4,650,-6,18.75,33.79,240,50,163
142,56,263,30.38,81.05,1.9,325,80.35,81.95,325,1400,325,30.85,31.75,325,-9.35,31.65,32.21,618,28,410
438,198,1007,30.67,53.45,0.3,325,52.55,53.95,325,1450,325,50.85,53.5,325,-11.25,53.75,32.42,272,48,336
868,53,966,31.86,34.75,0.35,325,33.25,34.4,325,1500,325,81.4,83.25,325,-13,82.75,32.53,91,-24,515
506,13,377,31.67,20.2,-0.95,325,20.35,21.3,325,1550,325,117.35,125.6,1300,-13.35,119.05,33.37,24,-4,223
838,11,602,32.48,12,-1.1,325,12.3,12.9,325,1600,325,160,163.75,650,-4.05,168,40.82,40,-5,406
153,35,129,33.92,7.5,-0.55,325,7.4,8.15,325,1650,325,200.75,214.6,1300,-,215.55,-,-,-,44
321,50,220,35.01,4.55,-0.35,325,4.65,5,325,1700,325,248.3,254.6,650,-7.15,255.95,43.52,9,1,157
3,-,-,-,3,-,325,2.25,4.4,325,1750,650,291.2,313.1,650,-,305,-,-,-,9
144,-2,10,39.47,2.45,0.75,325,1.85,2.1,1950,1800,325,345.05,359.95,650,1.05,360,-,-,-,314
247,2,12,41.88,1.1,0.1,650,0.85,1.05,975,1900,325,441.6,456.25,650,1.5,459.7,70.76,2,-1,241
