CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,19950,68.95,72.1,2850,300,11400,0.2,0.25,5700,-1.85,0.25,35.52,171,154,154
-,-,-,-,-,-,5700,59.1,62.3,5700,310,65550,0.25,0.35,22800,-0.2,0.3,31.74,177,51,146
9,-,-,-,48.2,-,17100,49.6,52.3,8550,320,31350,0.4,0.45,54150,-0.35,0.4,28.41,380,85,223
-,-,-,-,-,-,5700,44.5,47.5,5700,325,5700,0.5,0.55,11400,-0.4,0.55,27.62,103,16,34
7,1,7,-,40.35,3.35,2850,41.1,41.5,2850,330,48450,0.65,0.75,65550,-0.5,0.7,26.39,456,73,332
8,7,8,-,36.6,4.45,2850,36.35,36.8,2850,335,17100,0.9,1,51300,-0.7,0.95,25.52,382,41,229
66,4,18,-,32.15,5.1,2850,31.75,32.2,2850,340,34200,1.3,1.35,25650,-0.9,1.35,24.99,1261,-207,505
10,2,5,14.11,27.6,4.45,2850,27.4,27.6,2850,345,8550,1.85,1.9,5700,-1.1,1.9,24.49,820,256,463
296,1,163,17.13,23.4,4.35,2850,23.25,23.5,2850,350,19950,2.6,2.65,11400,-1.55,2.6,23.87,1664,69,816
46,-1,141,18.38,19.5,3.7,2850,19.3,19.6,2850,355,22800,3.6,3.7,8550,-1.8,3.7,23.8,1070,34,313
269,-54,860,18.55,15.75,3.05,2850,15.75,15.85,2850,360,8550,5,5.1,17100,-2.2,5.1,23.7,2521,155,1064
452,-5,1750,19.13,12.6,2.7,2850,12.55,12.65,2850,365,8550,6.75,6.85,8550,-2.8,6.8,23.5,2412,109,715
1369,121,3914,19.37,9.8,2.2,5700,9.8,9.9,8550,370,2850,8.95,9.05,2850,-3.3,8.95,23.49,2403,243,1486
880,159,2628,19.68,7.5,1.75,5700,7.5,7.55,2850,375,2850,11.5,11.7,2850,-3.8,11.55,23.64,552,7,395
1779,150,3446,19.89,5.6,1.35,17100,5.5,5.6,34200,380,2850,14.55,14.7,2850,-4,14.7,24.21,340,-66,740
612,56,1337,19.84,4,0.9,31350,4,4.1,8550,385,2850,17.95,18.2,2850,-4.55,18.05,24.47,88,-12,191
1701,336,1941,20.32,2.95,0.7,37050,2.9,2.95,2850,390,2850,21.75,22,2850,-4.75,21.75,24.86,53,-15,653
334,18,452,20.59,2.1,0.45,2850,2.1,2.15,17100,395,2850,25.85,26.15,2850,-5.4,25.95,26.01,36,-5,77
2174,93,2064,21.17,1.55,0.25,34200,1.5,1.55,8550,400,2850,30.2,30.6,2850,-5.45,30.4,27.45,73,6,884
186,-36,396,21.51,1.1,0.1,31350,1.05,1.15,5700,405,2850,34.75,35.2,2850,-5.75,35.1,29.41,9,6,55
557,-25,1396,22.01,0.8,0.05,5700,0.8,0.85,71250,410,2850,39.45,39.8,2850,-6.6,38.9,27.54,42,18,196
141,-25,302,23.03,0.65,-,14250,0.6,0.65,45600,415,2850,44.15,44.5,2850,-4.7,45.15,35.18,5,-1,50
493,-43,1278,23.72,0.5,-,57000,0.45,0.5,82650,420,2850,48.95,49.6,2850,-6.4,48.05,28.2,1,-1,408
19,10,27,23.97,0.35,-0.25,2850,0.35,0.4,31350,425,5700,52.6,55.5,11400,-,58,-,-,-,33
342,-10,200,25.69,0.35,-,11400,0.3,0.35,299250,430,2850,58.6,59.45,2850,-4.95,58.6,35.99,5,4,240
157,1,16,27.52,0.25,-,8550,0.2,0.25,42750,440,2850,68.35,69.6,2850,-0.9,73.05,58.66,2,-,179
172,7,26,29.62,0.2,-,145350,0.15,0.2,37050,450,2850,78.1,79.25,2850,-3.1,79.8,51.12,1,-1,99
111,2,42,31.27,0.15,-0.1,79800,0.1,0.15,2850,460,-,-,-,-,-,-,-,-,-,-
2,-,-,-,0.15,-,2850,0.1,0.2,65550,480,-,-,-,-,-,-,-,-,-,-
29,-,9,36.82,0.05,-0.2,71250,0.05,0.1,2850,500,-,-,-,-,-,-,-,-,-,-
