CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,2000,188.15,197.85,1000,920,2000,0.75,0.85,500,-1.25,0.75,32.49,255,91,123
-,-,-,-,-,-,1000,149.85,160.1,1000,960,1000,2,2.3,500,-0.85,2.05,31.6,218,15,115
-,-,-,-,-,-,2000,129.4,142.25,2000,980,500,2.5,4.05,5000,-,6,-,-,-,3
11,10,11,-,115.8,-24.2,500,113.95,116.15,500,1000,1500,4.6,4.9,500,-0.05,4.85,30.48,402,14,382
1,1,1,30.68,105.65,-70.7,2000,94.95,100.1,500,1020,500,6.55,7,1000,-0.35,6.35,28.74,159,15,108
6,-,-,-,95.8,-0.05,2000,78,85.85,500,1040,500,9.65,9.9,500,0.95,9.6,28.44,133,23,112
25,-,-,-,78.75,-,2000,61.95,68.4,1000,1060,500,13.75,14.2,500,3.25,13.9,28.02,384,30,262
31,-,16,21.61,51.15,-12.9,1000,49.85,51.8,500,1080,500,19.35,19.85,500,4.75,19.5,27.55,237,54,227
249,111,382,22.21,39.1,-11.3,500,38.15,39.4,500,1100,500,27.15,27.6,500,6.2,27.25,27.56,1028,59,456
454,125,714,22.17,28.45,-10.05,500,28.25,29.15,500,1120,500,36.85,37.85,500,8.8,37.5,28.15,1049,25,702
739,148,816,22.89,20.9,-7.85,500,20.45,21.25,500,1140,500,48.65,50.05,500,7.65,46.8,26.69,211,19,377
701,144,752,23.5,15.05,-6.25,1000,14.85,15.75,500,1160,500,61.75,64.6,500,9.1,60.7,27.52,65,22,199
813,583,1009,23.59,10.2,-4.7,500,9.9,10.55,500,1180,500,75.7,79.65,500,13.55,79,31.1,24,9,71
890,148,950,24.68,7.55,-3.3,2500,7,7.9,2000,1200,1000,93.4,96.2,500,11.5,92.1,29.06,13,-,415
241,99,225,24.84,5,-2.6,500,4.85,5.05,500,1220,500,112.05,114.1,500,14.45,113,34.08,4,1,96
291,81,200,25.58,3.55,-2.2,500,3.35,3.55,1000,1240,500,129.6,134.5,500,16.05,132.25,37.15,11,-3,129
143,20,81,26.24,2.5,-2.1,500,2.45,2.75,500,1260,1000,144.3,155.7,500,-,129.7,-,-,-,89
41,16,63,27.57,2,-1.55,500,1.95,2.2,1000,1280,1000,164.95,173.95,2500,-,148.2,-,-,-,44
541,80,378,28.62,1.55,-1.25,1000,1.45,1.65,500,1300,500,187.1,190.55,500,6.8,177.7,-,10,-1,193
24,-,-,-,3.5,-,1000,0.85,1.75,1500,1320,1000,199.3,213.85,5000,-,187,-,-,-,22
43,-,4,31.18,0.7,-0.75,2000,0.7,0.95,2500,1360,1000,240.75,252.1,2500,-,217.5,-,-,-,2
56,9,43,33.46,0.5,-0.8,500,0.5,0.7,1000,1400,1000,277.95,291.65,2500,-,265,-,-,-,34
