CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,950,331.1,348.7,1900,1560,4750,0.4,0.9,1900,-,-,-,-,-,-
4,-,-,-,335,-,950,293.45,309.5,4750,1600,2850,0.5,0.7,475,-0.65,0.6,26.37,119,22,70
2,-,-,-,297.5,-,950,251.75,270.7,950,1640,1425,0.65,1.1,475,-0.95,0.9,24.47,24,-7,36
1,-,-,-,213,-,950,214,230.85,950,1680,4750,0.8,1.65,475,-1.1,1.1,21.73,2,-,4
36,-,-,-,209.45,-,950,195.75,211.1,950,1700,475,1.2,1.45,950,-0.7,1.4,20.82,386,200,342
14,-,-,-,175.25,-,950,173.1,191.7,950,1720,475,1.55,1.85,475,-0.9,1.85,20.03,73,16,52
24,-,-,-,172.1,-,1900,156.25,172.45,950,1740,475,2.1,2.25,475,-1.25,2.3,18.98,449,111,283
5,5,11,16.94,145.8,-154.7,475,143.35,146.3,475,1760,475,2.9,3.2,950,-1.3,3.15,18.29,198,41,192
-,-,-,-,-,-,950,116.5,134.1,950,1780,950,4.1,4.35,475,-1.9,4.35,17.63,336,48,99
401,3,75,16.05,108.9,7.8,475,105.75,109.4,475,1800,1425,5.9,6.05,950,-2.35,6,16.97,1202,15,930
38,19,87,15.62,91.4,6.95,950,88.65,91.35,475,1820,475,8.6,8.95,475,-2.7,9,16.83,741,133,513
151,109,406,15.38,75.15,6,475,68.6,75.15,475,1840,475,12.1,12.5,950,-3.9,12.2,16.17,1122,93,422
224,-22,453,14.7,59.35,3.95,1425,58.6,60,475,1860,475,17.05,17.5,475,-5,17.1,15.84,1603,110,1258
378,46,1560,15.03,47.05,3.8,475,45.55,46.6,475,1880,475,23.65,24.4,475,-5.85,23.95,15.74,2074,155,496
1745,478,4808,14.66,35.1,2.15,950,34.8,35.2,950,1900,475,32.3,33.25,475,-7.45,31.95,15.39,1844,281,1497
1030,188,2695,14.73,26,1.25,1900,25.25,25.9,475,1920,475,42.85,44.2,475,-8,42.9,15.57,533,58,297
1412,278,2731,14.8,18.75,0.75,950,18,18.5,475,1940,475,55.25,62.6,1425,-8.95,54.55,15.26,252,-17,702
794,174,2174,14.74,12.9,-0.25,475,12.75,13.1,475,1960,475,69.55,71.9,475,-6.65,72.05,17.11,55,-8,299
340,53,1044,14.97,9,-0.6,475,8.85,9.15,950,1980,475,85.7,87.35,475,-7.2,88.3,17.87,30,11,41
1865,27,2989,15.3,6.3,-0.75,1425,6.2,6.4,475,2000,475,102.5,104.85,475,-7,105.95,19,44,-4,288
166,-79,635,15.6,4.35,-0.8,475,4.25,4.45,950,2020,475,120.55,123.1,475,-6.55,123.45,19.66,29,22,76
405,-71,604,15.99,3.05,-0.7,950,2.9,3.1,1900,2040,1425,134.4,148.85,1425,1.05,149.35,-,-,-,294
476,235,692,16.4,2.15,-0.75,1900,2.05,2.25,475,2060,475,147.4,168.4,950,-,131.7,-,-,-,1
143,45,125,16.97,1.6,-0.65,1425,1.45,1.65,475,2080,950,166.45,187.4,950,-,-,-,-,-,-
382,46,431,17.4,1.15,-0.75,950,1.25,1.4,475,2100,8075,188.55,205,7125,-,206,-,-,-,71
370,19,393,18.65,1.1,-0.7,2375,1.05,1.25,950,2120,950,209.3,225.3,1900,-,-,-,-,-,-
9,2,3,20.3,0.8,-0.7,5225,0.7,0.95,1425,2160,950,248.75,265.15,1900,-,-,-,-,-,-
182,-36,96,22.12,0.65,-0.3,8075,0.55,0.65,1900,2200,950,288.1,306.2,950,-,303.9,-,-,-,18
