CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,5250,38.55,40.75,10500,170,7875,0.15,0.45,7875,-0.6,0.3,39.57,1,1,1
69,53,86,-,30,-0.45,2625,29.9,30.3,2625,180,5250,0.55,0.65,7875,-0.15,0.6,35.25,274,113,256
15,15,38,18.54,25.15,-32,2625,25.3,25.6,2625,185,5250,0.85,0.95,5250,-0.9,0.9,33.56,12,7,7
27,27,62,24.11,20.65,-59.35,5250,20.85,21.1,2625,190,5250,1.3,1.4,10500,-0.15,1.4,32.32,298,65,493
24,24,70,25.44,16.45,-32.15,2625,16.65,16.85,2625,195,5250,2.05,2.15,7875,-0.2,2.1,30.89,292,35,146
127,51,221,26.73,12.8,-0.55,2625,12.85,13,2625,200,7875,3.2,3.25,5250,-0.2,3.25,30.2,1099,29,511
113,61,411,26.59,9.45,-0.55,2625,9.5,9.65,2625,205,5250,4.8,4.9,2625,-0.15,4.85,29.57,1127,40,220
564,178,2060,26.75,6.75,-0.45,2625,6.75,6.85,5250,210,2625,7.05,7.1,2625,-0.15,7.1,29.53,1405,121,625
787,183,1990,26.95,4.65,-0.35,5250,4.6,4.7,7875,215,2625,9.8,9.95,2625,-0.15,9.95,29.77,335,-1,452
1213,123,2255,26.97,3.05,-0.35,5250,3.05,3.1,7875,220,2625,13.15,13.45,2625,-,13.4,30.49,164,11,624
748,299,1120,27.45,2,-0.25,34125,1.95,2.05,15750,225,2625,16.95,17.25,2625,0.2,17.4,32.01,72,1,324
914,41,824,28.38,1.35,-0.15,26250,1.3,1.35,13125,230,2625,21.3,21.9,5250,0.3,21.65,33.45,46,-,391
186,-6,271,29.2,0.9,-0.1,21000,0.85,0.9,2625,235,2625,25.9,26.1,2625,0.55,26.3,36.27,32,8,67
535,74,331,30.01,0.6,-0.1,21000,0.6,0.65,73500,240,2625,30.35,30.85,2625,0.55,30.95,38.45,56,7,198
51,-15,59,31.53,0.45,-0.1,2625,0.4,0.5,39375,245,2625,35.3,35.6,2625,4.25,35.75,41.23,47,19,41
346,-1,213,32.2,0.3,-0.1,10500,0.3,0.35,60375,250,2625,40.15,40.5,2625,0.6,40.6,44.08,11,1,256
5,-1,1,32.85,0.2,-0.05,5250,0.2,0.4,2625,255,5250,44.3,46.55,10500,-,43.65,-,-,-,62
204,21,48,35.57,0.2,-0.05,26250,0.2,0.25,31500,260,2625,49.4,50.85,2625,1.7,51.3,57.95,1,-1,146
6,-,-,-,0.25,-,78750,0.1,0.3,23625,265,10500,54.25,56.2,10500,-,53,-,-,-,90
63,10,19,39.07,0.15,0.05,7875,0.1,0.15,2625,270,10500,59,61.05,10500,-,59.5,-,-,-,44
35,-,19,36.12,0.05,-0.05,23625,0.05,0.1,5250,275,2625,64.5,65.6,2625,-2.4,62.1,-,10,-1,122
13,9,18,41.53,0.1,0.05,63000,0.05,0.15,2625,280,10500,68.95,71.25,10500,-0.15,69.25,-,-,-,129
-,-,-,-,-,-,-,-,0.25,2625,290,10500,78.85,81.1,10500,-,77.5,-,-,-,26
