CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,10000,58.1,61.45,5000,290,2500,0.25,0.5,2500,-,-,-,-,-,-
-,-,-,-,-,-,10000,53.1,56.75,5000,295,2500,0.15,0.85,2500,-,-,-,-,-,-
-,-,-,-,-,-,5000,48.35,52.05,5000,300,5000,0.5,0.6,2500,-0.25,0.55,31.01,37,12,36
-,-,-,-,-,-,10000,43.7,47.4,10000,305,5000,0.5,0.95,5000,-,-,-,-,-,-
1,1,1,21.13,40.25,-16.45,2500,39,42.6,5000,310,5000,1,1.1,7500,-0.2,1,29.22,45,8,100
6,-,-,-,49.8,-,10000,34.6,37.05,5000,315,2500,1.4,1.5,2500,-1,1.45,28.96,25,18,19
4,4,4,35.93,34,-16.05,2500,31.1,31.6,2500,320,5000,2,2.05,10000,0.05,2,28.43,87,29,83
2,2,3,35.1,29.95,-43.3,2500,26.6,27.3,2500,325,5000,2.65,2.75,2500,0.2,2.7,27.83,24,8,30
10,5,10,24.39,23,-5,2500,22.9,23.4,2500,330,2500,3.65,3.75,2500,0.55,3.75,27.73,164,26,194
1,1,1,43.15,26,-38.95,2500,18.7,20,5000,335,5000,4.85,5,2500,0.7,4.85,26.96,47,32,62
12,-1,8,25.7,16.35,-4.35,2500,15.85,16.25,2500,340,7500,6.45,6.65,2500,1,6.5,26.95,146,28,243
18,6,13,24.92,13.05,-3.8,2500,12.85,13.15,2500,345,2500,8.45,8.55,2500,1.35,8.45,26.83,54,14,47
170,86,256,24.63,10.3,-4.15,2500,10.25,10.5,2500,350,27500,9.65,10.85,5000,1.9,10.85,26.96,289,40,382
144,56,166,24.74,8.1,-3.6,5000,7.95,8.15,5000,355,2500,13.4,13.65,2500,2.05,13.4,26.58,104,24,87
451,126,497,24.55,6.15,-3.35,10000,6.1,6.15,25000,360,2500,16.35,16.8,2500,2.5,16.55,26.84,140,6,251
115,14,94,24.76,4.7,-2.7,5000,4.65,4.75,2500,365,2500,19.75,20.15,2500,3.35,20.15,27.47,6,5,31
266,87,349,24.83,3.5,-2.25,2500,3.45,3.55,5000,370,7500,22.55,25.1,12500,-0.15,20,-,-,-,106
35,5,47,25.03,2.6,-1.9,7500,2.5,2.6,5000,375,2500,27.55,27.9,2500,2.7,26.1,21.68,28,26,83
354,189,423,25.2,1.9,-1.55,5000,1.85,1.9,2500,380,2500,31.8,32.25,2500,2.7,29.2,-,6,2,86
34,7,26,25.5,1.4,-1.2,2500,1.4,1.45,2500,385,5000,34.45,37.95,10000,-,31.5,-,-,-,27
152,8,74,25.97,1.05,-0.95,20000,1.05,1.1,7500,390,5000,39.5,42.4,10000,-,34.15,-,-,-,47
13,12,20,26.52,0.8,-2.9,2500,0.75,0.8,7500,395,2500,44.3,47.1,10000,-,35,-,-,-,4
425,-31,294,26.97,0.6,-0.55,30000,0.6,0.65,37500,400,2500,50.25,50.8,2500,2.75,47.25,-,2,-,54
2,-1,1,30.69,0.8,-0.2,2500,0.3,0.75,2500,405,5000,53.55,57.25,10000,-,-,-,-,-,-
47,3,26,28.66,0.4,-0.35,2500,0.4,0.45,5000,410,5000,58.35,61.8,10000,-,49,-,-,-,10
-,-,-,-,-,-,2500,0.2,0.85,2500,415,5000,62.95,66.95,12500,-,-,-,-,-,-
79,5,18,30.72,0.3,-0.3,2500,0.25,0.3,5000,420,5000,67.75,71.6,10000,-,56.6,-,-,-,11
2,-,-,-,0.25,-,50000,0.1,0.25,5000,430,5000,78.05,81.25,10000,-,72.4,-,-,-,5
