CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,1300,442.8,462.5,1300,1440,6500,0.2,3.95,13000,-,-,-,-,-,-
-,-,-,-,-,-,650,401.85,420.95,1300,1480,6500,0.2,1.15,650,-,-,-,-,-,-
-,-,-,-,-,-,3250,362.4,389.6,325,1520,6500,0.35,13,13000,-,-,-,-,-,-
-,-,-,-,-,-,650,343.05,364.65,1300,1540,1625,0.55,5.35,13000,-,-,-,-,-,-
-,-,-,-,-,-,650,322.85,348.6,1300,1560,8125,0.7,12.3,1300,-,-,-,-,-,-
-,-,-,-,-,-,650,303.8,329.25,1300,1580,2600,1.15,12.25,325,-,-,-,-,-,-
-,-,-,-,-,-,1300,285.95,305.4,650,1600,3575,1.5,4.95,325,-,5,-,-,-,16
-,-,-,-,-,-,650,265.75,292.85,650,1620,2275,2.45,17.45,325,-,-,-,-,-,-
-,-,-,-,-,-,650,245.9,270.35,1300,1640,325,3.85,14.75,1625,-,6.5,-,-,-,1
-,-,-,-,-,-,1300,228.1,254.8,3250,1660,325,4.1,14.3,325,-,-,-,-,-,-
-,-,-,-,-,-,1300,211.3,231.1,1300,1680,325,7.55,11.45,325,-3.65,6.85,31.05,5,-1,8
50,-,-,-,200,-,325,194.2,210.6,650,1700,3250,9.9,10.6,325,-2.35,10.7,32.64,103,60,134
1,-,3,27.54,186,-9,325,177.95,199.1,325,1720,325,5.05,27.1,3250,-,-,-,-,-,-
-,-,-,-,-,-,1300,153.15,186.05,1300,1740,-,-,29.55,1300,-,-,-,-,-,-
-,-,-,-,-,-,1300,134.4,171.45,1300,1760,-,-,32.9,1300,-,-,-,-,-,-
-,-,-,-,-,-,1300,120.5,155.25,325,1780,-,-,36.3,325,-,35.2,-,-,-,1
16,-,-,-,129.05,-,2275,114.6,129.6,975,1800,325,29.45,31.75,650,-3.35,30.45,31.82,178,19,146
1,-,-,-,118,-,325,95.1,122.45,975,1820,325,29.05,45.55,650,1.55,37.05,31.94,10,7,10
3,1,3,32.8,105.2,-12.55,325,95.55,101.9,325,1840,325,36.7,45,325,-2.05,44.2,31.91,7,4,8
11,2,10,31.46,90.65,4.7,325,83.5,89.15,325,1860,325,51.2,60.8,650,-1.65,52.3,31.92,34,2,33
14,6,24,28.49,73.25,-4.75,325,72.25,76.15,325,1880,325,56.55,69.7,1300,-5.15,58.3,30.56,13,2,7
294,38,675,28.92,64.15,-3.5,325,64.25,66.1,325,1900,325,69.85,73.25,325,-6.7,70.8,31.77,82,22,154
112,5,48,29.76,56.95,-3.2,325,55.6,57.9,650,1920,325,77.1,92.2,650,3.5,79.05,30.65,1,-,5
64,3,97,30.13,49.6,-2.35,325,47.7,49.9,325,1940,325,91.3,98.15,325,3.9,97,33.53,3,-,6
21,3,16,28.95,39.8,-8.2,325,41.35,43.1,325,1960,975,103.5,116.45,650,-,-,-,-,-,-
-,-,-,-,-,-,975,24.25,39.8,325,1980,1300,106.3,134.55,1300,-,-,-,-,-,-
398,1,683,30.56,31,-0.7,325,30.2,32,325,2000,650,128.45,145.2,650,-,126,-,-,-,7
-,-,-,-,-,-,3250,8.55,38.35,1950,2020,1300,127.85,173.15,975,-,-,-,-,-,-
-,-,-,-,-,-,325,7.25,26.9,650,2040,1300,148.9,179.1,650,-,-,-,-,-,-
-,-,-,-,-,-,325,8.15,21.9,325,2060,1300,168.05,193.95,650,-,-,-,-,-,-
-,-,-,-,-,-,325,13.25,18.25,325,2080,1300,188.2,223.95,650,-,-,-,-,-,-
19,7,39,31.27,13,-0.45,325,12.15,13.5,325,2100,650,205.7,226.15,1300,-,-,-,-,-,-
19,9,15,30.66,9.95,-2.8,325,10.05,11.25,325,2120,1300,224.05,244.7,1625,-,-,-,-,-,-
34,-7,28,30.82,8.2,-0.75,325,8.15,9.25,325,2140,650,241.4,263.3,1300,-,-,-,-,-,-
21,15,16,31.42,7.15,-0.8,325,6.75,8.4,325,2160,650,261.1,281.55,1300,-,-,-,-,-,-
