CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,-,-,-,-,28000,600,2.1,9.95,175,-11.5,8.5,48.5,3,2,9
-,-,-,-,-,-,50,7375.3,7850.35,25,32500,900,1.15,-,-,-,-,-,-,-,-
-,-,-,-,-,-,50,7135.6,7561.95,100,32750,100,7.95,-,-,-,-,-,-,-,-
8,2,2,45.83,7400,900,100,6915.5,7277.45,100,33000,25,20,30.55,50,-30.5,17.5,31.09,2,-,2
-,-,-,-,-,-,50,6658.6,7094.9,100,33250,25,2.2,-,-,-,-,-,-,-,-
-,-,-,-,-,-,50,6395.85,6821.2,100,33500,900,2.15,-,-,-,-,-,-,-,-
-,-,-,-,-,-,50,6144.25,6661.05,250,33750,50,6.2,-,-,-,-,-,-,-,-
-,-,-,-,-,-,50,5903.8,6400.15,50,34000,-,-,60,25,-39.75,60,33.11,1,-,7
-,-,-,-,-,-,125,5708.35,6120.25,25,34250,200,2.2,-,-,-76.05,68.9,32.79,1,1,1
-,-,-,-,-,-,50,5431.35,5855.35,100,34500,100,2.2,201.55,100,-,-,-,-,-,-
-,-,-,-,-,-,50,5182.45,5626,25,34750,900,2.15,91.95,25,-99.8,90.4,32.17,1,1,1
3,-,-,-,4600,-,250,4961.15,5377.2,25,35000,50,60,73,25,-4.15,65,28.85,25,8,45
-,-,-,-,-,-,100,4742.6,5167.35,25,35250,900,5.15,141.75,75,-8.25,141.75,32.99,2,-,8
-,-,-,-,-,-,100,4496.9,4931.8,250,35500,25,67.65,296.35,125,-263.25,64.45,26.44,1,-,1
-,-,-,-,-,-,100,4248.65,4717.55,50,35750,900,5.15,131.5,25,-,-,-,-,-,-
-,-,-,-,-,-,50,4014.8,4416,50,36000,25,92.25,116,25,-59.85,92.7,26.1,127,21,65
2,-,-,-,3421.6,-,100,3802.75,4167.9,50,36250,750,60.4,140.15,75,-44.65,125.45,26.77,4,1,11
-,-,-,-,-,-,50,3540.95,3962.4,50,36500,750,93.4,156.8,25,-42,137.45,26.08,31,4,7
-,-,-,-,-,-,125,3337.4,3760.8,25,36750,900,10.15,210.85,75,-92.65,151.55,25.41,19,4,15
-,-,-,-,-,-,50,3103.2,3504.05,50,37000,750,159.65,211.15,50,-49.45,190.55,25.74,57,13,47
-,-,-,-,-,-,125,2845.55,3483.45,25,37250,-,-,335.6,150,-,-,-,-,-,-
-,-,-,-,-,-,125,2597.35,3145.55,25,37500,-,-,325,25,-,-,-,-,-,-
-,-,-,-,-,-,100,2368.45,2930.15,100,37750,-,-,417.9,25,-,-,-,-,-,-
7,-,-,-,2000,-,100,2262.65,2659.65,100,38000,50,340,349.95,25,-127,354.4,25.24,505,42,249
-,-,-,-,-,-,100,2007.15,2647,50,38250,-,-,559.05,75,-,-,-,-,-,-
8,-,-,-,1880,-,100,1743.5,2413.5,100,38500,-,-,643,150,-,-,-,-,-,-
-,-,-,-,-,-,125,1702.8,2048.9,75,38750,550,444.75,602.25,50,-161.35,538.65,24.87,89,43,44
56,5,35,19.87,1715,396.2,25,1624.8,1869.45,50,39000,50,550.4,625,50,-264.15,600.05,24.42,705,119,159
7,-1,26,21.42,1611.15,263.45,100,1407.1,1611.15,25,39250,25,605,743.9,25,-260.1,700,24.71,27,13,20
35,6,52,22.09,1484,446.15,25,1353.25,1551.7,75,39500,50,780,824.4,25,-311.6,800.55,24.8,83,28,36
2,2,12,20.18,1250,-1225.5,50,1186.7,1433.75,125,39750,300,807.35,991.6,50,-120.95,892.05,24.52,68,18,21
252,32,1802,21.01,1150,296.05,25,1108,1159.65,25,40000,25,1001,1036.9,25,-381.45,1035,25.17,681,35,118
27,22,161,20.02,975.15,-24.85,50,950.6,1190.3,25,40250,25,1101.05,1251.75,25,-518.95,1145.3,24.93,50,4,4
68,60,273,20.29,869.7,214.35,50,866,914,25,40500,75,1128.65,1421.4,100,-193.45,1256.55,24.54,10,3,5
-,-,-,-,-,-,25,689.5,979.6,25,40750,75,1274.15,1545.2,25,-466.35,1445,25.62,3,-,1
283,92,1309,21.18,703.45,196.8,400,697,732.5,50,41000,50,1438.5,1748.75,125,-6660.1,1600,25.82,1,1,1
