CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
3,-,-,-,54,-,7900,48.25,50.95,3950,260,1975,0.2,0.4,1975,-1.9,0.35,32.94,13,13,13
-,-,-,-,-,-,3950,38.8,41.45,3950,270,1975,0.45,0.55,1975,-0.9,0.5,28.99,22,12,14
64,7,10,-,30.35,-2.65,1975,30,30.45,1975,280,3950,0.85,1,7900,-,0.9,26.21,50,9,123
-,-,-,-,-,-,3950,24.6,26.6,1975,285,1975,1.35,1.45,3950,-1.95,1.35,25.58,7,7,7
16,6,16,15.99,21.5,-5.2,1975,21.15,21.65,1975,290,3950,2,2.1,3950,0.35,2.05,25.25,180,48,181
8,8,17,17.81,17.4,-25.05,1975,17.15,17.55,1975,295,1975,2.95,3.05,3950,0.4,2.95,24.66,126,48,78
124,5,61,19.37,13.9,-2.7,1975,13.6,14,1975,300,1975,4.3,4.4,1975,0.6,4.3,24.53,616,109,574
24,13,58,19.88,10.7,-2.1,1975,10.6,10.85,1975,305,1975,6.2,6.3,1975,0.95,6.25,25,264,9,222
355,167,592,20.5,8.1,-2,1975,8,8.1,1975,310,1975,8.5,8.7,1975,1.3,8.65,25.48,690,146,404
364,58,503,20.61,5.85,-1.95,3950,5.85,6,5925,315,1975,11.35,11.5,3950,1.55,11.45,25.88,153,10,301
783,121,830,21.34,4.3,-1.4,5925,4.2,4.3,3950,320,1975,14.6,14.8,1975,1.8,14.6,26.15,150,22,338
215,105,281,21.59,3,-1.1,5925,2.95,3.05,5925,325,1975,18.3,18.6,1975,2.2,18.2,26.71,52,36,64
506,147,562,22.05,2.1,-0.85,5925,2.05,2.15,7900,330,1975,22.2,22.6,1975,3.2,22.6,29.02,25,-9,340
139,25,107,22.96,1.55,-0.6,3950,1.45,1.5,1975,335,5925,25.9,28.1,13825,-,22.35,-,-,-,14
348,28,184,23.26,1.05,-0.5,3950,1.05,1.1,3950,340,3950,31.2,31.55,1975,0.9,28.9,18.68,2,1,64
127,4,35,24.29,0.8,-0.35,1975,0.75,0.8,1975,345,1975,35.75,36.3,1975,3.75,35.75,32.66,1,-,14
301,4,180,25.15,0.6,-0.3,7900,0.55,0.6,5925,350,1975,40.55,41.05,1975,3.35,40.85,36.31,12,6,41
-,-,-,-,-,-,3950,0.25,1.7,1975,355,3950,44.05,47.85,19750,12.55,45.25,36.33,2,1,1
139,21,60,26.86,0.35,-0.25,69125,0.35,0.4,17775,360,1975,50.2,50.9,1975,2,49,30.63,4,-4,16
137,61,63,30.12,0.3,-0.1,17775,0.2,0.3,61225,370,3950,58.55,61.4,9875,-,56,-,-,-,11
