CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,250,1324.75,1386.8,500,4500,250,0.2,3.9,3750,-,4.95,-,-,-,2
-,-,-,-,-,-,250,1228.25,1284.95,500,4600,3500,0.2,2,375,-5,1,32.92,2,-,4
-,-,-,-,-,-,250,1127.45,1188.55,500,4700,875,1,4.35,750,-,-,-,-,-,-
-,-,-,-,-,-,250,1078,1142.65,500,4750,125,0.25,4.65,750,-,-,-,-,-,-
-,-,-,-,-,-,250,1029.15,1093.1,250,4800,1000,1.25,5,750,-,-,-,-,-,-
-,-,-,-,-,-,250,981.9,1048.8,125,4850,3500,1.1,5.35,750,-,-,-,-,-,-
-,-,-,-,-,-,250,935.4,994.8,250,4900,500,3.1,4.95,2500,-,-,-,-,-,-
-,-,-,-,-,-,250,885.05,945.7,125,4950,500,3.5,6.1,125,-,-,-,-,-,-
-,-,-,-,-,-,250,832.45,891.75,250,5000,375,4.85,4.9,21625,-3.85,4.9,28.42,1077,211,255
-,-,-,-,-,-,250,783.45,845.3,250,5050,500,4.55,7.6,750,-,-,-,-,-,-
-,-,-,-,-,-,250,737.3,794.95,250,5100,500,5.2,7.9,2500,-35.75,2.6,22.97,2,1,1
-,-,-,-,-,-,250,690.25,749.7,250,5150,125,4.45,10.15,125,-3.3,12,28.51,1,-,2
1,-,-,-,306.55,-,500,639.95,696.8,125,5200,125,7.65,9.7,125,-8.2,7.5,24.32,290,106,170
-,-,-,-,-,-,250,597.25,653.75,250,5250,125,8.1,13.8,125,-8.35,9.25,23.75,17,-7,46
6,-,-,-,466,-,500,547.1,603.4,500,5300,125,12.1,12.65,250,-9,12.5,23.68,1429,89,301
9,-,-,-,335.4,-,500,498.3,559.65,250,5350,125,11.95,16.2,125,-11.2,14.8,22.9,31,5,23
7,-,-,-,425,-,250,454,513.55,500,5400,250,18,18.75,250,-11.2,18.45,22.43,999,346,468
10,-,-,-,339,-,250,412.5,468.15,250,5450,125,21.8,23.35,125,-11.15,23.25,22.04,89,19,28
79,-6,33,19.54,388.25,88.25,125,385.15,397.35,125,5500,125,28.15,29.45,125,-17.25,28.5,21.49,1376,6,280
3,-,-,-,296.8,-,250,323.75,382.25,500,5550,125,34.7,37.25,125,-21.2,37.2,21.45,128,8,67
124,-24,138,19.25,305,84.95,125,307.4,318.45,125,5600,125,45.05,46.5,125,-25.45,47.15,21.29,1264,124,388
44,-5,32,18.62,263.75,79.1,125,269.9,277.2,125,5650,125,57.05,59.4,125,-32.5,57,20.75,569,63,122
237,-24,691,20.39,238.55,76.4,125,231.9,240.35,125,5700,125,70.15,73.7,125,-36.5,73.8,21.05,2454,207,513
92,-17,533,20.23,205.35,65.7,125,202.15,213.6,125,5750,125,84.6,89.85,125,-44.15,88.55,20.61,1150,109,198
559,79,6600,20.11,175,60.05,250,174,175.95,125,5800,250,108,110,125,-54.85,108.05,20.51,3462,284,408
278,261,3436,20.22,149,54,125,147.45,149,250,5850,125,125.15,133.75,250,-102.45,132,20.67,918,124,124
728,634,8421,20.28,125.5,46.15,125,124,125.7,125,5900,125,156.8,158.8,125,-47.15,158.85,20.84,1120,204,247
96,67,486,20.31,104.5,41.4,125,103.35,106.1,125,5950,125,181.75,190.35,250,-113.85,176.8,19.3,8,4,4
802,198,8792,20.37,86.45,33.65,500,86.45,87,125,6000,125,212.15,221.65,125,-79.75,218.8,20.95,127,23,63
22,5,177,20.13,69,27.35,125,70.05,72.8,125,6050,250,232.95,275.8,375,-,-,-,-,-,-
224,70,1985,20.73,58.9,22.35,125,57.65,58.95,125,6100,250,271.05,321.45,250,-,-,-,-,-,-
67,67,149,20.31,45.05,-60.65,125,46.7,48.65,125,6150,250,306.7,354.45,250,-,-,-,-,-,-
779,136,4610,21.04,39,13.15,125,38.3,39,250,6200,250,339.7,398.35,250,-,-,-,-,-,-
89,37,258,20.89,30.15,7.55,125,31.25,32.6,125,6250,500,382.05,442.7,250,-,-,-,-,-,-
250,158,1419,21.66,26.45,11.25,125,25.55,27.6,125,6300,500,429.2,486.8,250,-,-,-,-,-,-
102,56,220,21.77,21.05,6.7,125,20.75,23.85,125,6350,250,470.15,531.15,250,-,-,-,-,-,-
154,123,725,22.01,17.05,4.8,125,16.8,19.85,125,6400,250,516.2,577.15,250,-,-,-,-,-,-
384,224,1826,22.82,11.9,4.15,750,11.9,12.2,2000,6500,125,614.65,667.85,125,-,-,-,-,-,-
687,686,3210,23.44,8.05,1.75,250,7.55,8.2,250,6600,250,707.75,764.65,625,-,-,-,-,-,-
