CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
30,30,55,44.4,327.95,-739.55,375,330.6,333.75,375,1800,750,22.55,22.8,375,3.25,22.7,52.31,3787,840,1303
23,23,50,44.44,245.7,-738,375,247.25,257.4,375,1900,750,39,39.6,375,8.15,39.5,49.85,2630,183,1354
21,20,40,45.38,210.65,-76.45,375,210.3,214.1,375,1950,375,50.95,51.75,375,-14.75,51.7,48.93,769,116,116
220,101,548,45.97,178.55,-60.5,750,177.1,179.55,375,2000,375,65.8,66.95,375,15.4,66,47.74,5838,232,1993
86,86,236,45.3,147.1,-344.5,375,146.25,148.4,375,2050,375,85,86.1,375,22.3,86,47.75,2098,114,316
692,544,3300,45.04,120,-51.95,750,119.25,120.1,375,2100,750,106.95,108.55,375,26.3,108,47.2,7542,382,1882
788,709,4694,44.57,95.9,-46.75,375,95.95,96.95,375,2150,375,133.15,134.9,375,32.35,134.65,47.2,4118,355,628
2453,1250,8859,44.23,75.55,-41.7,750,75.55,76.5,375,2200,375,161.7,164.7,375,35.4,162.05,46.18,3241,28,2106
1216,337,3625,44.65,60.2,-34.5,750,59.1,60.75,375,2250,375,195.45,198,375,43.25,196.35,46.73,789,46,611
2921,692,7108,44.51,46.45,-28.6,375,45.75,46.5,375,2300,375,231.35,233.95,375,49.65,233.3,47.28,782,2,1078
1299,170,3266,44.6,35.75,-22.95,375,35.05,35.75,375,2350,750,260.05,297.15,750,60.85,278.4,50.74,164,53,295
3612,659,6714,44.38,26.7,-18.3,375,26.7,27.25,375,2400,375,310.5,314.35,375,64,315.2,49.21,245,-21,1157
707,-2,1640,44.91,20.7,-14.1,375,20.45,20.75,375,2450,375,354.75,359.1,375,61,353,46.71,49,5,219
3145,459,4475,45.47,16.05,-11,375,15.75,15.95,1125,2500,375,398.85,402.65,375,75.9,403,51.15,237,22,798
866,143,1018,45.61,12,-8.9,375,12.2,14.65,375,2550,375,444.8,453.4,375,43.05,415,-,8,2,42
2453,398,2627,45.92,9.05,-7,750,9.05,9.15,375,2600,375,490.9,497.9,375,67.85,484.45,42.27,325,-129,337
238,30,386,46.84,7.25,-5.4,750,6.75,7.55,375,2650,1500,533.7,552.2,375,-,464,-,-,-,24
1473,84,988,48.6,6.4,-3.8,375,5.75,6.4,750,2700,375,584.6,593.65,375,68.6,582,45.61,8,-3,186
-,-,-,-,-,-,375,2.3,6.45,375,2750,750,624.95,656.3,750,-,299,-,-,-,3
1098,106,689,49.95,4.05,-3.1,750,4.05,4.1,375,2800,375,683.95,690.05,375,67.3,672.3,-,15,3,103
150,7,180,52.39,3,-1.9,2250,2.7,3,750,2900,375,782.1,794.6,375,60,760,-,15,14,103
281,16,142,60.44,1.65,-1.3,12000,1.65,1.95,375,3200,-,-,-,-,-,-,-,-,-,-
