CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,300,712.1,750.7,300,3000,150,3.75,4.3,450,-1.8,3.5,37.94,34,25,81
2,2,2,44.77,561.7,-551.3,150,516.85,551.5,1050,3200,150,8,9,150,-2.5,9,33.96,124,52,90
-,-,-,-,-,-,450,422.25,462.4,450,3300,150,10,22.35,1800,-,-,-,-,-,-
3,3,3,-,333.5,-616.2,300,334.7,361.9,150,3400,150,22.45,24.45,450,-9.15,23.15,30.17,265,44,288
1,1,3,32.94,289.3,-137.25,150,248.8,272.15,150,3500,150,37.9,39.3,150,-16.1,38.5,28.87,350,77,118
79,42,182,25.35,191.8,35.4,150,190.35,198.2,150,3600,150,62.95,66.15,150,-22.4,63.6,28.02,608,13,292
317,34,1807,26.3,135.25,30.4,150,133.25,135.9,150,3700,150,101.05,107.85,150,-32.7,102.3,27.77,1147,57,344
498,26,2016,25.95,87.1,19.3,150,86.95,88.95,150,3800,150,153.05,157.1,150,-40.85,156.2,28.1,249,-21,417
582,74,1132,26.25,54.6,13.05,150,54.3,55.8,150,3900,150,218.7,223.95,150,-39.3,224.4,29.02,63,-,238
409,112,1151,26.56,32.8,8.2,1500,32.2,33.35,150,4000,150,295.6,303.05,150,-46.9,305,30.84,37,1,109
248,105,460,26.69,18.5,3.9,150,18.25,18.6,150,4100,150,380.15,404.2,150,-64.25,351.25,-,10,4,29
323,149,452,27.34,10.8,1.95,150,10.6,12.55,150,4200,150,462.75,477.65,150,-49.75,477.1,32.43,13,2,129
-,-,-,-,-,-,750,5,17.55,450,4300,150,563.75,596,600,-,625,-,-,-,26
75,20,108,29.22,4.05,0.5,150,4,4.5,150,4400,300,647.55,687.3,600,-2.05,709.9,-,-,-,102
1,1,2,28.7,0.85,-281.2,1500,1,3.35,150,4600,600,849.6,885.25,600,-,890,-,-,-,56
