CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,33750,15.8,16.9,27000,88,67500,0.05,0.1,13500,-,-,-,-,-,-
9,5,8,-,13.8,-1.7,6750,14.35,14.5,6750,90,364500,0.1,0.15,229500,-0.05,0.15,29.91,112,107,113
13,-,-,-,13.55,-,13500,12.1,12.9,27000,92,40500,0.15,0.25,33750,-0.05,0.2,27.93,20,-,29
-,-,-,-,-,-,6750,10.25,11.15,27000,94,13500,0.3,0.35,27000,-,0.3,26.62,21,9,18
-,-,-,-,-,-,60750,9.15,10.1,27000,95,20250,0.4,0.45,148500,0.05,0.45,27.5,230,50,150
4,-,-,-,10,-,60750,8.35,9.2,27000,96,27000,0.45,0.55,60750,0.05,0.55,26.96,69,30,38
4,2,3,18.62,7.9,-2.2,6750,7.8,7.95,6750,97,6750,0.6,0.65,81000,0.05,0.6,25.43,60,29,50
6,6,17,18.46,7,-10.8,6750,7,7.15,6750,98,6750,0.75,0.8,67500,0.05,0.75,25.08,128,27,187
15,15,27,19.93,6.25,-6,13500,6.15,6.3,6750,99,40500,0.9,1,94500,0.1,0.95,24.94,165,27,80
855,7,277,20.42,5.5,-0.8,13500,5.45,5.55,6750,100,114750,1.15,1.2,135000,0.2,1.2,24.92,939,219,1207
14,3,49,21.29,4.85,-0.65,6750,4.7,4.8,13500,101,20250,1.4,1.45,6750,0.2,1.45,24.48,103,19,119
35,2,172,20.61,4.1,-0.7,13500,4.05,4.15,13500,102,20250,1.75,1.8,47250,0.3,1.8,24.55,265,18,154
71,51,159,20.37,3.45,-0.7,13500,3.45,3.55,13500,103,6750,2.15,2.2,27000,0.3,2.15,24.19,458,13,134
190,135,572,21.31,3,-0.5,33750,2.9,2.95,135000,104,33750,2.55,2.65,20250,0.45,2.65,24.66,730,67,214
767,259,1439,20.48,2.4,-0.6,47250,2.4,2.5,81000,105,33750,3.05,3.15,40500,0.45,3.1,24.29,1307,248,1065
410,73,638,21.21,2.05,-0.45,40500,2,2.1,81000,106,27000,3.65,3.7,13500,0.5,3.7,24.71,344,2,243
394,89,833,21.05,1.65,-0.45,67500,1.65,1.7,13500,107,6750,4.3,4.35,20250,0.6,4.35,25.15,310,-,214
415,58,769,21.28,1.35,-0.35,94500,1.35,1.4,121500,108,20250,4.95,5.05,13500,0.65,5.05,25.64,76,-17,192
163,44,249,21.54,1.1,-0.3,87750,1.1,1.15,20250,109,6750,5.7,5.8,13500,0.65,5.75,25.78,66,-16,79
1786,323,1683,22.41,0.95,-0.2,256500,0.9,0.95,94500,110,6750,6.4,6.55,6750,0.7,6.55,26.51,132,-,949
171,29,163,22.41,0.75,-0.15,114750,0.7,0.75,27000,111,6750,7.25,7.4,6750,0.8,7.4,27.47,44,14,84
530,165,581,22.59,0.6,-0.15,182250,0.6,0.65,87750,112,13500,8.1,8.25,13500,0.65,8.15,27.1,53,7,336
130,-19,114,23.82,0.55,-0.05,411750,0.45,0.55,67500,113,6750,9,9.15,6750,0.7,8.95,26.9,37,12,62
150,-,88,23.33,0.4,-0.1,114750,0.4,0.45,27000,114,6750,9.9,10.1,6750,0.9,9.95,28.96,21,8,40
1234,85,512,23.18,0.3,-0.1,533250,0.3,0.35,317250,115,13500,10.65,10.95,13500,0.95,11,31.6,279,-188,1317
212,36,78,23.69,0.25,-0.1,33750,0.25,0.3,33750,116,6750,11.75,11.9,6750,1.35,11.95,32.91,81,-62,234
81,5,20,25.18,0.25,-0.05,67500,0.2,0.25,13500,117,27000,12.35,13.2,27000,-,10.65,-,-,-,33
59,7,22,25.37,0.2,-0.1,13500,0.2,0.25,60750,118,27000,13.3,14.25,33750,-,-,-,-,-,-
30,5,9,25.26,0.15,-0.05,27000,0.15,0.2,20250,119,27000,14.2,15.25,60750,-,-,-,-,-,-
918,19,184,26.57,0.15,-0.05,128250,0.15,0.2,911250,120,6750,15.55,15.8,6750,0.4,14.85,-,38,-1,154
-,-,-,-,-,-,40500,0.1,0.2,121500,121,27000,16.1,17.15,27000,-,-,-,-,-,-
18,-,-,-,0.15,-,47250,0.1,0.15,20250,122,27000,17.2,18.1,27000,-,13.85,-,-,-,3
11,11,11,28.29,0.1,-2.2,472500,0.05,0.15,101250,123,27000,18.2,19.1,27000,-,-,-,-,-,-
45,1,6,29.46,0.1,-,985500,0.05,0.15,222750,124,27000,19.05,20.15,33750,-,17.7,-,-,-,8
9,-,-,-,0.1,-,67500,0.05,0.1,148500,126,13500,21.05,22.05,60750,-,19.6,-,-,-,5
8,-,-,-,0.1,-,141750,0.05,0.1,121500,128,27000,23,24.05,27000,-,22.2,-,-,-,11
