CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,950,228.65,242.05,2375,1200,475,2.1,2.7,475,-8.5,2.65,36.6,129,101,101
-,-,-,-,-,-,1900,189.2,207.2,1900,1240,475,1.3,5.8,475,-,-,-,-,-,-
-,-,-,-,-,-,950,154.3,170.5,950,1280,475,6.7,7.25,475,0.95,7.1,32.9,421,92,303
4,4,5,21.91,141.95,-92.85,950,139.3,148.5,475,1300,475,9.1,9.55,475,-31.4,9.4,32.41,240,118,118
12,8,14,26.88,127.45,-22.8,1425,119.8,128.8,475,1320,475,12.05,13,475,2.85,13.2,32.77,326,75,244
3,3,5,28.45,112.65,-94.5,475,110.4,118.45,1425,1340,475,15.9,19.95,475,3,16.2,31.67,299,86,270
11,3,3,25.98,94.3,-23.65,475,95.5,101.9,475,1360,950,20.75,21,475,3.5,20.8,31.29,1132,18,385
-,-,-,-,-,-,950,74.15,86.9,2375,1380,475,24,27.15,475,5.25,27.55,31.71,276,32,122
128,80,254,27.63,69.15,-16.35,475,69.25,70.8,475,1400,950,33.15,34.45,475,5.55,33.75,31.02,2137,-63,866
79,79,202,27.65,57.5,-100.9,950,57.2,58.75,475,1420,475,41.7,42.45,475,7.15,42.1,30.98,1184,10,137
276,202,1134,27.79,47.4,-13.9,950,47.1,47.95,475,1440,475,51.15,51.95,475,8.35,51.8,31.04,1335,50,177
318,177,1164,27.76,38.35,-12.65,475,37.9,39,950,1460,475,61.95,64.7,475,9.45,62.45,30.94,855,-66,366
321,125,1068,27.92,30.9,-11.1,475,30.65,31.3,475,1480,475,73.9,78.35,475,12.1,75.5,31.61,138,10,235
1147,257,2201,27.86,24.3,-9.7,475,23.95,24.8,950,1500,475,86.45,88.2,475,13.1,88,31.28,371,39,947
349,83,537,28.03,19.15,-7.95,475,18.8,19.6,475,1520,950,98.35,103.4,475,17.9,105.45,33.57,41,14,201
514,71,649,28.25,15,-6.75,475,14.6,15.5,475,1540,2375,110.5,123.55,475,17.35,119,32.72,95,6,311
538,183,772,28.46,11.65,-5.8,950,11.35,11.95,475,1560,1425,129.2,138.7,475,18.2,135.9,33.73,84,25,189
526,165,490,28.99,9.3,-4.4,475,9,9.45,475,1580,475,149.45,156.2,475,18.7,152.95,34.44,42,34,126
2314,375,1922,29.14,7.1,-3.6,5225,7,7.2,475,1600,475,168.95,174.7,475,19.45,169.65,34.4,255,51,1228
367,3,217,29.19,5.3,-2.85,475,5.2,5.75,950,1620,950,182.45,197.3,950,-,142.3,-,-,-,6
393,-22,428,29.87,4.3,-2,950,4.25,4.3,475,1640,1425,201.45,209,475,16,199.25,25.56,6,2,46
-,-,-,-,-,-,9500,1.1,5,475,1660,1900,218.45,235.6,950,-,190,-,-,-,6
309,12,185,30.83,2.7,-1.05,950,2.7,2.85,475,1680,1425,239.1,253.8,950,-,214.5,-,-,-,7
1019,181,372,31.72,2.3,-1.1,1900,2.3,2.4,1425,1700,475,260.05,268.85,475,24.8,268,45.79,52,-31,259
-,-,-,-,-,-,950,1.1,7.4,475,1720,950,276.15,299.65,950,-,248,-,-,-,2
-,-,-,-,-,-,1425,0.55,2.2,475,1740,950,296.1,312.35,1900,-,275,-,-,-,11
94,80,93,34,1.4,-0.95,950,1.35,1.5,475,1760,950,315.2,331.45,1900,-,293.5,-,-,-,4
511,35,276,36.04,1.15,-0.5,950,1.1,1.2,1900,1800,475,357.45,367.15,475,27.5,360.5,46.09,1,1,194
-,-,-,-,-,-,475,1.05,1.5,950,1840,950,394.7,410.8,1900,-,351,-,-,-,32
