CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,1700,135.65,141.7,3400,560,5100,0.6,0.75,1700,-1.15,0.7,38.78,5,4,4
-,-,-,-,-,-,1700,116.65,123.1,1700,580,5100,0.8,1.1,850,-1.35,1.15,36.64,1,1,2
-,-,-,-,-,-,3400,106.3,113.2,3400,590,5950,0.9,2.05,850,-,3,-,-,-,2
2,1,1,24.28,99.5,32.5,850,99.35,100.85,850,600,10200,1.55,1.65,1700,-1.65,1.55,33.09,475,85,226
2,2,3,-,70,-10.8,850,89.1,93.75,850,610,850,1.85,2.05,850,-2.4,1.9,31.64,222,46,67
6,6,11,30.03,81.7,-17.4,850,80.8,82,850,620,4250,2.6,2.7,1700,-3.7,2.6,31.03,495,84,147
-,-,-,-,-,-,7650,69.45,75.65,1700,630,850,3.5,3.6,850,-4.65,3.55,30.49,510,74,136
7,7,10,-,59.45,-28,850,62.8,64.3,850,640,1700,4.75,4.85,1700,-6.5,4.75,29.87,969,186,415
78,49,341,26.88,54.7,22.7,850,55.3,56.2,850,650,850,6.25,6.55,850,-8.05,6.55,29.74,1016,137,224
63,-2,510,28.91,48.15,22.05,850,47,48.4,850,660,1700,8.65,8.85,2550,-10.35,8.65,29.33,1207,84,165
202,44,2489,28.63,40.9,19.8,850,39.95,41.15,850,670,2550,11.45,11.7,850,-12.85,11.6,29.41,2238,210,334
700,115,9860,29.03,34.75,17.75,850,34.55,34.65,850,680,850,14.95,15.2,850,-14.9,14.9,29.14,4113,284,891
341,243,7327,29.07,29,15.8,1700,28.9,28.95,850,690,850,19.2,19.55,850,-41.4,19.1,29.22,2069,293,293
1497,1024,16569,29.04,23.85,13.5,850,23.8,24,1700,700,850,24.05,24.45,850,-18.85,24.05,29.42,2225,419,680
350,320,3479,29.31,19.6,11.7,1700,19.4,19.75,2550,710,850,29.45,30.2,850,-42.4,30.65,30.84,78,23,23
468,296,4912,29.68,16.05,9.95,4250,15.7,16,2550,720,850,35.8,36.4,850,-48.35,36.05,30.04,47,15,15
197,174,1727,29.57,12.7,8.25,1700,12.55,12.8,850,730,2550,41.1,46.4,1700,-,-,-,-,-,-
229,212,1761,29.96,10.25,6.55,2550,9.95,10.15,850,740,850,49.8,50.8,850,-10,52,33.09,23,8,10
514,415,3663,29.98,8,5.45,2550,7.9,8,1700,750,850,57.45,58.2,850,-25,60,33.9,31,-4,18
240,240,707,30.24,6.3,-31.3,1700,6.2,6.3,1700,760,3400,62.95,69.55,3400,-,-,-,-,-,-
52,52,85,30.12,4.75,-11.7,850,4.9,5.05,850,770,3400,71.5,78.05,3400,-,-,-,-,-,-
586,486,2733,31.12,4,2.7,2550,3.9,4,5950,780,850,83.05,84.35,850,-30.95,83.4,31.59,19,15,35
42,42,104,31.07,3,-10,850,2.95,3.1,850,790,3400,89.6,96.1,3400,-40.3,93,33.36,3,3,3
