CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,2500,222.35,237.35,1250,1200,625,0.65,1.6,625,-0.7,1.4,32.1,72,57,71
-,-,-,-,-,-,3125,183.85,200.5,2500,1240,5000,0.65,4.5,1875,-,-,-,-,-,-
-,-,-,-,-,-,2500,163.7,180.9,2500,1260,5000,0.75,5,625,-,-,-,-,-,-
-,-,-,-,-,-,1875,147.25,161.95,2500,1280,625,4.6,4.9,625,-0.2,4.8,28.99,46,19,25
1,-,-,-,223,-,1250,129.35,143.95,2500,1300,625,6.45,6.6,625,0.05,6.55,28.36,220,62,151
3,-,-,-,213.35,-,625,111.9,122.7,1875,1320,625,8.75,9.1,625,0.85,8.9,27.79,90,31,81
-,-,-,-,-,-,4375,94,106.3,1250,1340,625,11.85,12.3,625,1,12,27.26,206,94,146
22,10,10,20.79,84.35,-42.95,1250,79.75,85,625,1360,625,16,16.5,625,1.8,16.2,26.92,190,20,122
6,6,13,21,69.4,-66.1,625,67.95,74.3,625,1380,625,21.45,22.15,625,2.7,21.7,26.74,234,48,99
49,33,88,21.6,56.65,-15.95,625,56.55,57.5,625,1400,2500,28.35,29.25,625,4.45,29.1,26.98,635,34,379
46,36,124,21.89,45.2,-13.8,625,45.2,48.15,625,1420,625,36.55,37.6,625,4.8,37.6,27.03,519,-9,171
207,170,722,22.32,35.75,-12.45,625,35.45,36.4,625,1440,625,44,47.75,625,7,47.45,27.06,413,68,110
159,68,614,22.52,27.55,-11.2,625,27.35,28.35,625,1460,625,58.45,60,625,8.2,59.15,27.39,215,18,181
304,197,713,22.66,20.8,-10.25,1875,20.8,21.1,625,1480,625,68,73.2,625,11.9,72.85,28.17,46,-9,71
482,136,864,22.96,15.65,-8.45,625,15.45,15.9,625,1500,1250,81.6,90.6,1250,11.45,87.05,28.58,242,141,504
72,50,126,23.23,11.6,-6.85,625,11.45,12,625,1520,625,101.6,104.7,625,18.8,102.85,29.44,8,2,33
305,2,397,23.73,8.75,-5.5,625,8.45,8.9,625,1540,1875,117.7,120.6,625,13.75,118.65,29.72,8,-,132
163,87,314,23.92,6.3,-4.45,625,6.2,6.5,1250,1560,625,136.25,139.25,625,17.25,137.25,31.77,12,6,26
15,15,24,24.6,4.85,-44.55,625,4.6,4.9,625,1580,2500,149.9,159.9,2500,-,130,-,-,-,1
153,-13,448,25.04,3.6,-2.7,625,3.6,3.7,1250,1600,1250,169.55,174.95,625,17.95,174.55,35.25,4,2,37
18,17,22,25.53,2.7,-2.8,625,2.7,2.85,625,1620,2500,183.4,198.4,3125,-34.6,165,-,8,8,8
-,-,-,-,-,-,625,0.3,6.65,625,1640,2500,202.7,220.2,2500,-,185.1,-,-,-,7
6,-,-,-,3.2,-,625,1.35,2.9,1875,1660,1250,222.7,238.95,3125,-,-,-,-,-,-
103,28,47,28.34,1.55,-0.5,625,1.25,1.9,625,1680,1250,242.2,256.55,2500,-,159,-,-,-,2
92,-,4,32.1,1.65,0.25,1875,0.9,1.6,625,1720,1250,281.5,295.9,2500,-,251.05,-,-,-,6
-,-,-,-,-,-,2500,0.2,2.45,18750,1760,1250,320.9,335.95,2500,-,-,-,-,-,-
