CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,1875,346.55,364.4,750,1240,375,0.15,1.2,375,-,-,-,-,-,-
-,-,-,-,-,-,1500,307.75,325.35,750,1280,375,0.25,2.45,375,-,0.85,-,-,-,2
-,-,-,-,-,-,1500,268.3,285,750,1320,375,0.25,1.5,750,-,-,-,-,-,-
-,-,-,-,-,-,1500,248.5,265.2,1500,1340,3750,0.3,5.2,375,-,1.25,-,-,-,2
-,-,-,-,-,-,1500,228.95,246.1,750,1360,3750,0.6,4.7,375,-,2.15,-,-,-,1
-,-,-,-,-,-,1500,209.85,225.2,750,1380,1875,1,2.65,375,-,2,-,-,-,4
-,-,-,-,-,-,2625,188.75,200.65,1875,1400,750,1.15,1.35,750,-0.9,1.3,24.32,546,311,404
-,-,-,-,-,-,1500,169.25,186.85,1500,1420,375,1.5,2,1125,-1,1.55,22.87,1,1,1
1,-,-,-,155,-,375,150.7,164.95,750,1440,750,2.5,2.8,375,-1.1,2.65,23.02,143,51,104
1,-,-,-,125.15,-,1875,132.75,148.2,1500,1460,375,3.6,3.8,750,-1.55,3.7,22.3,144,-4,135
-,-,-,-,-,-,1125,113.75,125.85,1125,1480,375,5.25,5.45,375,-2.25,5.25,21.71,238,-46,140
72,3,17,18.59,105,8.3,375,97.3,106.1,375,1500,2250,6.3,7.65,2250,-4,6.25,20.01,581,136,485
39,-,-,-,82.9,-,375,80.35,91,375,1520,375,10.35,10.9,375,-3.4,10.75,20.91,144,63,157
50,14,34,16.67,69.9,3.9,375,64.75,70.25,375,1540,375,14.7,15.25,375,-4.55,15.15,20.65,274,75,292
122,31,235,17.03,55.9,2.65,375,51.65,56.1,750,1560,750,20.4,21.1,375,-6,20.65,20.27,505,39,198
327,38,960,16.87,42.9,0.9,375,42.3,43.85,375,1580,375,28.05,28.65,375,-6.8,28.3,20.29,1126,101,281
926,132,1868,17.35,33,0.45,375,32.6,33.35,375,1600,375,35.7,38.3,1125,-7.75,37.65,20.35,675,210,457
352,101,515,17.54,24.5,-,375,23.85,24.75,375,1620,375,48.45,55.05,375,-9.1,48.4,20.28,55,18,49
418,69,447,17.45,17.3,-0.95,375,17.2,17.7,375,1640,375,59.45,66.25,375,-8.1,62.5,21.21,52,36,96
297,123,455,17.61,12.15,-1.25,375,12.2,12.55,375,1660,375,76.1,81,375,-9.35,76.3,21.22,38,24,67
206,86,219,17.97,8.6,-1.15,375,8.5,8.85,375,1680,750,86.55,97.7,375,0.4,102.8,-,-,-,16
362,109,415,18.31,6,-0.95,375,6,6.25,375,1700,375,106.95,110.85,375,-7.9,111.2,24.1,35,23,32
264,134,308,18.65,4.15,-0.75,375,4.05,4.2,375,1720,750,117.95,134.65,1500,-,-,-,-,-,-
134,65,221,19,2.85,-0.6,750,2.7,2.85,750,1740,1500,136.3,153.1,1500,-,-,-,-,-,-
213,161,262,19.54,2.05,-0.65,375,1.8,2.05,375,1760,1500,155.2,172,1500,-,-,-,-,-,-
306,211,436,20.36,1,-1,375,0.95,1.05,8625,1800,1875,200.05,210.65,1875,-,207,-,-,-,14
2,-,-,-,2,-,8250,0.25,0.8,375,1840,750,235.5,250.6,1500,-,-,-,-,-,-
