CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,2700,65.3,68.4,5400,310,97200,0.1,0.2,10800,-0.15,0.15,30.5,119,-54,84
2,-,-,-,57,-,2700,55.05,58.95,2700,320,25650,0.15,0.25,526500,-0.05,0.2,27.32,77,17,118
7,-,-,-,47.2,-,12150,45.2,48.8,2700,330,16200,0.15,0.3,5400,-,0.4,-,-,-,38
-,-,-,-,-,-,5400,40.55,44.45,2700,335,27000,0.2,0.75,1350,-,-,-,-,-,-
108,4,9,-,37.1,0.65,1350,36.45,37.45,1350,340,8100,0.35,0.45,18900,-0.2,0.4,21.04,253,206,354
7,7,14,-,32.4,-8.4,1350,31.45,34.2,5400,345,2700,0.5,0.6,1350,-0.2,0.55,19.94,19,17,19
97,21,51,13.48,28,0.65,1350,27.05,27.75,2700,350,13500,0.7,0.8,9450,-0.3,0.75,18.76,273,-42,529
41,14,35,13.04,23.2,0.45,1350,22.4,23.05,1350,355,1350,1.1,1.2,2700,-0.3,1.15,18.12,132,30,167
67,-11,52,13.16,18.65,-0.1,1350,18,18.7,2700,360,1350,1.65,1.7,1350,-0.35,1.65,17.15,402,-22,1039
100,10,57,14.12,14.7,0.4,1350,14,14.6,1350,365,1350,2.6,2.65,2700,-0.35,2.65,17.01,606,53,595
508,8,734,14.09,11,0.2,16200,10.8,11.05,2700,370,9450,3.95,4.1,5400,-0.55,4.05,16.85,1550,157,1401
837,40,1382,14.28,7.95,-,1350,7.85,8,2700,375,2700,5.95,6.05,1350,-0.55,6,16.87,1245,132,1145
1598,107,3101,14.64,5.6,-,5400,5.5,5.65,4050,380,1350,8.45,9,2700,-0.7,8.55,17.06,1240,67,1241
958,99,1214,14.93,3.8,0.05,2700,3.75,3.8,4050,385,1350,11.5,12.85,4050,-0.95,11.5,17,407,13,510
1319,60,1130,15.21,2.5,0.05,8100,2.45,2.55,10800,390,1350,15.05,15.45,1350,-1.05,15.1,17.41,164,9,1128
458,45,262,15.84,1.7,0.05,2700,1.65,1.7,5400,395,1350,19.25,20.8,2700,-0.9,19.2,18.25,39,5,158
1739,123,1314,16.65,1.2,0.05,106650,1.1,1.2,29700,400,1350,23.7,24.6,2700,-0.95,23.65,19.49,81,15,789
259,71,249,16.88,0.75,-,4050,0.75,0.8,5400,405,1350,28.35,29.25,2700,-1,28.25,20.79,54,35,76
455,43,168,17.77,0.55,-,5400,0.5,0.6,2700,410,2700,31.2,34.95,2700,-0.55,33.65,-,-,-,78
195,154,198,17.58,0.3,-0.3,2700,0.3,0.4,1350,415,1350,37.85,38.8,2700,-0.5,37.8,23.9,22,11,55
330,4,240,19.39,0.3,-0.1,2700,0.3,0.35,9450,420,2700,41.35,44.5,2700,-0.2,43.55,-,-,-,260
5,1,4,19.79,0.2,-0.8,54000,0.1,0.4,1350,425,2700,45.85,49.6,5400,-,47.5,-,-,-,5
158,12,31,21.43,0.2,-0.1,4050,0.2,0.25,18900,430,2700,50.65,54.35,5400,-,52.8,-,-,-,43
5,-,-,-,0.15,-,2700,0.1,0.25,6750,440,2700,60.8,64.2,5400,-,63.45,-,-,-,121
1181,-,41,25.16,0.1,-,951750,0.05,0.1,864000,450,16200,70.4,73.95,5400,-,73.5,-,-,-,1597
