CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
1,-,-,-,470,-,750,407.25,423.15,1500,1320,9000,0.4,1.75,1500,-,-,-,-,-,-
-,-,-,-,-,-,750,367.7,389.8,3750,1360,9000,0.4,7,375,-,-,-,-,-,-
-,-,-,-,-,-,750,348.9,372.75,750,1380,9000,0.4,8,375,-,-,-,-,-,-
12,-,-,-,347.7,-,750,329.15,345.95,1500,1400,750,1.65,1.9,1125,-0.15,2,38.9,9,-2,25
-,-,-,-,-,-,750,309.9,334.75,750,1420,375,1.15,10.2,11250,-,-,-,-,-,-
-,-,-,-,-,-,750,289.7,314.75,750,1440,9000,1.1,9.95,375,-,-,-,-,-,-
-,-,-,-,-,-,750,270.95,290.1,750,1460,375,2.75,3.75,375,-1.5,3,35.01,2,2,23
-,-,-,-,-,-,1875,250.55,276.6,1500,1480,375,1.3,11,375,-,-,-,-,-,-
2,-,-,-,268,-,1875,234.9,246,1875,1500,375,4.35,4.6,375,-1.15,4.4,33.14,224,46,208
3,-,-,-,162.5,-,1500,212.95,233.95,3750,1520,375,4.85,8.1,375,-2,5,31.71,7,1,35
-,-,-,-,-,-,1500,195.25,210.25,1500,1540,375,6.6,7.5,375,-1.75,6.25,31,50,30,48
1,-,-,-,204.45,-,1500,177.3,192.15,1500,1560,375,8.55,8.95,375,-1.05,8.8,31.36,78,40,143
-,-,-,-,-,-,1500,159.75,174.15,1500,1580,11250,8.5,11.4,375,-38.05,10.1,29.96,60,52,52
35,-,8,31.45,155.2,-8,375,149.1,151.95,375,1600,11250,11.1,14.05,375,-1.2,13.7,30.24,208,12,318
-,-,-,-,-,-,1500,126.1,140.3,1125,1620,375,14.3,17.7,375,-1.15,17.85,30.33,52,19,86
8,-,-,-,136.25,-,375,110.95,124.6,375,1640,375,18.15,22.05,375,-0.9,22.1,29.94,74,-12,117
11,-1,1,31.51,111,-5.55,375,103.6,105.55,375,1660,375,26.65,27.3,375,-0.6,27.6,29.83,181,24,127
19,2,6,27.76,91.1,-5.25,375,89.35,91.45,375,1680,375,29.5,33.7,750,-1.15,33.3,29.33,182,7,112
275,49,271,27.35,77.9,-6.2,375,77.85,79.95,375,1700,375,40.25,40.95,375,-0.9,41.1,29.44,818,27,425
95,14,84,27.58,67,-5.35,375,64.05,67.95,375,1720,375,49.2,49.85,375,-1.1,49.25,29.21,232,11,107
222,54,691,27.56,56.75,-5.5,375,56.75,57.5,375,1740,750,58.5,59.55,750,0.45,59.55,29.52,313,39,186
486,74,896,27.51,47.55,-5.4,375,47.55,48.45,375,1760,375,68.85,72.85,750,0.85,70.45,29.61,287,47,267
443,33,430,27.57,39.65,-4.95,375,40.05,40.65,375,1780,5625,75.85,83.6,375,0.95,82.3,29.67,36,6,138
939,99,810,28.14,33.75,-4.15,375,33.15,33.7,375,1800,375,94.25,95.9,375,3.8,98.25,31.36,48,11,233
300,17,269,28.15,27.7,-4,375,27.7,27.9,375,1820,2625,103.15,115.15,375,-0.35,108.35,-,-,-,30
105,31,273,28.27,22.7,-3.45,375,21.05,23.1,375,1840,1875,118,131.15,1125,-0.15,123.05,-,-,-,17
158,19,255,28.43,18.55,-3.45,750,18,18.75,375,1860,375,134.65,145.55,375,-,138.4,-,-,-,39
-,-,-,-,-,-,1500,7.6,19.25,375,1880,1500,144,167.6,1500,-,147.3,-,-,-,7
592,62,431,28.89,12.35,-2.7,4125,12.25,12.45,375,1900,375,170.45,175.15,375,2.95,166.05,25.76,7,4,48
-,-,-,-,-,-,375,3,13.3,375,1920,1500,182.4,206.8,1500,-,190,-,-,-,6
96,96,123,29.4,8.15,-54.15,375,6.65,8.65,375,1940,1500,202.45,217.3,1500,-,207,-,-,-,1
156,10,88,29.88,6.8,-1.95,11250,5.25,7.3,375,1960,1500,220.05,235.75,1500,-,221.7,-,-,-,7
186,-7,222,30.69,4.65,-1.65,750,4.55,4.75,375,2000,1875,258.45,273.4,1875,-,262,-,-,-,18
385,-24,483,31.69,3.3,-1.55,375,3.2,3.3,11625,2040,750,296.2,311.65,1500,-,290.05,-,-,-,5
