CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,450,534.55,559.75,900,1800,1350,0.4,1.35,225,-,-,-,-,-,-
-,-,-,-,-,-,450,494,520.35,900,1840,1350,0.6,1.7,225,-3.7,1,36.94,20,20,20
-,-,-,-,-,-,450,456.2,478.5,900,1880,1350,0.8,2.05,450,-,-,-,-,-,-
-,-,-,-,-,-,450,417,440.55,900,1920,1350,1,2.25,450,-,-,-,-,-,-
-,-,-,-,-,-,450,395.9,425.5,450,1940,1350,1.15,10.05,9000,-,-,-,-,-,-
-,-,-,-,-,-,450,376.6,404.4,225,1960,1350,1.3,10.85,9000,-,-,-,-,-,-
-,-,-,-,-,-,450,357.35,384.7,225,1980,1350,1.45,11.15,225,-,-,-,-,-,-
-,-,-,-,-,-,450,337.5,362.65,450,2000,225,2.35,2.7,450,-0.5,2.3,29.27,328,87,171
-,-,-,-,-,-,450,318.15,345.4,225,2020,225,2,10.2,225,-,-,-,-,-,-
-,-,-,-,-,-,450,298.15,322.25,450,2040,675,2.3,3.25,225,-,-,-,-,-,-
-,-,-,-,-,-,450,278.8,303.9,450,2060,225,2.75,4.35,225,-0.95,3.75,27.14,3,1,19
-,-,-,-,-,-,1125,259.35,285.05,450,2080,1575,3.2,4.4,225,-2.25,3.5,25.15,52,34,65
15,-5,5,28.61,255,70.7,225,248.9,254.65,225,2100,450,4.6,4.85,225,-2.05,4.8,25.22,525,72,248
4,-,-,-,173.25,-,1125,220.25,246.8,900,2120,225,5.3,5.75,450,-3.2,5.6,24.4,156,5,94
-,-,-,-,-,-,900,202.7,228.05,450,2140,225,6.65,7,225,-4.55,6.9,23.9,192,21,112
-,-,-,-,-,-,900,184.4,209.45,450,2160,450,7.9,8.65,225,-7.35,8.1,23.1,450,-32,233
14,7,9,24.71,180.75,65.2,225,174.3,184.8,225,2180,675,9.7,10.2,225,-9.8,10.05,22.66,164,23,162
139,-,191,21.12,158.5,57.55,225,159.9,163.75,225,2200,225,12.1,12.7,225,-12.85,12.9,22.51,1473,198,511
23,5,33,23.86,147.2,57.4,450,141.1,154.25,450,2220,225,15.1,16.2,225,-15.1,16.15,22.24,200,33,97
33,11,52,24.02,132.5,57.5,450,126,133.05,225,2240,225,18.85,20,225,-19.2,20.15,22.02,369,63,115
56,-20,153,19.89,109,43.55,225,111.6,115.75,225,2260,225,23.7,24.6,225,-23.2,25.1,21.89,1080,43,222
73,-18,289,20.34,96,40.25,225,98.4,101.35,225,2280,225,29.35,30.35,225,-27.2,31.05,21.81,843,64,192
962,-182,6228,21.85,86.95,39.55,225,86.25,87.55,225,2300,225,36.1,36.95,225,-33.4,36.25,21.07,4486,292,962
289,-8,3581,21.65,74.7,35.05,225,74,74.95,225,2320,225,43.75,44.8,225,-38.8,44.15,21.01,1688,100,295
516,307,7986,21.6,63.9,31.4,225,63.05,64.3,225,2340,225,53,54,225,-42.85,52.95,20.89,2249,177,320
695,365,7554,21.49,54,26.85,225,53.5,54.6,225,2360,225,62.7,64.35,225,-44.75,65,21.56,735,74,142
211,110,2071,21.41,45.2,23.4,450,45.1,46.15,225,2380,225,73.75,76.1,225,-47.4,78,22.21,102,6,44
1168,298,10063,21.69,38.4,20.05,225,37.7,38.45,225,2400,225,86.5,88.4,225,-51.55,87,20.99,672,-2,404
190,95,1234,21.52,31.35,15.9,225,31.7,32.5,225,2420,225,99.2,103.25,225,-95.7,104.7,22.74,8,7,7
222,133,853,21.76,26.25,13.7,225,26.5,27.1,225,2440,225,112.35,118.5,225,-51.9,118.75,22.78,13,9,10
171,132,780,21.81,21.45,11.05,225,21.95,22.7,225,2460,225,124.3,143.65,1125,-,-,-,-,-,-
88,80,263,22.36,18.4,9.4,675,17.75,18.9,225,2480,450,135.05,159.75,450,-4.95,175.65,34.45,1,1,1
779,198,4406,22.62,15.3,7.75,225,15.25,15.75,225,2500,450,161.75,166,225,-60.8,168.35,24.45,96,-,178
55,51,149,22.92,12.75,7.8,225,12.55,13.5,225,2520,450,171.3,193.8,450,-,249.05,-,-,-,21
97,94,228,23.27,10.7,6.45,225,10.45,11.3,225,2540,450,187.3,211.9,900,-,-,-,-,-,-
51,43,236,23.6,8.95,3.15,225,8.6,9.5,225,2560,450,206.5,230.1,450,-,190,-,-,-,3
27,27,62,24.23,7.85,-12,225,7.1,8.2,225,2580,450,224.8,248.5,450,-,-,-,-,-,-
586,365,2140,24.61,6.65,3,225,6.75,7,2475,2600,900,243.75,267.05,450,-,311,-,-,-,60
16,16,25,25.02,4.5,-60.65,225,3.65,5.85,225,2640,450,281.15,306.1,1125,-,-,-,-,-,-
18,18,26,26.71,3.9,-51.9,225,3,4.45,225,2680,900,318.55,343.75,450,-,370,-,-,-,6
112,96,372,25.77,2,1.3,225,1.85,2.1,450,2720,450,358.2,383.35,450,-3,438,-,-,-,31
