CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,5000,106.9,111.4,5000,420,1250,0.2,0.7,2500,-,-,-,-,-,-
-,-,-,-,-,-,5000,87.3,92.4,5000,440,1250,0.35,0.85,1250,-0.3,0.6,34.35,1,1,23
2,2,2,33.58,72.5,-77.2,6250,67.65,72.45,5000,460,1250,1,1.1,1250,0.2,1.15,31.25,98,64,75
-,-,-,-,-,-,8750,58.05,63,3750,470,1250,0.8,2.2,1250,-,1.95,-,-,-,8
-,-,-,-,-,-,2500,49,53.15,3750,480,1250,2.2,2.25,3750,-0.3,2.2,28.05,84,12,91
-,-,-,-,-,-,8750,40,44.05,3750,490,1250,3.2,3.3,2500,-0.3,3.25,26.99,79,4,94
65,8,32,22.07,34.4,-1.6,1250,33.85,34.6,1250,500,1250,4.7,4.8,3750,-0.3,4.7,25.84,116,20,226
16,10,34,21.99,26.7,-1.1,1250,26.3,26.85,1250,510,1250,6.8,7.15,1250,0.05,7.05,25.32,58,19,141
67,13,113,21.7,19.85,-1.4,1250,19.7,20.1,1250,520,1250,10,10.3,1250,0.1,10.1,24.59,121,15,196
357,104,685,21.52,14.15,-1.35,2500,14.15,14.4,1250,530,1250,14.35,14.7,2500,0.55,14.6,24.71,327,60,327
394,94,559,21.66,9.8,-0.9,1250,9.7,10,1250,540,1250,19.8,20.35,1250,0.4,19.9,24.46,104,25,290
551,79,483,21.82,6.55,-0.55,2500,6.5,6.65,1250,550,1250,26.45,27.6,2500,1.45,27.25,26.09,65,1,296
457,107,542,22.15,4.3,-0.4,3750,4.25,4.4,2500,560,1250,34,34.6,1250,1,34.3,25.83,22,9,158
241,57,229,22.48,2.75,-0.2,3750,2.7,2.8,2500,570,1250,42.4,43,1250,1.7,42.75,27.07,16,7,63
511,82,269,23.09,1.8,-0.05,1250,1.7,1.8,1250,580,1250,51.35,52.05,1250,1.85,51.7,28.6,7,3,200
119,21,51,23.35,1.1,-0.2,1250,1.15,1.25,1250,590,2500,58.8,63.5,1250,-0.75,58.2,-,-,-,18
598,120,397,25.1,0.9,-0.1,5000,0.85,0.95,8750,600,1250,70.15,70.95,1250,2.4,70.6,32.72,51,17,363
27,-,-,-,0.8,-,5000,0.3,0.9,2500,610,1250,78.1,82.8,5000,-,-,-,-,-,-
30,-,-,-,0.4,-,1250,0.4,0.6,3750,620,1250,88.45,90.35,1250,4,91,40.84,1,1,111
24,-,-,-,0.35,-,1250,0.25,0.4,1250,630,1250,98.2,100.4,1250,3,100,40.39,2,2,4
31,-,-,-,0.15,-,30000,0.1,0.5,3750,640,5000,107.5,112.2,5000,-,107.4,-,-,-,101
167,-,-,-,0.15,-,6250,0.15,0.2,30000,660,5000,127.25,132.1,5000,-,128,-,-,-,212
18,-,-,-,0.1,-,80000,0.05,0.45,3750,680,5000,147.15,151.85,5000,-,148,-,-,-,41
