CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,7200,60.05,64.55,3600,270,1800,0.15,1.4,18000,-,-,-,-,-,-
-,-,-,-,-,-,7200,50.5,54.55,3600,280,1800,0.25,1.35,1800,-,-,-,-,-,-
-,-,-,-,-,-,7200,45.5,48.55,1800,285,1800,0.5,0.6,1800,-0.45,0.5,30.77,18,12,39
-,-,-,-,-,-,7200,40.5,44.2,7200,290,3600,0.4,0.95,1800,-,1.1,-,-,-,2
-,-,-,-,-,-,9000,35.95,40.5,18000,295,1800,0.25,1.65,1800,-,-,-,-,-,-
9,2,7,24.22,33.4,6.4,1800,32.55,33.15,1800,300,3600,1.15,1.25,3600,-0.85,1.2,27.43,183,27,376
3,3,5,21.93,28.55,-1.85,1800,28.05,28.5,1800,305,1800,1.55,1.65,3600,-1.15,1.6,26.29,52,-8,41
12,-5,32,21.06,24,5.7,1800,23.75,24.2,1800,310,1800,2.2,2.3,7200,-1.55,2.2,25.43,206,8,125
25,14,30,21.83,20.05,4.75,1800,19.75,20.15,1800,315,3600,3.05,3.15,3600,-1.95,3.05,24.75,81,19,50
162,-17,214,21.7,16.25,4.15,1800,15.95,16.25,1800,320,9000,4.3,4.4,1800,-2.4,4.35,24.62,363,24,225
63,-8,238,21.04,12.65,3.3,1800,12.7,12.95,1800,325,1800,5.85,6.05,1800,-3.2,6,24.47,180,32,52
341,84,1692,21.78,10,3.05,1800,9.85,10,3600,330,1800,7.95,8.05,1800,-3.45,8.1,24.46,589,77,177
101,78,521,21.55,7.45,2.25,3600,7.45,7.6,1800,335,1800,10.5,10.7,1800,-3.95,10.65,24.56,140,31,46
208,19,995,21.82,5.55,1.85,3600,5.5,5.65,3600,340,3600,13.55,13.75,1800,-4.4,13.5,24.39,98,-7,48
50,49,175,22.21,4.1,1.1,3600,4,4.1,1800,345,1800,16.95,17.25,1800,-12.7,17,24.97,29,8,8
318,147,845,22.8,3.05,1.15,3600,2.95,3.1,3600,350,1800,20.75,21.1,1800,-3.6,20.8,25.53,34,10,109
8,8,13,22.38,2,-6.35,1800,2.1,2.25,1800,355,1800,24.95,25.25,1800,-11.8,24.95,26.43,3,2,2
121,79,234,23.42,1.55,0.55,1800,1.55,1.6,1800,360,1800,29.2,29.7,1800,-3.7,29.3,27.41,19,2,28
21,21,32,24.09,1.15,-5,5400,1.05,1.2,3600,365,3600,32.3,35.2,16200,-,39.35,-,-,-,2
22,7,37,24.71,0.85,0.15,3600,0.8,0.9,3600,370,1800,38.05,38.85,1800,-4.65,38.4,29.51,23,6,25
50,39,91,25.72,0.45,0.15,9000,0.4,0.55,3600,380,1800,47.15,48.4,1800,-6.4,48,32.8,6,-1,39
