CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
1,-,-,-,715,-,400,721.65,765.45,400,3100,200,0.25,5.95,200,-,-,-,-,-,-
-,-,-,-,-,-,400,624.75,667.6,400,3200,1000,1,9.05,2000,-,-,-,-,-,-
-,-,-,-,-,-,400,573.55,618.6,400,3250,800,1,9,200,-,-,-,-,-,-
20,14,31,-,540,12,200,539.6,564.2,600,3300,200,2.7,6.2,200,-2,4,29.1,74,58,62
-,-,-,-,-,-,800,476.35,519.35,800,3350,800,3,13.4,1000,-,-,-,-,-,-
1,-,-,-,460,-,1000,430.55,468.65,400,3400,200,6.75,9.8,200,-1.5,8.5,28.49,29,13,15
-,-,-,-,-,-,800,381.5,423.6,800,3450,2000,7,16.5,200,-,-,-,-,-,-
64,25,56,-,352.8,11,200,355,371.9,400,3500,400,12.55,15.55,200,-2.6,15.5,27.23,152,-9,163
1,-,-,-,295.8,-,600,293,343.45,800,3550,4000,17.05,41.15,1000,-,-,-,-,-,-
14,-,-,-,260,-,1400,253.45,280.5,600,3600,200,28.05,29.1,200,-1.95,29.4,26.67,151,72,105
-,-,-,-,-,-,600,212.35,256.25,600,3650,400,33.35,55.85,200,-,-,-,-,-,-
20,5,25,20.23,193.9,7.4,200,192.35,196.3,200,3700,200,50.95,52,200,-4.85,51.7,26.08,278,32,134
1,-,-,-,158.65,-,1400,143.5,173.35,600,3750,200,66.65,68.8,200,-4.5,69.75,26.48,114,33,70
73,-4,286,21.28,130.95,4.6,200,130.65,135.65,200,3800,200,85.75,88.65,200,-7.5,88.2,26.19,537,60,194
96,46,747,21.71,105.5,3.7,400,105.2,115.15,200,3850,200,110.85,112.95,200,-9.55,112.05,26.4,248,21,78
588,389,4265,22.16,84.2,2.55,200,84.1,85.35,200,3900,200,138.15,140.85,200,-9.4,140.1,26.81,276,26,264
79,52,265,22.35,65.5,0.75,200,65.3,71.35,200,3950,400,156.15,184.35,200,-316.85,135,18.85,1,1,1
414,228,1237,22.51,50.1,1.3,200,50.2,51.7,200,4000,400,201.8,212.45,200,-10.15,205.9,27.77,53,3,25
24,14,87,23.24,39.85,2.75,200,38.4,39.7,200,4050,600,230.15,259.2,1000,-,-,-,-,-,-
239,63,934,23.43,30,1.2,200,29.6,30.65,200,4100,600,273.25,303.2,2000,-,-,-,-,-,-
-,-,-,-,-,-,1000,8,40.15,200,4150,800,303.95,361.1,1000,-,-,-,-,-,-
77,65,218,24.17,17.3,-7.7,200,17,18.05,200,4200,400,351.75,387.1,1000,-,-,-,-,-,-
-,-,-,-,-,-,2800,2.35,26.65,200,4250,800,395.55,446.4,800,-,-,-,-,-,-
94,38,254,24.94,9.9,0.9,200,9.7,11.95,200,4300,800,445.1,480.5,800,-,-,-,-,-,-
-,-,-,-,-,-,1000,2,11.85,200,4350,800,489.5,529.05,800,-,-,-,-,-,-
47,33,109,25.03,4.9,-1.55,200,4.1,6.55,200,4400,800,540.85,575.4,800,-,-,-,-,-,-
