CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,1700,211.3,222.9,1700,960,3400,0.25,3.5,425,-,-,-,-,-,-
-,-,-,-,-,-,1700,172.55,183.3,1700,1000,425,3.3,3.45,425,-0.6,3.4,36.83,365,22,134
-,-,-,-,-,-,1700,152,167.7,1700,1020,425,2.05,7.9,850,-,3.05,-,-,-,1
-,-,-,-,-,-,1700,135.15,146.25,1700,1040,425,1.95,7.35,425,0.1,5.5,33.66,4,4,5
-,-,-,-,-,-,2125,116.6,127.45,1275,1060,425,6.8,7.5,425,-0.1,7.4,32.61,30,18,35
-,-,-,-,-,-,2975,99.75,109.1,1275,1080,425,8.25,10.15,425,-1.15,9.4,30.99,79,40,79
44,-3,65,29.79,90,-9.1,425,87.55,90.55,425,1100,425,11.75,13.8,425,0.15,13.85,31.25,61,25,40
13,10,17,28.1,73.5,-31,425,72.45,78,425,1120,425,15.7,18.65,425,0.4,19,30.99,149,13,98
-,-,-,-,-,-,1275,54.1,73.15,1275,1140,425,23,34.15,850,-,-,-,-,-,-
21,20,35,27.21,47,-5.9,425,47.75,49.6,425,1160,425,31,32.8,425,0.55,33,30.28,196,50,75
45,25,74,28.29,38.2,-4,425,38.2,41.65,425,1180,425,37.55,42.4,425,0.05,42.05,29.85,162,25,116
202,38,278,28.11,29.3,-4.1,425,29.5,31.75,425,1200,425,49.85,53.45,425,1.75,55,31.17,63,4,63
56,8,59,28.24,22.35,-4.3,425,22.35,24.6,425,1220,425,62.4,66.05,425,1.95,67.95,31.52,18,2,60
80,6,68,28.19,16.55,-3.35,425,16.65,18.85,425,1240,425,76.5,80.2,425,9.6,79.05,29.31,16,1,40
71,7,49,28.44,12.3,-2.65,850,12.3,13.7,425,1260,425,92.15,97.2,850,-8.15,84.5,18.45,4,-2,64
74,8,51,28.26,8.65,-2.9,425,8.85,11.45,425,1280,425,108.9,113.85,425,-6.95,102.55,18.1,14,1,34
315,56,242,28.59,6.3,-2.25,425,6.35,8.45,425,1300,425,127.5,131.95,425,3.75,120.25,-,11,-2,95
-,-,-,-,-,-,3400,2.25,5,425,1320,4250,138.9,151.6,850,-,145,-,-,-,8
37,16,34,29.21,3.25,-1.5,850,3.1,3.55,425,1340,1700,159.6,171.75,1700,-,-,-,-,-,-
67,11,43,29.62,2.35,-1,425,2.25,2.55,425,1360,1700,179.8,190.5,1700,-,121.7,-,-,-,5
-,-,-,-,-,-,425,0.65,2.7,425,1380,850,196.1,211.15,1700,-,-,-,-,-,-
70,2,9,30.12,1.15,-1.1,425,1.1,1.8,425,1400,850,218.85,229.2,1700,-,192,-,-,-,6
9,-,1,35.01,1.35,-1.2,425,0.7,0.85,2125,1440,850,256.2,268.4,1700,-,188.5,-,-,-,1
