CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,2500,92,96.95,5000,430,1250,0.1,0.8,1250,-,-,-,-,-,-
-,-,-,-,-,-,5000,82.4,87.05,5000,440,10000,0.2,0.65,1250,-,-,-,-,-,-
-,-,-,-,-,-,2500,71.9,77.45,2500,450,7500,0.35,0.5,1250,-0.35,0.4,27.37,6,-,3
-,-,-,-,-,-,2500,67,72.15,5000,455,1250,0.2,0.8,1250,-0.75,0.55,27.18,3,1,1
-,-,-,-,-,-,2500,62.3,67.8,2500,460,5000,0.55,0.65,6250,0.1,0.6,25.89,271,178,180
-,-,-,-,-,-,5000,57.85,63.1,2500,465,1250,0.5,1.55,1250,-,-,-,-,-,-
-,-,-,-,-,-,5000,52.55,58.15,5000,470,2500,0.85,0.9,1250,-0.55,0.85,24.08,340,183,270
-,-,-,-,-,-,2500,47.9,52.95,5000,475,5000,1.05,1.15,1250,-0.65,1.05,23.34,22,9,25
11,3,5,-,45.65,0.25,1250,45.2,45.85,1250,480,1250,1.35,1.4,8750,-0.95,1.35,22.81,583,-46,252
7,7,9,14.76,41.05,-12.7,1250,40.65,43.75,3750,485,1250,1.6,1.8,3750,-1.05,1.85,22.72,85,27,52
15,11,19,17.54,36.85,-0.05,1250,36.15,38.85,2500,490,2500,2.2,2.3,3750,-1.55,2.2,21.75,343,11,185
15,15,17,17.63,32.45,-13.55,1250,32.05,34.05,1250,495,1250,2.85,2.95,2500,-1.35,2.9,21.5,73,34,41
105,55,246,18.09,28.4,5.4,1250,28,28.4,1250,500,3750,3.7,3.8,1250,-2.4,3.75,21.19,1147,61,535
13,7,11,18.09,24.45,0.95,1250,24.1,24.7,1250,505,1250,4.85,4.95,1250,-2.7,4.75,20.78,164,18,62
61,35,318,17.54,20.5,3.55,2500,20.6,21.2,1250,510,1250,6.2,6.4,2500,-3.5,6.3,21,1678,167,469
83,4,504,18.15,17.45,3.35,1250,17.4,18.5,1250,515,2500,7.9,8.1,1250,-4.1,7.9,20.78,505,37,130
573,18,2430,18.03,14.35,2.4,1250,14.4,14.7,2500,520,1250,10,10.25,1250,-4.25,10.1,21.09,1480,112,436
414,27,1955,18.97,12.25,2.6,1250,12,12.15,1250,525,1250,12.4,12.75,1250,-5.05,12.3,20.9,392,70,196
700,117,3845,18.62,9.7,2.05,1250,9.75,9.85,1250,530,1250,15.2,15.45,1250,-5,15.1,21.19,330,1,315
341,203,829,19.21,8.05,1.85,1250,7.9,8.15,1250,535,2500,17.85,18.6,1250,-4.5,18.45,21.91,39,5,220
576,112,2987,19.39,6.45,1.3,13750,6.35,6.5,3750,540,1250,21.55,22,1250,-5.55,21.95,22.47,230,3,122
97,62,233,19.62,5.15,0.95,1250,5.05,5.2,1250,545,3750,23.55,26.5,1250,3.8,31.4,33.07,1,1,1
1075,441,2576,20.11,4.2,0.9,6250,4.1,4.2,1250,550,3750,28.85,29.75,1250,-5.2,29.8,24.01,16,2,63
90,69,171,20.18,3.25,0.6,2500,3.3,3.4,3750,555,5000,30.85,33.95,1250,0.15,33.95,24.76,4,4,4
301,83,693,20.81,2.7,0.45,2500,2.65,2.75,5000,560,1250,37.6,38.15,1250,-6.15,38.35,25.78,17,4,25
10,10,14,21.14,2.15,-8.25,1250,2.1,2.25,1250,565,2500,39.65,44.6,2500,-,-,-,-,-,-
134,34,304,21.43,1.7,0.1,1250,1.7,1.75,1250,570,7500,44.85,49.1,7500,-,51.8,-,-,-,17
1,-,-,-,2,-,12500,0.95,2.75,1250,575,12500,47.55,54.8,5000,-,-,-,-,-,-
214,80,297,21.98,1.05,-0.2,1250,1.05,1.2,1250,580,7500,53.65,58.6,7500,-,62,-,-,-,13
-,-,-,-,-,-,12500,0.65,2.15,1250,585,12500,57.1,64.15,5000,-,-,-,-,-,-
15,6,30,23.5,0.8,-0.05,1250,0.75,0.95,3750,590,1250,63.35,67.8,5000,-,-,-,-,-,-
1,1,1,26.01,1,-3.45,13750,0.4,0.75,1250,595,1250,68.1,72.45,5000,-,-,-,-,-,-
285,140,302,24.8,0.6,-0.05,3750,0.55,0.6,15000,600,2500,72.45,78.15,2500,-,77,-,-,-,1
-,-,-,-,-,-,1250,0.2,0.4,2500,610,2500,82.7,87.85,5000,-,-,-,-,-,-
