CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
1,1,2,-,508.2,136.9,325,517.65,537.55,325,1880,325,1.4,1.75,325,-0.2,1.75,40.82,13,-2,5
-,-,-,-,-,-,650,474.85,499.7,1300,1920,325,0.6,6.65,3250,-,-,-,-,-,-
-,-,-,-,-,-,650,435.3,459.9,650,1960,325,0.75,4.45,325,1,3.05,-,-,-,1
15,-,-,-,373,-,1950,395.65,420.65,1950,2000,325,2,3.2,325,-1.25,2.6,34.13,40,6,93
-,-,-,-,-,-,650,375.95,405.65,650,2020,325,0.75,7.7,3250,-,-,-,-,-,-
-,-,-,-,-,-,650,356.4,386.05,650,2040,325,0.7,8.05,3250,-,-,-,-,-,-
-,-,-,-,-,-,650,336.9,366.9,650,2060,325,1.15,8.45,3250,-,-,-,-,-,-
-,-,-,-,-,-,650,315.5,346.9,650,2080,325,1.15,8.95,325,-,-,-,-,-,-
1,-,-,-,287,-,650,298.1,323.95,1300,2100,325,3.8,5.7,325,-1,5,30.26,29,14,27
-,-,-,-,-,-,1625,277.5,306.45,1300,2120,325,3,9.05,325,-,-,-,-,-,-
-,-,-,-,-,-,650,258.15,290.7,1300,2140,325,1.5,15.55,3250,-,-,-,-,-,-
-,-,-,-,-,-,650,236.75,271.3,650,2160,325,1.8,16.75,3250,-,-,-,-,-,-
-,-,-,-,-,-,1300,221.85,247.8,650,2180,325,3.15,8.55,650,-5,8,26.62,6,4,5
2,-,-,-,178,-,1300,203.65,221.35,1300,2200,325,8.55,9.95,650,-5.55,9.75,26.25,39,7,57
-,-,-,-,-,-,1300,182.25,212.85,650,2220,325,6.7,14.9,3250,-,-,-,-,-,-
-,-,-,-,-,-,650,165.55,198.05,650,2240,325,7.3,19.3,3250,-,-,-,-,-,-
1,-,-,-,140,-,650,149.1,180.2,650,2260,325,15.3,22.3,650,-,-,-,-,-,-
-,-,-,-,-,-,650,135.25,160.2,650,2280,325,19.4,20.75,325,-13.7,20.15,24.51,32,11,14
35,2,8,16.56,125.3,24.85,325,125.75,133.2,325,2300,325,23.05,24.85,325,-11.75,24.7,24.42,222,35,77
4,-,1,17.37,110.75,14.5,325,113.55,124.2,325,2320,-,-,35.6,3250,-,88.1,-,-,-,1
35,8,30,18.92,99.4,22.8,325,98.95,111,650,2340,325,33.7,36.85,325,-15.15,36.8,24.53,114,56,94
57,10,189,19.92,88.45,23.35,325,87.45,97.4,2600,2360,325,41.05,44,650,-19.15,44.3,24.64,248,111,141
15,12,30,19.87,76.05,25.55,325,75.95,84.75,325,2380,325,49.2,52.25,325,-22.05,51.4,24.28,86,41,43
475,122,1885,20.39,66.3,19.65,325,65.8,66.85,325,2400,650,55,61.45,325,-24.95,58.05,23.45,258,40,85
20,19,75,20.37,56.2,0.2,325,55.35,64,325,2420,325,68.05,72.25,325,-35.5,71.5,24.72,19,9,10
43,43,101,20.27,46.95,-26.9,325,47.9,53.5,325,2440,650,73.15,93.95,650,-,-,-,-,-,-
13,10,46,20.6,39.95,0.8,325,40.1,46.2,325,2460,975,84.6,106.7,650,-,-,-,-,-,-
9,6,32,21.11,34.35,7.6,325,31.9,39,325,2480,975,99.6,119.05,650,-,-,-,-,-,-
251,193,703,21.92,30.3,11,325,29.5,31.3,325,2500,650,114.4,125.05,325,-151.75,127.2,27.58,9,6,6
-,-,-,-,-,-,325,14.8,32.9,325,2520,975,123.35,156.2,1300,-,-,-,-,-,-
11,11,23,22.21,21,-11.45,325,20.65,25.55,325,2540,1300,137.2,167.25,650,-,-,-,-,-,-
59,59,89,22.65,17.95,-29.45,325,17.35,22.1,6500,2560,650,153.9,181.7,650,-,-,-,-,-,-
8,8,13,22.62,14.5,-11.8,325,14.5,16.65,325,2580,650,173.4,199.05,650,-,-,-,-,-,-
197,80,485,23.2,12.6,5.2,325,12.3,14.4,325,2600,650,189.45,216.15,1300,-,-,-,-,-,-
-,-,-,-,-,-,325,8.25,19.05,325,2620,650,207.9,243.55,650,-,-,-,-,-,-
11,9,23,24.33,9.6,-0.4,325,8.35,11.5,325,2640,650,225.8,252.3,1300,-,-,-,-,-,-
-,-,-,-,-,-,3250,5.45,8.45,1300,2660,1300,244.05,269.6,1300,-,-,-,-,-,-
-,-,-,-,-,-,325,4.2,14.2,325,2680,650,263.5,297.7,3250,-,-,-,-,-,-
66,36,119,24.8,5.35,1.35,325,5.25,5.6,325,2700,650,281,308.45,1300,-,-,-,-,-,-
15,15,18,25.33,4.7,-20.3,325,3.7,5.6,325,2720,1300,300.65,327.35,1300,-,-,-,-,-,-
