CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
1,-,-,-,91.25,-,4150,89.45,94.45,20750,380,4150,0.15,0.85,2075,-,-,-,-,-,-
-,-,-,-,-,-,4150,79.4,84.5,8300,390,2075,0.15,1.65,4150,-,-,-,-,-,-
-,-,-,-,-,-,4150,73.95,80.9,4150,395,33200,0.15,3.1,2075,-,-,-,-,-,-
-,-,-,-,-,-,4150,69.75,74.85,8300,400,2075,0.4,0.95,2075,0.1,0.85,34.06,5,-2,22
-,-,-,-,-,-,2075,64.8,69.85,20750,405,2075,0.55,1.15,2075,-2.4,1.15,34.09,1,-,1
-,-,-,-,-,-,8300,59.95,65.25,2075,410,2075,1,1.4,2075,0.15,1.15,31.94,4,-,9
-,-,-,-,-,-,8300,55.1,61.35,8300,415,20750,0.75,3.05,62250,-,1.7,-,-,-,6
2,-,-,-,57,-,4150,50.4,56,4150,420,6225,1.65,1.75,4150,-0.15,1.7,30.44,39,-,174
1,-,-,-,53.8,-,4150,45.95,51.85,4150,425,2075,2.05,2.2,2075,-24.3,2.3,30.62,13,5,5
-,-,-,-,-,-,8300,41.45,47.45,4150,430,2075,2.6,2.7,2075,-0.2,2.8,29.97,108,11,74
-,-,-,-,-,-,4150,37.3,43,4150,435,2075,3.3,3.4,2075,-28.4,3.5,29.62,15,11,11
6,2,5,20.86,34.8,-8.2,2075,35.15,35.9,2075,440,2075,4.1,4.25,4150,-0.35,4.4,29.43,179,70,145
-,-,-,-,-,-,4150,29.85,33.45,6225,445,2075,5.1,5.35,2075,-0.1,5.5,29.31,17,5,31
31,1,12,22.67,27.25,-2.05,2075,27.5,28.15,2075,450,2075,6.3,6.5,4150,-0.55,6.6,28.77,176,27,136
-,-,-,-,-,-,4150,22.05,26.8,6225,455,2075,7.75,8.05,2075,-0.4,8.1,28.67,37,7,17
91,28,191,24.27,21,-1.1,2075,20.75,21.3,2075,460,2075,9.4,9.75,2075,-0.4,9.85,28.61,470,76,241
26,18,174,24.35,18,-1,2075,17.8,18.25,2075,465,2075,11.35,11.7,4150,-0.7,11.55,28.02,209,23,49
179,39,363,23.27,14.65,-1.85,2075,15.1,15.5,6225,470,2075,13.55,13.95,4150,-0.45,13.75,27.91,358,29,167
102,14,183,24.66,12.95,-1.15,2075,12.65,13,2075,475,2075,16.05,16.55,2075,-0.1,16.75,28.8,116,-,80
225,24,509,24.8,10.85,-1,2075,10.55,10.95,2075,480,2075,18.9,19.75,2075,-0.7,19,27.88,222,36,100
36,-1,129,24.25,8.65,-1.4,2075,8.85,9.1,2075,485,2075,20.15,24.2,12450,-,18.3,-,-,-,12
71,29,129,24.31,7.05,-1.4,2075,7.25,7.5,2075,490,2075,25.4,26.4,2075,5.05,26.35,30,6,-,11
52,27,95,24.61,5.8,-1.15,2075,5.95,6.2,2075,495,2075,29,29.65,2075,-43.55,30.1,30.69,5,5,5
470,43,398,25.36,4.95,-1,6225,4.95,5.1,8300,500,2075,32.8,33.6,2075,2.8,33.85,31.05,7,3,29
49,8,29,25.38,3.95,-1.05,2075,4.05,4.15,2075,505,4150,36,38.75,2075,-44.95,37,29.7,1,1,1
128,27,191,25.9,3.3,-0.7,4150,3.25,3.4,2075,510,20750,38.15,43.9,12450,-,36.9,-,-,-,11
42,13,40,26.23,2.7,-0.7,2075,2.65,2.8,6225,515,8300,43.3,47.95,2075,-44.8,45.65,31.3,1,1,1
82,27,66,26.18,2.1,-0.55,8300,2.15,2.25,10375,520,4150,47.1,53.15,8300,-,-,-,-,-,-
87,50,120,26.9,1.4,-0.4,4150,1.35,1.45,2075,530,2075,56.4,61.5,2075,-,-,-,-,-,-
