CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,400,1121.55,1183.35,200,5000,100,1.65,8.4,100,-3.2,1.1,28.56,2,-1,12
-,-,-,-,-,-,500,916.55,984.25,100,5200,1500,1.2,7.9,300,-,-,-,-,-,-
-,-,-,-,-,-,500,823.45,881.55,100,5300,100,2.55,8.65,100,-1.75,10.25,30.25,6,-,-
-,-,-,-,-,-,200,718.35,783.45,100,5400,100,5.15,7,4700,-0.5,7,25.16,138,111,116
-,-,-,-,-,-,1000,626.7,673.5,1000,5500,100,8.8,14.55,100,-4.45,12.7,25.17,103,59,122
1,-,-,-,523,-,200,532.3,580.65,200,5600,100,16.7,18.2,200,-4.55,16.55,23.41,357,117,374
-,-,-,-,-,-,500,440.85,511.65,300,5700,200,8.1,44.9,400,-,-,-,-,-,-
-,-,-,-,-,-,500,365.55,401.65,100,5800,100,42.35,43.9,100,-7.65,42.35,22.71,380,36,260
-,-,-,-,-,-,500,286.9,325.05,1300,5900,100,64.2,68.25,200,-12.3,64,22.34,263,46,207
175,19,92,21.32,236.55,-17.5,100,234.15,241.75,100,6000,100,95.05,99.2,100,-9.55,96,22.35,870,6,465
267,41,457,21.42,178.9,-20.35,100,179.05,181.9,100,6100,100,136.3,139.35,100,-11.8,135.35,22.08,1070,-54,317
830,276,1117,21.46,131,-17.5,100,128.3,133.7,200,6200,3100,167.1,191.5,100,-5.3,191.6,22.81,909,257,678
459,124,719,21.77,94.75,-12.15,100,92.35,94.65,100,6300,200,246.85,251.85,100,-3.6,250.3,22.58,87,12,128
354,98,528,21.83,65.6,-9.65,100,64.1,66.3,100,6400,100,315.1,323,100,-8.45,311.95,21.36,44,1,156
535,-42,1341,22.42,46.8,-4.85,100,44.05,45.85,100,6500,100,392.7,406.6,100,-8.15,391.65,21.76,262,-162,158
135,3,218,22.32,30.25,-5.75,100,29.8,31.55,100,6600,100,469.85,503.8,100,2.35,485.8,-,-,-,13
233,13,490,22.73,20.5,-4.2,100,20.4,21.75,100,6700,300,545.95,600.1,700,-,555,-,-,-,5
88,36,152,23.51,14.75,-3.25,200,14,16.15,100,6800,400,625.85,686.65,400,-,621,-,-,-,2
9,6,17,24.04,10.2,-22.9,100,8.05,11.4,100,6900,100,751.4,767.1,100,-7.95,732.05,-,5,3,8
359,-2,421,24.37,6.75,-3.75,300,6.55,6.75,3600,7000,400,850.2,868.55,100,-35.5,811,-,6,-4,75
24,3,8,25.97,6,-1.1,100,3.35,9.55,100,7100,200,916,974.5,500,-,-,-,-,-,-
-,-,-,-,-,-,100,1.45,9,300,7200,200,1014.8,1074.3,500,-,-,-,-,-,-
-,-,-,-,-,-,4000,0.45,4,200,7400,200,1208.55,1271.7,500,-,-,-,-,-,-
