CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
8,-,-,-,3330,-,50,3206.5,3383.05,50,13500,50,4,28.65,200,-,-,-,-,-,-
-,-,-,-,-,-,200,2952.2,3147.15,200,13750,6000,0.1,39.8,300,-,-,-,-,-,-
1,-,-,-,1750,-,200,2703.95,2915.25,200,14000,150,21,53.3,200,-,-,-,-,-,-
1,-,-,-,2630,-,200,2474.65,2650.4,200,14250,50,14.05,36.7,500,-237.2,61.15,39.42,8,8,8
-,-,-,-,-,-,200,2233.9,2405,200,14500,100,37,40,100,-3.05,36.7,32.19,460,66,465
-,-,-,-,-,-,200,2011.65,2164.25,200,14750,50,47.2,53.3,50,-361.6,53.95,31.96,20,20,20
96,7,24,28.83,1880.1,-76.25,50,1848,1874.6,50,15000,50,69.35,72.1,50,-2.9,70.5,30.9,2018,335,1683
1,-,-,-,2000,-,200,1521.2,1791.1,200,15250,-,-,180.55,200,-,-,-,-,-,-
20,1,1,24.17,1400,20.45,50,1409.75,1440.15,50,15500,100,131.8,135.15,50,-8.9,134.15,30.02,932,99,944
-,-,-,-,-,-,100,1143.6,1255.75,100,15750,50,180,185.95,50,-17.7,181.6,29.66,459,2,281
377,-1,127,26.48,1031.5,-16.65,50,1035.45,1050.8,50,16000,100,245.25,248,50,-21.45,246,29.58,1336,52,927
39,8,63,27.46,875.95,-7.75,50,868.05,887.8,50,16250,50,323.4,335.35,50,-24.3,326.8,29.59,427,9,194
324,44,749,27.53,723.75,-13.85,50,710.2,731.95,50,16500,50,420.4,428.25,50,-27.2,425.05,29.66,1867,46,580
458,86,1941,28.01,597.55,-11.1,50,589,597.25,50,16750,50,536,543,50,-29.2,542.7,29.87,1107,109,388
2373,325,3989,27.81,476,-16.9,50,472.05,479.95,50,17000,50,667.1,679.6,50,-28.35,672.5,29.83,1030,21,1420
677,136,1721,28.02,380,-18.3,100,371.7,384.85,50,17250,50,816.1,830,50,-21.1,836,30.71,56,2,170
1163,44,1822,28.24,300,-18.2,50,296.85,303.2,50,17500,50,981.5,998.65,50,-24.9,999.45,30.82,45,3,181
298,10,745,28.21,230.35,-19.05,50,229.7,236,50,17750,150,1151.35,1214.55,50,-3.85,1203.7,-,-,-,48
1753,155,3265,28.72,182,-14.55,50,178.45,183.35,100,18000,50,1359.25,1379.7,50,39.1,1375,31.64,21,13,90
103,39,168,28.78,137.5,-19.25,150,135,139.9,50,18250,150,1546.3,1656.6,150,-,-,-,-,-,-
588,217,1070,28.97,104.05,-13.3,100,104,107.3,50,18500,200,1778.85,1885.55,200,-,1819.9,-,-,-,23
984,222,1591,29.53,59.5,-11.5,200,59,60.95,50,19000,200,2229.95,2338.65,200,-,2300,-,-,-,1
