CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,1650,100.95,106.85,2475,640,825,0.95,1,7425,-0.4,1,29.85,194,57,159
26,3,32,-,85.45,-9,825,83.8,86.4,825,660,825,1.65,1.75,1650,-0.15,1.7,27.82,342,103,258
68,7,32,20.73,67.1,-8.5,825,67.1,67.9,825,680,4950,3.15,3.2,1650,0.1,3.2,26.55,381,56,666
197,73,350,22.48,50.3,-7.35,825,49.95,51.05,825,700,825,5.8,5.9,1650,0.9,5.95,25.53,1322,232,1300
139,40,134,22.37,35.1,-6.5,825,35.15,35.65,825,720,2475,10.6,10.85,825,1.55,10.7,24.81,1130,107,588
757,370,1547,23.08,23.45,-5.2,825,23.15,23.45,825,740,825,18.45,18.5,825,2.6,18.5,24.77,2754,130,813
1609,265,3135,22.97,14.25,-4,825,14.2,14.45,2475,760,825,29.3,29.7,825,4.15,29.7,25.35,1115,54,1108
1890,524,2559,23.39,8.35,-2.55,4950,8.35,8.45,1650,780,825,42.8,44.6,825,6.75,44.35,27.07,290,36,833
2514,725,2821,23.63,4.55,-1.45,4125,4.5,4.6,4125,800,825,58.95,59.7,825,6.6,59.65,27.08,112,-1,1614
695,-14,803,24.28,2.5,-0.9,2475,2.45,2.55,825,820,5775,75.65,77.55,825,7.85,78,29.95,46,-20,257
789,60,895,25.13,1.4,-0.55,825,1.35,1.45,1650,840,825,95.55,96.35,825,7.25,96.15,31.14,15,1,441
155,6,116,26.61,0.9,-0.35,825,0.85,1.05,825,860,1650,113.4,119.3,4950,-1.25,106.5,-,-,-,122
138,-1,29,28.8,0.7,-,1650,0.55,0.65,4125,880,4950,131.75,138.9,1650,-,127.65,-,-,-,109
72,2,19,31.07,0.3,-0.05,1650,0.3,0.5,2475,920,825,173.25,176.7,825,10,174,42.11,10,6,104
