CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,600,1087.4,1135.3,300,3600,150,1.3,4.25,150,-1.3,2.5,43.7,13,-3,5
-,-,-,-,-,-,600,989.4,1041.95,300,3700,600,1.3,6.65,3300,-,-,-,-,-,-
-,-,-,-,-,-,750,939.45,992.4,150,3750,150,1.1,9.1,150,-,-,-,-,-,-
-,-,-,-,-,-,600,890.55,940.3,150,3800,150,1.75,6.65,3300,-,-,-,-,-,-
-,-,-,-,-,-,300,838.95,893.45,150,3850,150,2.5,14.35,150,-,-,-,-,-,-
1,-,-,-,752,-,600,793.5,842.8,300,3900,150,4,6.75,150,-104.05,6,37.67,1,1,2
-,-,-,-,-,-,600,742,796.1,300,3950,150,1.7,14.75,150,-,-,-,-,-,-
4,-,-,-,661,-,300,695.8,742.6,300,4000,150,6.05,8.35,150,-4.15,5,32.68,94,39,185
-,-,-,-,-,-,600,643.2,698.85,300,4050,150,3.35,17.95,6000,-,11,-,-,-,4
-,-,-,-,-,-,300,596.95,645.15,300,4100,150,7.8,11.25,150,-7.25,8.3,31.78,31,-,26
-,-,-,-,-,-,300,544.5,601.45,300,4150,150,3.75,22.3,300,-,-,-,-,-,-
7,-,-,-,487,-,300,502.5,537.8,150,4200,150,11.5,13.9,300,-6.3,13.25,30.77,315,55,162
11,-,4,-,456.4,17.55,150,472,480.1,150,4250,150,15.65,17.45,150,-7.8,17.2,30.54,58,4,38
3,-,-,-,390,-,300,409.1,461,300,4300,150,20.95,22.1,300,-9.8,21.3,29.99,345,-16,208
2,-,-,-,277,-,300,363.95,413.75,300,4350,150,26.8,30,150,-6.65,27.85,29.98,60,16,63
15,-,1,-,358,53,150,340.6,347.4,150,4400,150,34.05,35.6,150,-15.7,34.55,29.58,444,39,187
33,11,13,-,312.55,41.5,150,299.8,305.55,150,4450,150,38.4,45.4,150,-17.65,43.5,29.42,90,23,79
84,10,52,-,274.35,43.5,150,257.15,267.7,150,4500,150,55.1,57.5,150,-20.35,56.3,29.78,695,72,393
23,17,26,-,230.2,20.55,150,227.45,233.25,150,4550,150,69.7,71.8,150,-23.25,71.3,30.13,245,65,174
177,20,239,9.87,197,25.15,150,195.35,200.5,150,4600,150,86.85,89.5,150,-26.5,89.6,30.66,647,36,235
48,17,132,13.87,168.15,18.7,150,167.55,171.75,150,4650,150,107.65,110.15,150,-31.05,109.8,31.08,321,32,107
495,-97,2714,16.06,143.35,18.15,150,143.05,144.85,150,4700,150,131.55,134.8,150,-37.25,132.1,31.44,1032,15,231
202,-72,2394,17.69,122.1,15.7,150,120.55,122.1,150,4750,150,158.25,160,150,-42.05,157.7,31.97,437,4,71
898,134,6469,18.69,101.95,11.85,150,100.1,102,300,4800,150,188.1,192.4,150,-44.8,188.75,33.07,313,43,185
161,80,618,19.5,84.5,9.55,150,82.05,85.1,150,4850,150,218.8,223.45,150,-46.05,210.95,32.2,37,8,15
426,44,1324,20.08,69,6.5,150,68.55,70.55,150,4900,150,254.3,263.25,150,-34.55,259,35.62,58,36,44
-,-,-,-,-,-,600,34.25,73.2,150,4950,600,259.05,328.25,300,-,-,-,-,-,-
747,115,2617,21.59,47.5,4.45,150,46.55,47.9,150,5000,150,330.75,337.45,150,-48.35,338.45,38.64,23,-2,70
-,-,-,-,-,-,750,17.15,55,150,5050,600,338.5,410.35,300,-,-,-,-,-,-
293,32,824,22.75,32,1.5,150,30.9,32,150,5100,750,408.1,436.05,750,-,449,-,-,-,4
21,21,48,23.12,25.65,-7.1,150,25.35,26.65,150,5150,300,430.55,482.9,300,-,-,-,-,-,-
161,124,450,23.69,21.15,-,150,20.75,21.85,150,5200,300,475.6,527.6,300,-,-,-,-,-,-
149,149,297,24.6,14,-47.9,150,13.6,16.7,150,5300,300,568.1,619.9,600,-,-,-,-,-,-
