CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,1250,246.55,259.2,1250,1000,5000,0.45,0.75,12500,-0.35,0.95,38.92,10,8,9
-,-,-,-,-,-,1250,205.75,218.9,2500,1040,5000,0.5,2.6,625,-,2.5,-,-,-,1
-,-,-,-,-,-,1250,186.4,199.15,1250,1060,5625,0.6,2,625,-,2,-,-,-,8
-,-,-,-,-,-,1250,166.75,181.4,1250,1080,2500,0.9,1.1,25000,-1.1,1.05,28.23,140,104,133
11,-,-,-,154.7,-0.05,3750,147.45,160.2,3750,1100,625,1.45,1.9,625,-0.8,1.55,27.31,137,40,128
-,-,-,-,-,-,2500,129.8,141.35,1250,1120,625,2.35,2.7,625,-0.5,2.5,26.94,125,23,81
6,6,8,-,114.6,-34.55,1250,111.75,117.25,625,1140,625,3.75,3.95,625,-0.8,4,26.71,177,43,168
7,7,36,-,96.5,-94.1,625,97.65,98.95,625,1160,625,5.45,5.75,625,-1.2,5.5,25.55,258,-2,202
13,4,23,-,80,-1.25,1250,80.5,82,625,1180,625,8.2,8.6,625,-1.6,8.5,25.44,161,71,191
126,-2,5,-,63.95,-2.25,625,64.65,65.95,625,1200,625,12.2,12.7,625,-1.4,12.65,25.34,548,76,450
66,25,86,12.79,50.2,-2.3,625,50.5,51.55,625,1220,625,17.75,18.4,625,-1.5,18.15,25.24,494,70,213
132,29,504,15.65,38.55,-1.9,625,38.4,39,625,1240,625,25.4,26.05,625,-1.45,26.35,25.98,686,29,274
499,66,1543,16.77,28.25,-1.55,625,28.2,28.65,625,1260,3125,35,35.6,625,-2.75,35.45,26.14,1253,166,516
688,-25,1318,17.36,19.8,-2.2,625,19.9,20.4,1250,1280,625,46.25,47.3,625,-2.5,47.85,27.44,198,2,166
976,424,1945,18.02,13.7,-2.05,625,13.6,13.95,1250,1300,625,59.85,60.85,625,-2.3,60.7,28.04,195,45,273
240,46,562,18.36,9,-2.05,625,9,9.45,625,1320,625,74.4,76.2,625,-2.1,75.95,29.47,30,4,141
295,42,424,19.01,6.05,-1.5,625,6,6.2,6250,1340,625,91.65,92.95,625,-2,93.35,31.86,27,3,21
244,11,238,19.36,3.85,-1.4,625,3.85,4.05,625,1360,625,108.35,110.95,625,-1.6,110.5,33.55,27,5,55
102,41,180,20.34,2.75,-0.9,625,2.2,2.85,1250,1380,1250,122.75,135.75,1250,-,-,-,-,-,-
767,427,785,21.2,1.95,-0.85,38750,1.85,1.95,2500,1400,5000,143.6,154.1,3750,-,146.45,-,-,-,28
1,1,1,22.33,1.5,-9.85,625,0.6,2.35,625,1420,1250,160.8,174.8,1250,-,-,-,-,-,-
64,1,9,23.87,1.3,-0.4,625,0.9,1.25,625,1440,1250,179,193.5,1250,-,-,-,-,-,-
22,2,7,24.11,0.5,-0.6,625,0.5,0.8,1250,1480,1250,217.55,231.3,2500,-,196,-,-,-,1
