CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
5,-,-,-,1510,-,700,1395.3,1453.65,350,4700,175,1,3,175,-,4.95,-,-,-,1
-,-,-,-,-,-,875,1292.9,1361.2,350,4800,175,1.05,6.5,350,-,-,-,-,-,-
-,-,-,-,-,-,700,1192.15,1256.6,350,4900,525,0.8,7.05,350,-,-,-,-,-,-
3,-,-,-,1219,-,875,1097.45,1154.3,350,5000,700,1.4,4,3500,-,-,-,-,-,-
-,-,-,-,-,-,875,1047.35,1111.35,350,5050,525,1.25,7.65,175,-,-,-,-,-,-
12,-,-,-,1115,-,175,992.95,1058.6,350,5100,525,1.25,3.9,175,-9,3,29.97,2,-,2
-,-,-,-,-,-,175,945.7,1008.25,175,5150,3500,1.1,6.95,175,-,-,-,-,-,-
7,-,-,-,1030,-,700,901.45,955.85,350,5200,700,3.7,5.35,175,-3.35,3.55,27.98,22,9,24
-,-,-,-,-,-,175,849.4,914.35,350,5250,175,2.85,9.2,1050,-,-,-,-,-,-
6,-,-,-,880,-,175,801.25,861.6,525,5300,1400,5,8.85,175,-2.45,4.05,25.78,20,2,13
-,-,-,-,-,-,175,750.3,811.65,175,5350,175,3.1,10.9,175,-,10.8,-,-,-,4
178,-,-,-,766.15,-4.6,175,703.45,763.05,350,5400,175,6.7,9.55,175,-5.4,6.75,25.19,403,114,190
-,-,-,-,-,-,875,654.55,714.65,350,5450,175,5.25,11.7,175,-6.3,8.1,24.57,6,-,2
349,-,5,-,630.6,-43.7,175,623.65,637.95,175,5500,1225,10,11.4,350,-5.55,10.9,24.55,1244,278,1165
1,-,-,-,577,-,700,562.95,619.5,350,5550,175,10.45,18.85,175,-5.8,11,23.02,8,-,6
47,-,-,-,602,-,875,516.1,575.4,350,5600,175,15.25,18.45,175,-4.5,15.85,23.4,525,277,293
-,-,-,-,-,-,700,468.95,528.25,350,5650,2800,2.55,27.45,1050,-,-,-,-,-,-
14,2,2,-,448,-44.7,175,437.15,451.25,175,5700,175,25.6,27.05,175,-3.05,25.75,23,546,150,662
30,-2,7,10.88,404.35,-63.65,175,400.05,407,175,5750,-,-,43.9,1050,-,-,-,-,-,-
18,2,6,13.87,361.55,-58.45,175,357.3,367,350,5800,175,39.8,41.05,175,-0.7,40,22.52,219,60,106
6,4,6,10.48,307.9,102.9,175,303.05,326.7,175,5850,175,48.7,51.05,175,1.4,48.75,22.17,148,20,81
57,-2,44,17.06,288.1,-46.9,175,279.85,286.15,175,5900,175,58.6,62.95,175,2.15,60.4,22.06,715,6,259
21,-,-,-,315.35,-,350,229.6,270.1,350,5950,350,65.95,77.2,175,5.15,74.4,22,93,38,103
372,-45,394,17.38,216.6,-32.3,175,213.9,218.55,175,6000,175,90.7,93,350,7.3,92.25,22.19,1490,-25,545
75,-9,103,17.51,185.1,-33.3,175,182.95,208.85,700,6050,175,97.7,113.75,175,9.45,113.2,22.48,452,38,111
263,89,952,18.11,160,-26.2,175,156.3,160.35,175,6100,175,130.65,135.7,350,10.15,132.05,22.1,1982,111,406
261,72,1040,18.09,133.7,-26.6,350,132.55,139.35,175,6150,175,143.45,162.3,175,14.3,156.9,22.24,334,17,64
798,194,1800,18.62,114.35,-23.05,175,111.05,114.05,175,6200,175,180.3,189.95,175,18.9,190,23.18,375,-9,235
146,-1,379,18.8,95.3,-19.05,175,91.75,96,175,6250,350,197.85,243.1,350,-,-,-,-,-,-
643,131,1245,19.01,79,-16.4,175,76.8,78.85,175,6300,175,247.3,255.6,175,25.75,253.9,23.83,169,25,772
81,37,201,19.22,65.15,-15.05,175,63.4,67.9,175,6350,525,278.1,297.75,175,45.35,299.05,25.67,6,1,2
382,93,641,19.32,52.8,-14.25,175,52,54.05,175,6400,350,309.25,348,875,-,-,-,-,-,-
62,40,80,19.49,42.85,-12.75,175,42.95,44.9,175,6450,700,331.6,391.95,1750,-,-,-,-,-,-
386,26,894,20.23,37.3,-9.85,175,35.65,36.9,175,6500,350,404.1,415.65,175,16.5,395,23.57,41,26,88
83,20,129,20.38,30.1,-9.65,175,28.8,31.2,175,6550,350,417.35,473.65,350,-,-,-,-,-,-
278,-4,369,20.66,24.65,-8.35,175,24.3,25.35,175,6600,350,461.8,518,700,-,-,-,-,-,-
-,-,-,-,-,-,5250,2.8,32.75,175,6650,350,505.1,573.3,700,-,-,-,-,-,-
375,27,353,21.56,17.55,-5.7,175,16.95,19.55,175,6700,350,552.7,611.8,875,-,-,-,-,-,-
237,-10,375,22.19,12,-5,175,11.55,14.6,175,6800,350,646.8,704.05,700,-,-,-,-,-,-
29,20,47,23.27,9.1,-4.4,700,7.5,12.4,175,6900,350,743.45,806.65,700,-,-,-,-,-,-
660,297,1713,23.84,6.25,-3.5,525,6.05,6.35,350,7000,350,839.65,907.35,700,-,-,-,-,-,-
