CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,-,-,-,-,240,19400,0.25,0.35,19400,-,0.35,48.21,154,109,174
63,-,-,-,58.3,-,9700,55.25,60.15,24250,260,24250,0.55,0.65,12125,-0.15,0.6,39.98,742,139,492
103,-,7,-,47.6,-5.6,2425,48.25,49.35,2425,270,9700,0.85,1,4850,-0.4,1,37.69,579,115,514
8,-,-,-,43.6,-,9700,41.2,45.8,9700,275,2425,1.25,1.35,2425,-0.5,1.45,37.69,353,87,352
62,6,18,31.07,39.05,0.45,2425,39.2,40,2425,280,21825,1.6,1.7,9700,-0.7,1.65,35.4,1203,251,914
4,-,-,-,34.3,-,4850,32.4,36.85,9700,285,12125,2.15,2.25,2425,-0.85,2.2,34.72,358,93,400
288,127,306,31.43,30.45,0.1,2425,30.55,31.2,2425,290,24250,2.9,2.95,7275,-1,2.9,34.03,1606,174,1137
24,23,37,31.41,26.45,-1.3,2425,26.6,27.25,2425,295,2425,3.8,3.9,9700,-1.15,3.85,33.6,643,19,297
3219,51,456,32.35,23,0.6,2425,22.95,23.45,7275,300,2425,5,5.05,4850,-1.15,5.05,33.25,4525,415,2539
740,22,451,31.75,19.4,0.35,2425,19.3,19.75,2425,305,4850,6.3,6.45,4850,-1.25,6.35,32.39,1961,-23,553
1753,309,3946,30.91,16,-0.25,2425,16,16.25,4850,310,2425,7.95,8.05,2425,-1.45,8,31.78,4022,94,1094
814,269,3684,30.47,13.05,-0.25,2425,13,13.2,4850,315,2425,9.85,10,2425,-1.25,10,31.29,2346,90,714
2890,463,6691,29.94,10.4,-0.4,7275,10.4,10.55,4850,320,7275,12.25,12.5,7275,-1.2,12.4,30.99,1645,-50,1583
947,37,3726,29.82,8.25,-0.3,7275,8.15,8.3,2425,325,2425,14.95,15.25,2425,-1.05,15.35,31.28,545,-15,499
2482,496,5716,29.6,6.4,-0.3,12125,6.25,6.4,2425,330,2425,18,18.35,2425,-1.2,18.3,30.69,325,27,901
653,69,2492,29.49,4.9,-0.35,19400,4.8,4.95,12125,335,4850,21.5,21.9,2425,-1.6,22.25,32.16,19,-3,49
958,-42,2793,29.26,3.65,-0.25,19400,3.6,3.65,36375,340,2425,25.15,25.65,2425,-1.15,26,32.35,27,-10,107
368,42,576,29.58,2.8,-0.2,2425,2.7,2.8,2425,345,4850,28.25,32.05,4850,-0.3,31.1,-,-,-,122
1730,-165,2504,29.52,2.05,-0.3,9700,2.05,2.1,16975,350,2425,33.2,34.2,2425,-,34.55,34.41,16,-,43
812,159,1408,30.11,1.15,-0.25,9700,1.15,1.2,4850,360,2425,42.45,43.05,2425,4.2,43.6,36.65,8,2,29
1061,278,1331,30.86,0.65,-0.25,14550,0.65,0.7,65475,370,9700,50.5,55.25,9700,-,-,-,-,-,-
