CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,3600,85.2,89.35,3600,310,23400,0.05,0.35,3600,-,-,-,-,-,-
-,-,-,-,-,-,7200,75.55,79.7,3600,320,1800,0.1,0.5,1800,-,-,-,-,-,-
-,-,-,-,-,-,3600,65.65,69.75,3600,330,3600,0.3,0.45,5400,-,-,-,-,-,-
-,-,-,-,-,-,3600,60.6,65.2,7200,335,1800,0.1,1.75,1800,-,-,-,-,-,-
2,2,6,41.05,60.6,-2.9,1800,57.15,58.35,1800,340,1800,0.6,0.7,5400,0.05,0.65,32.08,112,98,106
-,-,-,-,-,-,3600,50.95,55.4,7200,345,1800,0.35,1.1,5400,-,-,-,-,-,-
1,-,-,-,47.5,-,7200,46.25,50.05,3600,350,12600,0.9,1,1800,-0.4,0.95,29.6,233,28,273
-,-,-,-,-,-,3600,41.65,45.7,3600,355,1800,1.15,1.3,3600,-0.75,1.1,28.02,25,-7,15
4,2,3,23.26,39.6,2.2,1800,38.65,39.1,1800,360,3600,1.55,1.65,1800,-0.6,1.55,27.82,156,37,157
2,2,2,32.36,37.3,1.5,1800,34.2,34.65,1800,365,5400,2.05,2.15,5400,-0.65,2.15,27.64,135,31,114
27,15,21,20.99,30.2,1.3,1800,29.95,30.4,1800,370,1800,2.8,2.85,1800,-0.9,2.85,27.21,180,4,270
16,7,8,21.58,26.1,0.9,1800,25.85,26.35,1800,375,5400,3.65,3.8,1800,-1.2,3.7,26.69,94,26,160
73,4,33,21.77,22.2,0.65,1800,22.05,22.45,1800,380,3600,4.8,4.9,5400,-1.3,4.85,26.42,192,21,211
25,2,27,24.02,19.45,1.45,1800,18.6,19,1800,385,1800,6.2,6.45,1800,-1.7,6.35,26.37,71,13,52
205,-23,186,22.56,15.6,-0.15,1800,15.5,15.85,1800,390,3600,8.05,8.2,3600,-1.75,8.2,26.45,285,31,253
191,41,313,22.47,12.65,-0.3,3600,12.75,12.95,1800,395,1800,10.1,10.3,5400,-2.2,10.3,26.38,164,24,141
1432,118,1670,22.98,10.35,-0.3,5400,10.35,10.55,1800,400,1800,12.65,12.9,3600,-2.1,12.8,26.49,353,54,769
326,142,388,23.35,8.35,-0.4,1800,8.25,8.35,1800,405,1800,15.55,15.85,3600,-2.65,15.7,26.79,90,19,108
466,-18,471,23.54,6.6,-0.35,1800,6.5,6.75,1800,410,1800,18.8,19.1,1800,-2.3,18.9,27.1,32,2,138
123,16,91,23.84,5.2,-0.4,1800,5.05,5.25,1800,415,5400,21.5,24.4,3600,0.35,24.85,-,-,-,16
408,-31,526,24.1,4.05,-0.35,3600,4,4.1,5400,420,1800,26.2,26.55,1800,-2.55,26.35,28.41,16,-5,104
81,30,133,24.27,3.1,-0.35,7200,3.1,3.2,7200,425,3600,29.45,32,12600,-,-,-,-,-,-
381,57,350,24.97,2.5,-0.3,3600,2.45,2.55,9000,430,5400,32.95,36.5,3600,0.6,37,-,-,-,334
79,28,118,25.37,1.95,-0.3,5400,1.9,2,3600,435,7200,37.8,40.9,1800,-14.35,39.95,33.72,1,1,1
292,69,319,26.14,1.6,-0.25,1800,1.55,1.6,1800,440,1800,43.35,43.95,1800,-1.75,43.65,32.28,22,9,61
343,52,238,26.77,0.95,-0.25,10800,0.95,1.05,5400,450,1800,51.45,54.9,1800,0.45,55.5,-,-,-,25
38,11,15,28.61,0.7,-0.05,1800,0.6,0.75,1800,460,1800,62.15,62.85,1800,-2,62.5,37.34,1,1,5
