CALL_OI,CALL_CHNG_IN_OI,CALL_VOLUME,CALL_IV,CALL_LTP,CALL_CHNG,CALL_BID_QTY,CALL_BID,CALL_ASK,CALL_ASK_QTY,STRIKE,PUT_BID_QTY,PUT_BID,PUT_ASK,PUT_ASK_QTY,PUT_CHNG,PUT_LTP,PUT_IV,PUT_VOLUME,PUT_CHNG_IN_OI,PUT_OI
-,-,-,-,-,-,20000,34,36.4,10000,157.5,-,-,0.25,25000,-,-,-,-,-,-
-,-,-,-,-,-,45000,31.6,33.8,20000,160,-,-,0.4,35000,-,-,-,-,-,-
-,-,-,-,-,-,10000,29.35,31.3,20000,162.5,5000,0.05,0.3,25000,-,-,-,-,-,-
-,-,-,-,-,-,20000,26.95,28.7,20000,165,220000,0.05,0.2,25000,-,-,-,-,-,-
-,-,-,-,-,-,20000,24.25,26.35,20000,167.5,80000,0.05,0.3,50000,-,-,-,-,-,-
4,-,-,-,26.5,-,70000,21.8,23.8,10000,170,105000,0.15,0.2,155000,-0.1,0.2,24.87,217,81,126
-,-,-,-,-,-,10000,19.6,21.7,20000,172.5,90000,0.15,0.65,5000,-,-,-,-,-,-
17,16,23,-,17.85,-6.15,5000,17.9,18.25,5000,175,75000,0.25,0.35,5000,-0.15,0.3,21.99,51,8,30
11,11,18,29.07,17.4,-10.85,5000,15.55,15.85,5000,177.5,5000,0.4,0.5,15000,-0.2,0.4,20.88,20,7,35
33,9,13,24.23,14.7,0.8,5000,13.3,13.55,5000,180,10000,0.6,0.65,15000,-0.15,0.65,20.86,180,30,169
2,2,3,-,11.1,-13.05,5000,11.1,11.4,5000,182.5,5000,0.9,0.95,10000,-0.2,0.95,20.39,69,29,93
19,8,26,14.33,9.25,-0.4,5000,9.05,9.3,5000,185,30000,1.3,1.4,10000,-0.2,1.4,20.13,401,62,396
7,3,23,13.89,7.15,-0.5,5000,7.25,7.45,5000,187.5,10000,1.9,2,5000,-0.25,1.95,19.6,88,7,53
197,28,348,15.91,5.75,-0.5,5000,5.65,5.75,5000,190,5000,2.75,2.8,10000,-0.25,2.85,19.91,568,60,706
154,40,397,16.08,4.3,-0.45,10000,4.25,4.35,20000,192.5,20000,3.8,3.9,10000,-0.15,3.95,20.13,286,6,226
560,120,806,16.38,3.15,-0.45,15000,3.1,3.2,30000,195,25000,5.15,5.25,10000,-0.15,5.2,20.06,340,22,514
109,15,154,16.66,2.25,-0.3,10000,2.2,2.3,15000,197.5,5000,6.8,6.9,5000,0.05,7,21.54,34,14,58
1085,371,1478,16.84,1.55,-0.3,30000,1.55,1.6,35000,200,5000,8.4,8.7,5000,-,8.75,22.03,81,7,607
104,33,105,17.39,1.1,-0.15,25000,1.05,1.15,10000,202.5,5000,10.55,10.7,5000,0.4,10.75,23.05,17,8,16
795,35,276,17.73,0.75,-0.2,110000,0.7,0.8,40000,205,10000,12.65,12.85,5000,0.05,13,24.93,15,6,105
56,6,66,17.52,0.45,-0.2,30000,0.45,0.55,20000,207.5,5000,14.9,15.1,5000,-0.3,14.95,24.54,11,4,19
832,29,323,17.92,0.3,-0.15,130000,0.3,0.35,190000,210,5000,17.2,17.45,5000,-0.1,17.45,27.33,33,10,283
-,-,-,-,-,-,95000,0.1,0.4,5000,212.5,20000,18.6,20.65,25000,-,-,-,-,-,-
160,27,55,20.17,0.2,-0.05,40000,0.15,0.2,355000,215,5000,21.9,22.3,5000,0.3,22.4,32.27,5,-,35
23,2,4,20.86,0.15,-,65000,0.1,0.2,5000,217.5,10000,23.75,25.65,20000,-,-,-,-,-,-
426,29,41,22.54,0.15,0.05,185000,0.1,0.15,285000,220,10000,26.1,28,45000,-,27,-,-,-,322
102,33,45,24.21,0.1,-,240000,0.05,0.1,145000,225,20000,31.15,32.9,25000,-,-,-,-,-,-
29,15,15,27.17,0.1,-,25000,0.05,0.1,165000,230,10000,35.95,38.05,20000,-,37,-,-,-,31
